descriptor_en,descriptor_zh,translation_status,usage_count,translation_note
Thalamus,丘脑,resolved,30,
Amygdala,杏仁核,resolved,17,
Insula,岛叶,resolved,16,
Hippocampus,海马,resolved,10,
PreCG,中央前回,resolved,8,
IPS,顶内沟,resolved,8,
SPL,顶上小叶,resolved,7,
IPL,顶下小叶,resolved,7,
OFC,眶额皮质,resolved,7,
MFG,额中回,resolved,6,
STG,颞上回,resolved,6,
pACC,膝前部前扣带皮质,resolved,6,pregenual anterior cingulate — standard 中文待定 | human_reviewed_g4_nomenclature
IFS,额下沟,resolved,6,inferior frontal sulcus — 待定 | human_reviewed_g4_nomenclature
Frontal Operculum,额叶岛盖,resolved,6,额盖/额岛盖 — 待定 | human_reviewed_g4_nomenclature
Basal Forebrain,基底前脑,resolved,5,
SFG,额上回,resolved,5,
FusG,梭状回,resolved,5,
sACC,膝下前扣带皮质,resolved,5,subgenual anterior cingulate — 待定 | human_reviewed_g4_nomenclature
Ventral Striatum,腹侧纹状体,resolved,4,
Midbrain,中脑,resolved,4,
Cerebellum,小脑,resolved,4,
POperc,顶叶岛盖,resolved,4,pars opercularis — 待定 | human_reviewed_g4_nomenclature
PiriformCortexMesial,梨状皮质内侧部,resolved,4,梨状皮质内侧部 — 待定 | human_reviewed_g4_nomenclature
PostCG,中央后回,resolved,3,
IFG,额下回,resolved,3,
PhG,海马旁回,resolved,3,
SFS,额上沟,resolved,3,superior frontal sulcus — 待定 | human_reviewed_g4_nomenclature
HESCHL,颞横回,resolved,3,Heschl 回 — 待定 | human_reviewed_g4_nomenclature
LOC,外侧枕叶皮质,resolved,3,lateral occipital cortex — 待定 | human_reviewed_g4_nomenclature
FPole,额极,resolved,2,
PreCS,中央前沟,resolved,2,
Cuneus,楔叶,resolved,2,
LingG,舌回,resolved,2,
Nucleus Ruber,红核,resolved,2,
parvocellular part,小细胞部,resolved,2,
magnocellular part,大细胞部,resolved,2,
Metathalamus,后丘脑,resolved,2,
POS,顶枕沟,resolved,2,
STS,颞上沟,resolved,2,
mesial SFG,内侧额上回,resolved,2,
ventral posterior medial Nucleus,腹后内侧核,resolved,2,
Piriform temporal Area,梨状皮质颞区,resolved,2,梨状颞区 — 待定 | human_reviewed_g4_nomenclature
Piriform temporobasal Area,梨状皮质颞底区,resolved,2,梨状颞底区 — 待定 | human_reviewed_g4_nomenclature
