source_region_id,source_region_name,parent_region_id,parent_region_name,hemisphere,biological_base_name,granularity_level,species_taxon_id,canonical_candidate,circuit_discovery_eligible,normalized_name_en,normalized_name_zh,name_en_status,name_zh_status,identity_note
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM_RIGHT,VP (Ventral Pallidum) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP (Ventral Pallidum),right,VP (Ventral Pallidum),G4_MICROSTRUCTURAL_FINE,9606,true,true,VP (Ventral Pallidum) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM_LEFT,VP (Ventral Pallidum) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP (Ventral Pallidum),left,VP (Ventral Pallidum),G4_MICROSTRUCTURAL_FINE,9606,true,true,VP (Ventral Pallidum) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_RIGHT,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus)",right,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_LEFT,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus)",left,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT,"AcbM (Ventral Striatum, Medial Accumbens) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,"AcbM (Ventral Striatum, Medial Accumbens)",right,"AcbM (Ventral Striatum, Medial Accumbens)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"AcbM (Ventral Striatum, Medial Accumbens) right",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_LEFT,"AcbM (Ventral Striatum, Medial Accumbens) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,"AcbM (Ventral Striatum, Medial Accumbens)",left,"AcbM (Ventral Striatum, Medial Accumbens)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"AcbM (Ventral Striatum, Medial Accumbens) left",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT,"AcbL (Ventral Striatum, Lateral Accumbens) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,"AcbL (Ventral Striatum, Lateral Accumbens)",right,"AcbL (Ventral Striatum, Lateral Accumbens)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"AcbL (Ventral Striatum, Lateral Accumbens) right",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT,"AcbL (Ventral Striatum, Lateral Accumbens) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,"AcbL (Ventral Striatum, Lateral Accumbens)",left,"AcbL (Ventral Striatum, Lateral Accumbens)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"AcbL (Ventral Striatum, Lateral Accumbens) left",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_RIGHT,"FuP (Ventral Striatum, Fundus of Putamen) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,"FuP (Ventral Striatum, Fundus of Putamen)",right,"FuP (Ventral Striatum, Fundus of Putamen)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"FuP (Ventral Striatum, Fundus of Putamen) right",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_LEFT,"FuP (Ventral Striatum, Fundus of Putamen) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,"FuP (Ventral Striatum, Fundus of Putamen)",left,"FuP (Ventral Striatum, Fundus of Putamen)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"FuP (Ventral Striatum, Fundus of Putamen) left",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
