source_region_id,source_region_name,hemisphere,biological_base_name,normalized_name_en,normalized_name_zh,zh_status,unresolved_descriptors
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM_RIGHT,VP (Ventral Pallidum) right,right,VP (Ventral Pallidum),VP (Ventral Pallidum) right,右侧VP（腹侧苍白球）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM_LEFT,VP (Ventral Pallidum) left,left,VP (Ventral Pallidum),VP (Ventral Pallidum) left,左侧VP（腹侧苍白球）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_RIGHT,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",right,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus)","FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",右侧FuCd（腹侧纹状体，尾状核底部）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_LEFT,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",left,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus)","FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",左侧FuCd（腹侧纹状体，尾状核底部）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT,"AcbM (Ventral Striatum, Medial Accumbens) right",right,"AcbM (Ventral Striatum, Medial Accumbens)","AcbM (Ventral Striatum, Medial Accumbens) right",右侧AcbM（腹侧纹状体，内侧伏隔核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_LEFT,"AcbM (Ventral Striatum, Medial Accumbens) left",left,"AcbM (Ventral Striatum, Medial Accumbens)","AcbM (Ventral Striatum, Medial Accumbens) left",左侧AcbM（腹侧纹状体，内侧伏隔核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,"AcbL (Ventral Striatum, Lateral Accumbens)","AcbL (Ventral Striatum, Lateral Accumbens) right",右侧AcbL（腹侧纹状体，外侧伏隔核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT,"AcbL (Ventral Striatum, Lateral Accumbens) left",left,"AcbL (Ventral Striatum, Lateral Accumbens)","AcbL (Ventral Striatum, Lateral Accumbens) left",左侧AcbL（腹侧纹状体，外侧伏隔核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_RIGHT,"FuP (Ventral Striatum, Fundus of Putamen) right",right,"FuP (Ventral Striatum, Fundus of Putamen)","FuP (Ventral Striatum, Fundus of Putamen) right",右侧FuP（腹侧纹状体，壳核底部）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_LEFT,"FuP (Ventral Striatum, Fundus of Putamen) left",left,"FuP (Ventral Striatum, Fundus of Putamen)","FuP (Ventral Striatum, Fundus of Putamen) left",左侧FuP（腹侧纹状体，壳核底部）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN_RIGHT,Ch 4 (Basal Forebrain) right,right,Ch 4 (Basal Forebrain),Ch 4 (Basal Forebrain) right,右侧Ch 4（基底前脑）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN_LEFT,Ch 4 (Basal Forebrain) left,left,Ch 4 (Basal Forebrain),Ch 4 (Basal Forebrain) left,左侧Ch 4（基底前脑）,resolved,
