region_id,region_name,parent_region_id,parent_region_name,depth,is_leaf,child_count,shortname,species,rgb
minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,Julich-Brain Cytoarchitectonic Atlas (v3.1),,,0,False,4,Julich-Brain v3.1,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_TELENCEPHALON,telencephalon,minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,Julich-Brain Cytoarchitectonic Atlas (v3.1),1,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CEREBRAL_NUCLEI,cerebral nuclei,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_TELENCEPHALON,telencephalon,2,False,3,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BASAL_GANGLIA,basal ganglia,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CEREBRAL_NUCLEI,cerebral nuclei,3,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VENTRAL_PALLIDUM,ventral pallidum,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BASAL_GANGLIA,basal ganglia,4,False,1,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP (Ventral Pallidum),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VENTRAL_PALLIDUM,ventral pallidum,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM_RIGHT,VP (Ventral Pallidum) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP (Ventral Pallidum),6,True,0,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM_LEFT,VP (Ventral Pallidum) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP (Ventral Pallidum),6,True,0,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VENTRAL_STRIATUM,ventral striatum,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BASAL_GANGLIA,basal ganglia,4,False,4,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VENTRAL_STRIATUM,ventral striatum,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_RIGHT,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus)",6,True,0,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_LEFT,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus)",6,True,0,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,"AcbM (Ventral Striatum, Medial Accumbens)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VENTRAL_STRIATUM,ventral striatum,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT,"AcbM (Ventral Striatum, Medial Accumbens) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,"AcbM (Ventral Striatum, Medial Accumbens)",6,True,0,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_LEFT,"AcbM (Ventral Striatum, Medial Accumbens) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,"AcbM (Ventral Striatum, Medial Accumbens)",6,True,0,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,"AcbL (Ventral Striatum, Lateral Accumbens)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VENTRAL_STRIATUM,ventral striatum,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT,"AcbL (Ventral Striatum, Lateral Accumbens) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,"AcbL (Ventral Striatum, Lateral Accumbens)",6,True,0,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT,"AcbL (Ventral Striatum, Lateral Accumbens) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,"AcbL (Ventral Striatum, Lateral Accumbens)",6,True,0,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,"FuP (Ventral Striatum, Fundus of Putamen)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VENTRAL_STRIATUM,ventral striatum,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_RIGHT,"FuP (Ventral Striatum, Fundus of Putamen) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,"FuP (Ventral Striatum, Fundus of Putamen)",6,True,0,,Homo sapiens,
