source_row_id,source_name_en,source_name_zh,normalized_name_en,normalized_name_zh,hemisphere,structure_type,brainregion_eligible,circuit_discovery_eligible,granularity_level,species_taxon_id,normalization_status,normalization_note
1,white matter,脑白质,Cerebral White Matter,大脑白质,midline,white_matter,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
2,left lateral ventricle,左侧脑室,Left Lateral Ventricle,左侧脑室,left,ventricle,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
3,left inferior lateral ventricle,左下侧脑室,Left Inferior Lateral Ventricle,左侧脑室下角,left,ventricle,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
4,left cerebellum exterior,左小脑外侧,Left Cerebellum Exterior,左侧小脑外部（FreeSurfer标签）,left,other,false,false,G1_MACRO,9606,normalized,FreeSurfer segmentation/support label; not treated as canonical biological BrainRegion.
5,left cerebellum white matter,左侧小脑白质,Left Cerebellar White Matter,左小脑白质,left,white_matter,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
6,left thalamus proper,左丘脑本体,Left Thalamus,左丘脑,left,subcortical_region,true,true,G1_MACRO,9606,normalized,
7,left caudate,左尾状核,Left Caudate Nucleus,左尾状核,left,subcortical_region,true,true,G1_MACRO,9606,normalized,
8,left putamen,左壳核,Left Putamen,左壳核,left,subcortical_region,true,true,G1_MACRO,9606,normalized,
9,left pallidum,左苍白球,Left Globus Pallidus,左苍白球,left,subcortical_region,true,true,G1_MACRO,9606,normalized,
10,3rd ventricle,第三脑室,Third Ventricle,第三脑室,midline,ventricle,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
11,4th ventricle,第四脑室,Fourth Ventricle,第四脑室,midline,ventricle,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
12,Brain stem,脑干,Brainstem,脑干,midline,brainstem_region,true,true,G1_MACRO,9606,normalized,
13,left hippocampus,左海马,Left Hippocampus,左海马,left,subcortical_region,true,true,G1_MACRO,9606,normalized,
14,left amygdala,左杏仁核,Left Amygdala,左杏仁核,left,subcortical_region,true,true,G1_MACRO,9606,normalized,
15,CSF,脑脊液,Cerebrospinal Fluid,脑脊液,midline,csf,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
16,left accumbens area,左伏隔区,Left Nucleus Accumbens,左伏隔核,left,subcortical_region,true,true,G1_MACRO,9606,normalized,
17,left ventral diencephalon,左腹间脑,Left Ventral Diencephalon,左腹侧间脑,left,subcortical_region,true,true,G1_MACRO,9606,normalized,
18,right lateral ventricle,右侧脑室,Right Lateral Ventricle,右侧脑室,right,ventricle,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
19,right inferior lateral ventricle,右下侧脑室,Right Inferior Lateral Ventricle,右侧脑室下角,right,ventricle,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
20,right cerebellum exterior,右小脑外侧,Right Cerebellum Exterior,右侧小脑外部（FreeSurfer标签）,right,other,false,false,G1_MACRO,9606,normalized,FreeSurfer segmentation/support label; not treated as canonical biological BrainRegion.
21,right cerebellum white matter,右小脑白质,Right Cerebellar White Matter,右小脑白质,right,white_matter,false,false,G1_MACRO,9606,normalized,excluded from BrainRegion anchor
22,right thalamus proper,右丘脑本体,Right Thalamus,右丘脑,right,subcortical_region,true,true,G1_MACRO,9606,normalized,
23,right caudate,右尾状核,Right Caudate Nucleus,右尾状核,right,subcortical_region,true,true,G1_MACRO,9606,normalized,
24,right putamen,右壳核,Right Putamen,右壳核,right,subcortical_region,true,true,G1_MACRO,9606,normalized,
25,right pallidum,右苍白球,Right Globus Pallidus,右苍白球,right,subcortical_region,true,true,G1_MACRO,9606,normalized,
26,right hippocampus,右海马,Right Hippocampus,右海马,right,subcortical_region,true,true,G1_MACRO,9606,normalized,
27,right amygdala,右杏仁核,Right Amygdala,右杏仁核,right,subcortical_region,true,true,G1_MACRO,9606,normalized,
28,right accumbens area,右伏隔区,Right Nucleus Accumbens,右伏隔核,right,subcortical_region,true,true,G1_MACRO,9606,normalized,
29,right ventral diencephalon,右腹间脑,Right Ventral Diencephalon,右腹侧间脑,right,subcortical_region,true,true,G1_MACRO,9606,normalized,
30,left basal forebrain,左基底前脑,Left Basal Forebrain,左侧基底前脑,left,basal_forebrain,true,true,G1_MACRO,9606,normalized,coarse/composite anatomical region (FreeSurfer aseg)
31,right basal forebrain,右基底前脑,Right Basal Forebrain,右侧基底前脑,right,basal_forebrain,true,true,G1_MACRO,9606,normalized,coarse/composite anatomical region (FreeSurfer aseg)
