parcel_id,official_code,official_macro_gyrus,official_modified_name,hemisphere,g3_entity_id,g3_name_en,g3_name_zh,g3_source_name_original,current_alias,alignment_method,alignment_status
1,SFG_L_7_1,"SFG, Superior frontal gyrus",medial area 8,left,NGIQ-BR-00000001,"Left Superior frontal gyrus, Brainnetome 7_1",左侧额上回（Brainnetome 7-1）,SFG_L_7_1,SFG_L_7_1,EXACT_BRAINNETOME_XREF,ALIGNED
2,SFG_R_7_1,"SFG, Superior frontal gyrus",medial area 8,right,NGIQ-BR-00000002,"Right Superior frontal gyrus, Brainnetome 7_1",右侧额上回（Brainnetome 7-1）,SFG_R_7_1,SFG_R_7_1,EXACT_BRAINNETOME_XREF,ALIGNED
3,SFG_L_7_2,"SFG, Superior frontal gyrus",dorsolateral area 8,left,NGIQ-BR-00000021,"Left Superior frontal gyrus, Brainnetome 7_2",左侧额上回（Brainnetome 7-2）,SFG_L_7_2,SFG_L_7_2,EXACT_BRAINNETOME_XREF,ALIGNED
4,SFG_R_7_2,"SFG, Superior frontal gyrus",dorsolateral area 8,right,NGIQ-BR-00000022,"Right Superior frontal gyrus, Brainnetome 7_2",右侧额上回（Brainnetome 7-2）,SFG_R_7_2,SFG_R_7_2,EXACT_BRAINNETOME_XREF,ALIGNED
5,SFG_L_7_3,"SFG, Superior frontal gyrus",lateral area 9,left,NGIQ-BR-00000023,"Left Superior frontal gyrus, Brainnetome 7_3",左侧额上回（Brainnetome 7-3）,SFG_L_7_3,SFG_L_7_3,EXACT_BRAINNETOME_XREF,ALIGNED
6,SFG_R_7_3,"SFG, Superior frontal gyrus",lateral area 9,right,NGIQ-BR-00000024,"Right Superior frontal gyrus, Brainnetome 7_3",右侧额上回（Brainnetome 7-3）,SFG_R_7_3,SFG_R_7_3,EXACT_BRAINNETOME_XREF,ALIGNED
7,SFG_L_7_4,"SFG, Superior frontal gyrus",dorsolateral area 6,left,NGIQ-BR-00000025,"Left Superior frontal gyrus, Brainnetome 7_4",左侧额上回（Brainnetome 7-4）,SFG_L_7_4,SFG_L_7_4,EXACT_BRAINNETOME_XREF,ALIGNED
8,SFG_R_7_4,"SFG, Superior frontal gyrus",dorsolateral area 6,right,NGIQ-BR-00000026,"Right Superior frontal gyrus, Brainnetome 7_4",右侧额上回（Brainnetome 7-4）,SFG_R_7_4,SFG_R_7_4,EXACT_BRAINNETOME_XREF,ALIGNED
9,SFG_L_7_5,"SFG, Superior frontal gyrus",medial area 6,left,NGIQ-BR-00000027,"Left Superior frontal gyrus, Brainnetome 7_5",左侧额上回（Brainnetome 7-5）,SFG_L_7_5,SFG_L_7_5,EXACT_BRAINNETOME_XREF,ALIGNED
10,SFG_R_7_5,"SFG, Superior frontal gyrus",medial area 6,right,NGIQ-BR-00000028,"Right Superior frontal gyrus, Brainnetome 7_5",右侧额上回（Brainnetome 7-5）,SFG_R_7_5,SFG_R_7_5,EXACT_BRAINNETOME_XREF,ALIGNED
11,SFG_L_7_6,"SFG, Superior frontal gyrus",medial area 9,left,NGIQ-BR-00000029,"Left Superior frontal gyrus, Brainnetome 7_6",左侧额上回（Brainnetome 7-6）,SFG_L_7_6,SFG_L_7_6,EXACT_BRAINNETOME_XREF,ALIGNED
12,SFG_R_7_6,"SFG, Superior frontal gyrus",medial area 9,right,NGIQ-BR-00000030,"Right Superior frontal gyrus, Brainnetome 7_6",右侧额上回（Brainnetome 7-6）,SFG_R_7_6,SFG_R_7_6,EXACT_BRAINNETOME_XREF,ALIGNED
13,SFG_L_7_7,"SFG, Superior frontal gyrus",medial area 10,left,NGIQ-BR-00000031,"Left Superior frontal gyrus, Brainnetome 7_7",左侧额上回（Brainnetome 7-7）,SFG_L_7_7,SFG_L_7_7,EXACT_BRAINNETOME_XREF,ALIGNED
14,SFG_R_7_7,"SFG, Superior frontal gyrus",medial area 10,right,NGIQ-BR-00000032,"Right Superior frontal gyrus, Brainnetome 7_7",右侧额上回（Brainnetome 7-7）,SFG_R_7_7,SFG_R_7_7,EXACT_BRAINNETOME_XREF,ALIGNED
15,MFG_L_7_1,"MFG, Middle frontal gyrus",dorsal area 9/46,left,NGIQ-BR-00000033,"Left Middle frontal gyrus, Brainnetome 7_1",左侧额中回（Brainnetome 7-1）,MFG_L_7_1,MFG_L_7_1,EXACT_BRAINNETOME_XREF,ALIGNED
16,MFG_R_7_1,"MFG, Middle frontal gyrus",dorsal area 9/46,right,NGIQ-BR-00000034,"Right Middle frontal gyrus, Brainnetome 7_1",右侧额中回（Brainnetome 7-1）,MFG_R_7_1,MFG_R_7_1,EXACT_BRAINNETOME_XREF,ALIGNED
17,MFG_L_7_2,"MFG, Middle frontal gyrus",inferior frontal junction,left,NGIQ-BR-00000035,"Left Middle frontal gyrus, Brainnetome 7_2",左侧额中回（Brainnetome 7-2）,MFG_L_7_2,MFG_L_7_2,EXACT_BRAINNETOME_XREF,ALIGNED
18,MFG_R_7_2,"MFG, Middle frontal gyrus",inferior frontal junction,right,NGIQ-BR-00000036,"Right Middle frontal gyrus, Brainnetome 7_2",右侧额中回（Brainnetome 7-2）,MFG_R_7_2,MFG_R_7_2,EXACT_BRAINNETOME_XREF,ALIGNED
19,MFG_L_7_3,"MFG, Middle frontal gyrus",area 46,left,NGIQ-BR-00000037,"Left Middle frontal gyrus, Brainnetome 7_3",左侧额中回（Brainnetome 7-3）,MFG_L_7_3,MFG_L_7_3,EXACT_BRAINNETOME_XREF,ALIGNED
20,MFG_R_7_3,"MFG, Middle frontal gyrus",area 46,right,NGIQ-BR-00000038,"Right Middle frontal gyrus, Brainnetome 7_3",右侧额中回（Brainnetome 7-3）,MFG_R_7_3,MFG_R_7_3,EXACT_BRAINNETOME_XREF,ALIGNED
21,MFG_L_7_4,"MFG, Middle frontal gyrus",ventral area 9/46,left,NGIQ-BR-00000039,"Left Middle frontal gyrus, Brainnetome 7_4",左侧额中回（Brainnetome 7-4）,MFG_L_7_4,MFG_L_7_4,EXACT_BRAINNETOME_XREF,ALIGNED
22,MFG_R_7_4,"MFG, Middle frontal gyrus",ventral area 9/46,right,NGIQ-BR-00000040,"Right Middle frontal gyrus, Brainnetome 7_4",右侧额中回（Brainnetome 7-4）,MFG_R_7_4,MFG_R_7_4,EXACT_BRAINNETOME_XREF,ALIGNED
23,MFG_L_7_5,"MFG, Middle frontal gyrus",ventrolateral area 8,left,NGIQ-BR-00000041,"Left Middle frontal gyrus, Brainnetome 7_5",左侧额中回（Brainnetome 7-5）,MFG_L_7_5,MFG_L_7_5,EXACT_BRAINNETOME_XREF,ALIGNED
24,MFG_R_7_5,"MFG, Middle frontal gyrus",ventrolateral area 8,right,NGIQ-BR-00000042,"Right Middle frontal gyrus, Brainnetome 7_5",右侧额中回（Brainnetome 7-5）,MFG_R_7_5,MFG_R_7_5,EXACT_BRAINNETOME_XREF,ALIGNED
