surface_label_name,hemisphere,parcel_id,official_code,g3_entity_id,g3_name,alignment_method,alignment_status,note
A8m_L,left,1,SFG_L_7_1,NGIQ-BR-00000001,"Left Superior frontal gyrus, Brainnetome 7_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A8m_R,right,2,SFG_R_7_1,NGIQ-BR-00000002,"Right Superior frontal gyrus, Brainnetome 7_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A8dl_L,left,3,SFG_L_7_2,NGIQ-BR-00000021,"Left Superior frontal gyrus, Brainnetome 7_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A8dl_R,right,4,SFG_R_7_2,NGIQ-BR-00000022,"Right Superior frontal gyrus, Brainnetome 7_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A9l_L,left,5,SFG_L_7_3,NGIQ-BR-00000023,"Left Superior frontal gyrus, Brainnetome 7_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A9l_R,right,6,SFG_R_7_3,NGIQ-BR-00000024,"Right Superior frontal gyrus, Brainnetome 7_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6dl_L,left,7,SFG_L_7_4,NGIQ-BR-00000025,"Left Superior frontal gyrus, Brainnetome 7_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6dl_R,right,8,SFG_R_7_4,NGIQ-BR-00000026,"Right Superior frontal gyrus, Brainnetome 7_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6m_L,left,9,SFG_L_7_5,NGIQ-BR-00000027,"Left Superior frontal gyrus, Brainnetome 7_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6m_R,right,10,SFG_R_7_5,NGIQ-BR-00000028,"Right Superior frontal gyrus, Brainnetome 7_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A9m_L,left,11,SFG_L_7_6,NGIQ-BR-00000029,"Left Superior frontal gyrus, Brainnetome 7_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A9m_R,right,12,SFG_R_7_6,NGIQ-BR-00000030,"Right Superior frontal gyrus, Brainnetome 7_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A10m_L,left,13,SFG_L_7_7,NGIQ-BR-00000031,"Left Superior frontal gyrus, Brainnetome 7_7",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A10m_R,right,14,SFG_R_7_7,NGIQ-BR-00000032,"Right Superior frontal gyrus, Brainnetome 7_7",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
