label_id,label_name,hemisphere,dk_name
1000,ctx-lh-unknown,left,unknown
1001,ctx-lh-bankssts,left,bankssts
1002,ctx-lh-caudalanteriorcingulate,left,caudalanteriorcingulate
1003,ctx-lh-caudalmiddlefrontal,left,caudalmiddlefrontal
1004,ctx-lh-corpuscallosum,left,corpuscallosum
1005,ctx-lh-cuneus,left,cuneus
1006,ctx-lh-entorhinal,left,entorhinal
1007,ctx-lh-fusiform,left,fusiform
1008,ctx-lh-inferiorparietal,left,inferiorparietal
1009,ctx-lh-inferiortemporal,left,inferiortemporal
1010,ctx-lh-isthmuscingulate,left,isthmuscingulate
1011,ctx-lh-lateraloccipital,left,lateraloccipital
1012,ctx-lh-lateralorbitofrontal,left,lateralorbitofrontal
1013,ctx-lh-lingual,left,lingual
1014,ctx-lh-medialorbitofrontal,left,medialorbitofrontal
1015,ctx-lh-middletemporal,left,middletemporal
1016,ctx-lh-parahippocampal,left,parahippocampal
1017,ctx-lh-paracentral,left,paracentral
1018,ctx-lh-parsopercularis,left,parsopercularis
1019,ctx-lh-parsorbitalis,left,parsorbitalis
1020,ctx-lh-parstriangularis,left,parstriangularis
1021,ctx-lh-pericalcarine,left,pericalcarine
1022,ctx-lh-postcentral,left,postcentral
1023,ctx-lh-posteriorcingulate,left,posteriorcingulate
1024,ctx-lh-precentral,left,precentral
1025,ctx-lh-precuneus,left,precuneus
1026,ctx-lh-rostralanteriorcingulate,left,rostralanteriorcingulate
1027,ctx-lh-rostralmiddlefrontal,left,rostralmiddlefrontal
1028,ctx-lh-superiorfrontal,left,superiorfrontal
1029,ctx-lh-superiorparietal,left,superiorparietal
1030,ctx-lh-superiortemporal,left,superiortemporal
1031,ctx-lh-supramarginal,left,supramarginal
1032,ctx-lh-frontalpole,left,frontalpole
1033,ctx-lh-temporalpole,left,temporalpole
1034,ctx-lh-transversetemporal,left,transversetemporal
1035,ctx-lh-insula,left,insula
1100,ctx-lh-Unknown,left,Unknown
1101,ctx-lh-Corpus_callosum,left,Corpus_callosum
1102,ctx-lh-G_and_S_Insula_ONLY_AVERAGE,left,G_and_S_Insula_ONLY_AVERAGE
1103,ctx-lh-G_cingulate-Isthmus,left,G_cingulate-Isthmus
1104,ctx-lh-G_cingulate-Main_part,left,G_cingulate-Main_part
1105,ctx-lh-G_cuneus,left,G_cuneus
1106,ctx-lh-G_frontal_inf-Opercular_part,left,G_frontal_inf-Opercular_part
1107,ctx-lh-G_frontal_inf-Orbital_part,left,G_frontal_inf-Orbital_part
1108,ctx-lh-G_frontal_inf-Triangular_part,left,G_frontal_inf-Triangular_part
1109,ctx-lh-G_frontal_middle,left,G_frontal_middle
1110,ctx-lh-G_frontal_superior,left,G_frontal_superior
1111,ctx-lh-G_frontomarginal,left,G_frontomarginal
1112,ctx-lh-G_insular_long,left,G_insular_long
1113,ctx-lh-G_insular_short,left,G_insular_short
1114,ctx-lh-G_and_S_occipital_inferior,left,G_and_S_occipital_inferior
1115,ctx-lh-G_occipital_middle,left,G_occipital_middle
1116,ctx-lh-G_occipital_superior,left,G_occipital_superior
1117,ctx-lh-G_occipit-temp_lat-Or_fusiform,left,G_occipit-temp_lat-Or_fusiform
1118,ctx-lh-G_occipit-temp_med-Lingual_part,left,G_occipit-temp_med-Lingual_part
1119,ctx-lh-G_occipit-temp_med-Parahippocampal_part,left,G_occipit-temp_med-Parahippocampal_part
1120,ctx-lh-G_orbital,left,G_orbital
1121,ctx-lh-G_paracentral,left,G_paracentral
1122,ctx-lh-G_parietal_inferior-Angular_part,left,G_parietal_inferior-Angular_part
1123,ctx-lh-G_parietal_inferior-Supramarginal_part,left,G_parietal_inferior-Supramarginal_part
1124,ctx-lh-G_parietal_superior,left,G_parietal_superior
1125,ctx-lh-G_postcentral,left,G_postcentral
1126,ctx-lh-G_precentral,left,G_precentral
1127,ctx-lh-G_precuneus,left,G_precuneus
1128,ctx-lh-G_rectus,left,G_rectus
1129,ctx-lh-G_subcallosal,left,G_subcallosal
1130,ctx-lh-G_subcentral,left,G_subcentral
1131,ctx-lh-G_temporal_inferior,left,G_temporal_inferior
1132,ctx-lh-G_temporal_middle,left,G_temporal_middle
1133,ctx-lh-G_temp_sup-G_temp_transv_and_interm_S,left,G_temp_sup-G_temp_transv_and_interm_S
1134,ctx-lh-G_temp_sup-Lateral_aspect,left,G_temp_sup-Lateral_aspect
1135,ctx-lh-G_temp_sup-Planum_polare,left,G_temp_sup-Planum_polare
1136,ctx-lh-G_temp_sup-Planum_tempolare,left,G_temp_sup-Planum_tempolare
