relation_id,fine_region_id,fine_name,granularity,atlas,hemisphere,historical_status,proposed_g1_id,proposed_g1_name,proposed_containment,proposed_rank,proposed_dice,best_g1_id,best_containment,second_best_g1_id,second_best_containment,best_non_proposed_g1_id,best_non_proposed_score,margin_vs_best_competitor,fine_voxels,outside_union_voxels,outside_union_fraction,v3_historical,flags,left_fraction,right_fraction,correct_side_fraction,contralateral_fraction
NGIQ-BR-00000001,NGIQ-BR-00000001,SFG_L_7_1,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.40449,1,0.18315,NGIQ-BR-00000294,0.40449,NGIQ-BR-00000269,0.00029,NGIQ-BR-00000269,0.00029,0.4042,6905,4110,0.59522,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,0.9609,0.0391,0.9609,0.0391
NGIQ-BR-00000003,NGIQ-BR-00000003,IFG_L_6_1,G3_MESO_FINE,Brainnetome,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",0.4059,1,0.28391,NGIQ-BR-00000284,0.4059,NGIQ-BR-00000269,0.0,NGIQ-BR-00000269,0.0,0.4059,2710,1610,0.5941,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000007,NGIQ-BR-00000007,MTG_L_4_1,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000281,Left Middle Temporal Gyrus,0.38108,1,0.27245,NGIQ-BR-00000281,0.38108,NGIQ-BR-00000275,0.01211,NGIQ-BR-00000275,0.01211,0.36897,4873,2957,0.60681,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000009,NGIQ-BR-00000009,SPL_L_5_1,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000295,Left Superior Parietal Lobule,0.24802,1,0.13986,NGIQ-BR-00000295,0.24802,NGIQ-BR-00000291,0.04266,NGIQ-BR-00000291,0.04266,0.20536,3657,2594,0.70932,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000011,NGIQ-BR-00000011,IPL_L_6_1,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000274,Left Inferior Parietal Lobule,0.26548,1,0.25091,NGIQ-BR-00000274,0.26548,NGIQ-BR-00000277,0.0017,NGIQ-BR-00000277,0.0017,0.26378,7639,5597,0.73269,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000013,NGIQ-BR-00000013,INS_L_6_1,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000299,Left Insula,0.42027,1,0.20534,NGIQ-BR-00000299,0.42027,NGIQ-BR-00000298,0.02724,NGIQ-BR-00000298,0.02724,0.39303,2753,1439,0.5227,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000015,NGIQ-BR-00000015,MVOcC_L_5_1,G3_MESO_FINE,Brainnetome,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000279,Left Lingual Gyrus,0.24152,1,0.20863,NGIQ-BR-00000279,0.24152,NGIQ-BR-00000277,0.00161,NGIQ-BR-00000277,0.00161,0.23991,4335,3277,0.75594,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,0.988,0.012,0.988,0.012
NGIQ-BR-00000021,NGIQ-BR-00000021,SFG_L_7_2,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.37292,1,0.20343,NGIQ-BR-00000294,0.37292,NGIQ-BR-00000293,0.0174,NGIQ-BR-00000293,0.0174,0.35552,8849,5378,0.60775,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000023,NGIQ-BR-00000023,SFG_L_7_3,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.53393,1,0.22936,NGIQ-BR-00000294,0.53393,NGIQ-BR-00000293,0.01255,NGIQ-BR-00000293,0.01255,0.52138,6454,2927,0.45352,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000025,NGIQ-BR-00000025,SFG_L_7_4,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.33981,1,0.12959,NGIQ-BR-00000294,0.33981,NGIQ-BR-00000290,0.00216,NGIQ-BR-00000290,0.00216,0.33765,5559,3655,0.65749,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
