fine_region_id,hemisphere,g1_id,containment,dice,target_covered,intersection,centroid_distance_mm
NGIQ-BR-00000001,left,NGIQ-BR-00000269,0.00029,0.00043,0.00087,2,30.381
NGIQ-BR-00000001,left,NGIQ-BR-00000270,0.0,0.0,0.0,0,31.885
NGIQ-BR-00000001,left,NGIQ-BR-00000271,0.0,0.0,0.0,0,102.396
NGIQ-BR-00000001,left,NGIQ-BR-00000272,0.0,0.0,0.0,0,95.716
NGIQ-BR-00000001,left,NGIQ-BR-00000273,0.0,0.0,0.0,0,101.091
NGIQ-BR-00000001,left,NGIQ-BR-00000274,0.0,0.0,0.0,0,95.763
NGIQ-BR-00000001,left,NGIQ-BR-00000275,0.0,0.0,0.0,0,104.723
NGIQ-BR-00000001,left,NGIQ-BR-00000276,0.0,0.0,0.0,0,70.897
NGIQ-BR-00000001,left,NGIQ-BR-00000277,0.0,0.0,0.0,0,121.676
NGIQ-BR-00000001,left,NGIQ-BR-00000278,0.0,0.0,0.0,0,77.651
NGIQ-BR-00000001,left,NGIQ-BR-00000279,0.0,0.0,0.0,0,103.051
NGIQ-BR-00000001,left,NGIQ-BR-00000280,0.0,0.0,0.0,0,77.095
NGIQ-BR-00000001,left,NGIQ-BR-00000281,0.0,0.0,0.0,0,97.581
NGIQ-BR-00000001,left,NGIQ-BR-00000282,0.0,0.0,0.0,0,89.58
NGIQ-BR-00000001,left,NGIQ-BR-00000283,0.0,0.0,0.0,0,44.17
NGIQ-BR-00000001,left,NGIQ-BR-00000284,0.0,0.0,0.0,0,59.222
NGIQ-BR-00000001,left,NGIQ-BR-00000285,0.0,0.0,0.0,0,82.708
NGIQ-BR-00000001,left,NGIQ-BR-00000286,0.0,0.0,0.0,0,68.608
NGIQ-BR-00000001,left,NGIQ-BR-00000287,0.0,0.0,0.0,0,109.641
NGIQ-BR-00000001,left,NGIQ-BR-00000288,0.0,0.0,0.0,0,56.868
NGIQ-BR-00000001,left,NGIQ-BR-00000289,0.0,0.0,0.0,0,37.689
NGIQ-BR-00000001,left,NGIQ-BR-00000290,0.0,0.0,0.0,0,44.598
NGIQ-BR-00000001,left,NGIQ-BR-00000291,0.0,0.0,0.0,0,75.38
NGIQ-BR-00000001,left,NGIQ-BR-00000292,0.0,0.0,0.0,0,56.495
NGIQ-BR-00000001,left,NGIQ-BR-00000293,0.0,0.0,0.0,0,58.224
NGIQ-BR-00000001,left,NGIQ-BR-00000294,0.40449,0.18315,0.11837,2793,20.725
NGIQ-BR-00000001,left,NGIQ-BR-00000295,0.0,0.0,0.0,0,82.64
NGIQ-BR-00000001,left,NGIQ-BR-00000296,0.0,0.0,0.0,0,81.636
NGIQ-BR-00000001,left,NGIQ-BR-00000297,0.0,0.0,0.0,0,76.273
NGIQ-BR-00000001,left,NGIQ-BR-00000298,0.0,0.0,0.0,0,71.611
NGIQ-BR-00000001,left,NGIQ-BR-00000299,0.0,0.0,0.0,0,64.312
NGIQ-BR-00000002,right,NGIQ-BR-00000300,0.00386,0.00559,0.01014,29,29.271
NGIQ-BR-00000002,right,NGIQ-BR-00000301,0.0,0.0,0.0,0,29.969
NGIQ-BR-00000002,right,NGIQ-BR-00000302,0.0,0.0,0.0,0,100.979
NGIQ-BR-00000002,right,NGIQ-BR-00000303,0.0,0.0,0.0,0,94.975
NGIQ-BR-00000002,right,NGIQ-BR-00000304,0.0,0.0,0.0,0,100.471
NGIQ-BR-00000002,right,NGIQ-BR-00000305,0.0,0.0,0.0,0,91.857
NGIQ-BR-00000002,right,NGIQ-BR-00000306,0.0,0.0,0.0,0,104.456
NGIQ-BR-00000002,right,NGIQ-BR-00000307,0.0,0.0,0.0,0,71.018
NGIQ-BR-00000002,right,NGIQ-BR-00000308,0.0,0.0,0.0,0,119.586
NGIQ-BR-00000002,right,NGIQ-BR-00000309,0.0,0.0,0.0,0,77.121
NGIQ-BR-00000002,right,NGIQ-BR-00000310,0.0,0.0,0.0,0,101.025
NGIQ-BR-00000002,right,NGIQ-BR-00000311,0.0,0.0,0.0,0,76.067
NGIQ-BR-00000002,right,NGIQ-BR-00000312,0.0,0.0,0.0,0,96.075
NGIQ-BR-00000002,right,NGIQ-BR-00000313,0.0,0.0,0.0,0,88.884
NGIQ-BR-00000002,right,NGIQ-BR-00000314,0.0,0.0,0.0,0,42.17
NGIQ-BR-00000002,right,NGIQ-BR-00000315,0.0,0.0,0.0,0,59.522
NGIQ-BR-00000002,right,NGIQ-BR-00000316,0.0,0.0,0.0,0,82.222
NGIQ-BR-00000002,right,NGIQ-BR-00000317,0.0,0.0,0.0,0,67.68
NGIQ-BR-00000002,right,NGIQ-BR-00000318,0.0,0.0,0.0,0,107.284
NGIQ-BR-00000002,right,NGIQ-BR-00000319,0.0,0.0,0.0,0,54.013
NGIQ-BR-00000002,right,NGIQ-BR-00000320,0.00066,0.00084,0.00116,5,38.0
NGIQ-BR-00000002,right,NGIQ-BR-00000321,0.0,0.0,0.0,0,43.677
NGIQ-BR-00000002,right,NGIQ-BR-00000322,0.0,0.0,0.0,0,74.919
NGIQ-BR-00000002,right,NGIQ-BR-00000323,0.0,0.0,0.0,0,54.943
