fine_region_id,hemisphere,gm_mass,raw_proposed_containment,gm_weighted_proposed_containment,raw_proposed_rank,gm_weighted_rank,raw_best_competitor,gm_best_non_proposed_id,gm_best_non_proposed_score,gm_margin,gm_inside_full_dk_fraction,gm_outside_full_dk_fraction
NGIQ-BR-00000001,left,4279.82,0.40449,0.47805,1,1,NGIQ-BR-00000269,NGIQ-BR-00000269,0.00039,0.47766,0.40478,0.59522
NGIQ-BR-00000003,left,1832.18,0.4059,0.4442,1,1,NGIQ-BR-00000269,NGIQ-BR-00000269,0.0,0.4442,0.4059,0.5941
NGIQ-BR-00000007,left,2735.76,0.38108,0.47051,1,1,NGIQ-BR-00000275,NGIQ-BR-00000275,0.01075,0.45976,0.39401,0.60599
NGIQ-BR-00000009,left,1700.41,0.24802,0.31036,1,1,NGIQ-BR-00000291,NGIQ-BR-00000291,0.05392,0.25644,0.29068,0.70932
NGIQ-BR-00000011,left,4627.47,0.26548,0.27989,1,1,NGIQ-BR-00000277,NGIQ-BR-00000277,0.00093,0.27897,0.26731,0.73269
NGIQ-BR-00000013,left,2087.38,0.42027,0.44214,1,1,NGIQ-BR-00000298,NGIQ-BR-00000298,0.02629,0.41585,0.4773,0.5227
NGIQ-BR-00000015,left,2381.7,0.24152,0.25132,1,1,NGIQ-BR-00000277,NGIQ-BR-00000277,0.00187,0.24945,0.24406,0.75594
NGIQ-BR-00000021,left,5361.62,0.37292,0.41382,1,1,NGIQ-BR-00000293,NGIQ-BR-00000293,0.02304,0.39079,0.39225,0.60775
NGIQ-BR-00000023,left,3908.1,0.53393,0.61134,1,1,NGIQ-BR-00000293,NGIQ-BR-00000293,0.01558,0.59576,0.54648,0.45352
NGIQ-BR-00000025,left,2900.2,0.33981,0.39727,1,1,NGIQ-BR-00000290,NGIQ-BR-00000290,0.00226,0.39501,0.34251,0.65749
NGIQ-BR-00000027,left,4169.67,0.33976,0.37146,1,1,NGIQ-BR-00000283,NGIQ-BR-00000283,0.03866,0.3328,0.38697,0.61303
NGIQ-BR-00000029,left,3927.78,0.43151,0.49372,1,1,NGIQ-BR-00000269,NGIQ-BR-00000269,0.00331,0.4904,0.43405,0.56595
NGIQ-BR-00000031,left,5793.06,0.4508,0.52562,1,1,NGIQ-BR-00000292,NGIQ-BR-00000292,0.00035,0.52527,0.45166,0.54834
NGIQ-BR-00000033,left,5268.3,0.31496,0.33108,1,1,NGIQ-BR-00000294,NGIQ-BR-00000294,0.00436,0.32671,0.31868,0.68132
NGIQ-BR-00000035,left,3832.71,0.17087,0.15045,1,1,NGIQ-BR-00000293,NGIQ-BR-00000293,0.0324,0.11805,0.23146,0.76854
NGIQ-BR-00000037,left,4603.85,0.34028,0.35808,1,1,NGIQ-BR-00000294,NGIQ-BR-00000294,0.02937,0.32872,0.36603,0.63397
NGIQ-BR-00000039,left,5508.37,0.31992,0.33127,1,1,NGIQ-BR-00000286,NGIQ-BR-00000286,0.00584,0.32542,0.32743,0.67257
NGIQ-BR-00000043,left,2883.65,0.28233,0.30775,1,1,NGIQ-BR-00000294,NGIQ-BR-00000294,0.00504,0.30271,0.28688,0.71312
NGIQ-BR-00000045,left,4640.56,0.42258,0.4946,1,1,NGIQ-BR-00000294,NGIQ-BR-00000294,0.05005,0.44455,0.48322,0.51678
NGIQ-BR-00000051,left,1981.85,0.25201,0.26112,1,1,NGIQ-BR-00000285,NGIQ-BR-00000285,0.01974,0.24137,0.26877,0.73123
NGIQ-BR-00000055,left,1629.92,0.44538,0.54268,1,1,NGIQ-BR-00000290,NGIQ-BR-00000290,0.01095,0.53173,0.4542,0.5458
NGIQ-BR-00000057,left,3059.34,0.2976,0.32227,1,1,NGIQ-BR-00000294,NGIQ-BR-00000294,0.08861,0.23365,0.4415,0.5585
NGIQ-BR-00000061,left,5499.55,0.47185,0.52749,1,1,NGIQ-BR-00000293,NGIQ-BR-00000293,0.00688,0.52061,0.48301,0.51699
NGIQ-BR-00000065,left,5808.8,0.16784,0.18027,1,1,NGIQ-BR-00000278,NGIQ-BR-00000278,0.11382,0.06645,0.28031,0.71969
NGIQ-BR-00000069,left,4559.91,0.46287,0.51794,1,1,NGIQ-BR-00000288,NGIQ-BR-00000288,0.008,0.50994,0.47207,0.52793
NGIQ-BR-00000071,left,3500.14,0.32115,0.35076,1,1,NGIQ-BR-00000270,NGIQ-BR-00000270,0.02009,0.33067,0.35523,0.64477
NGIQ-BR-00000073,left,2251.21,0.40291,0.44696,1,1,NGIQ-BR-00000288,NGIQ-BR-00000288,0.04759,0.39937,0.43708,0.56292
NGIQ-BR-00000075,left,875.29,0.38564,0.49835,1,1,NGIQ-BR-00000283,NGIQ-BR-00000283,0.02876,0.46959,0.40647,0.59353
NGIQ-BR-00000077,left,2599.46,0.43813,0.49742,1,1,NGIQ-BR-00000288,NGIQ-BR-00000288,0.03265,0.46477,0.47938,0.52062
NGIQ-BR-00000079,left,4315.79,0.27933,0.28979,1,1,NGIQ-BR-00000284,NGIQ-BR-00000284,0.01669,0.27311,0.29978,0.70022
NGIQ-BR-00000081,left,1819.37,0.41861,0.49249,1,1,NGIQ-BR-00000290,NGIQ-BR-00000290,0.01675,0.47574,0.43853,0.56147
NGIQ-BR-00000083,left,2468.27,0.44526,0.50382,1,1,NGIQ-BR-00000290,NGIQ-BR-00000290,0.00129,0.50252,0.44761,0.55239
NGIQ-BR-00000085,left,2534.96,0.38456,0.34272,1,1,NGIQ-BR-00000298,NGIQ-BR-00000298,0.03344,0.30929,0.41818,0.58182
NGIQ-BR-00000089,left,3372.7,0.37922,0.44739,1,1,NGIQ-BR-00000297,NGIQ-BR-00000297,0.0079,0.43949,0.42639,0.57361
NGIQ-BR-00000091,left,2936.32,0.46871,0.62821,1,1,NGIQ-BR-00000269,NGIQ-BR-00000269,0.0,0.62821,0.46871,0.53129
