relation_id,fine_region_id,fine_region_name,parcel_id,fine_granularity,fine_atlas,hemisphere,proposed_g1_id,proposed_g1_name,historical_status,historical_reason
NGIQ-BR-00000001,NGIQ-BR-00000001,SFG_L_7_1,1,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000294,Left Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000002,NGIQ-BR-00000002,SFG_R_7_1,2,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000325,Right Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000021,NGIQ-BR-00000021,SFG_L_7_2,3,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000294,Left Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000022,NGIQ-BR-00000022,SFG_R_7_2,4,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000325,Right Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000023,NGIQ-BR-00000023,SFG_L_7_3,5,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000294,Left Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000024,NGIQ-BR-00000024,SFG_R_7_3,6,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000325,Right Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000025,NGIQ-BR-00000025,SFG_L_7_4,7,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000294,Left Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000026,NGIQ-BR-00000026,SFG_R_7_4,8,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000325,Right Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000027,NGIQ-BR-00000027,SFG_L_7_5,9,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000294,Left Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000028,NGIQ-BR-00000028,SFG_R_7_5,10,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000325,Right Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000029,NGIQ-BR-00000029,SFG_L_7_6,11,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000294,Left Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000030,NGIQ-BR-00000030,SFG_R_7_6,12,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000325,Right Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000031,NGIQ-BR-00000031,SFG_L_7_7,13,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000294,Left Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000032,NGIQ-BR-00000032,SFG_R_7_7,14,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000325,Right Superior Frontal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000033,NGIQ-BR-00000033,MFG_L_7_1,15,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000034,NGIQ-BR-00000034,MFG_R_7_1,16,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000324,Right Rostral Middle Frontal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
