fine_region_id,hemisphere,fine_voxels,inside_selected62_voxels,inside_selected62_fraction,outside_selected62_fraction,inside_full_dk_fraction,inside_omitted_dk_fraction,outside_full_dk_fraction,conservation_check
NGIQ-BR-00000001,left,6905,2795,0.40478,0.59522,0.40478,0.0,0.59522,1.0
NGIQ-BR-00000003,left,2710,1100,0.4059,0.5941,0.4059,0.0,0.5941,1.0
NGIQ-BR-00000007,left,4873,1916,0.39319,0.60681,0.39401,0.00082,0.60599,1.0
NGIQ-BR-00000009,left,3657,1063,0.29068,0.70932,0.29068,0.0,0.70932,1.0
NGIQ-BR-00000011,left,7639,2042,0.26731,0.73269,0.26731,0.0,0.73269,1.0
NGIQ-BR-00000013,left,2753,1314,0.4773,0.5227,0.4773,0.0,0.5227,1.0
NGIQ-BR-00000015,left,4335,1058,0.24406,0.75594,0.24406,0.0,0.75594,1.0
NGIQ-BR-00000021,left,8849,3471,0.39225,0.60775,0.39225,0.0,0.60775,1.0
NGIQ-BR-00000023,left,6454,3527,0.54648,0.45352,0.54648,0.0,0.45352,1.0
NGIQ-BR-00000025,left,5559,1904,0.34251,0.65749,0.34251,0.0,0.65749,1.0
NGIQ-BR-00000027,left,6799,2631,0.38697,0.61303,0.38697,0.0,0.61303,1.0
NGIQ-BR-00000029,left,5921,2570,0.43405,0.56595,0.43405,0.0,0.56595,1.0
NGIQ-BR-00000031,left,9381,4237,0.45166,0.54834,0.45166,0.0,0.54834,1.0
NGIQ-BR-00000033,left,8598,2740,0.31868,0.68132,0.31868,0.0,0.68132,1.0
NGIQ-BR-00000035,left,6783,1570,0.23146,0.76854,0.23146,0.0,0.76854,1.0
NGIQ-BR-00000037,left,7535,2758,0.36603,0.63397,0.36603,0.0,0.63397,1.0
NGIQ-BR-00000039,left,8924,2922,0.32743,0.67257,0.32743,0.0,0.67257,1.0
NGIQ-BR-00000043,left,5281,1515,0.28688,0.71312,0.28688,0.0,0.71312,1.0
NGIQ-BR-00000045,left,7388,3529,0.47767,0.52233,0.48322,0.00555,0.51678,1.0
NGIQ-BR-00000051,left,3103,834,0.26877,0.73123,0.26877,0.0,0.73123,1.0
NGIQ-BR-00000055,left,2380,1081,0.4542,0.5458,0.4542,0.0,0.5458,1.0
NGIQ-BR-00000057,left,4496,1722,0.38301,0.61699,0.4415,0.0585,0.5585,1.0
NGIQ-BR-00000061,left,8242,3981,0.48301,0.51699,0.48301,0.0,0.51699,1.0
NGIQ-BR-00000065,left,7531,2111,0.28031,0.71969,0.28031,0.0,0.71969,1.0
NGIQ-BR-00000069,left,7823,3693,0.47207,0.52793,0.47207,0.0,0.52793,1.0
NGIQ-BR-00000071,left,6486,2304,0.35523,0.64477,0.35523,0.0,0.64477,1.0
NGIQ-BR-00000073,left,4887,2136,0.43708,0.56292,0.43708,0.0,0.56292,1.0
NGIQ-BR-00000075,left,2256,917,0.40647,0.59353,0.40647,0.0,0.59353,1.0
NGIQ-BR-00000077,left,3661,1755,0.47938,0.52062,0.47938,0.0,0.52062,1.0
NGIQ-BR-00000079,left,6358,1906,0.29978,0.70022,0.29978,0.0,0.70022,1.0
NGIQ-BR-00000081,left,3213,1409,0.43853,0.56147,0.43853,0.0,0.56147,1.0
NGIQ-BR-00000083,left,4247,1901,0.44761,0.55239,0.44761,0.0,0.55239,1.0
NGIQ-BR-00000085,left,4015,1679,0.41818,0.58182,0.41818,0.0,0.58182,1.0
NGIQ-BR-00000089,left,5237,2029,0.38744,0.61256,0.42639,0.03895,0.57361,1.0
NGIQ-BR-00000091,left,4395,2060,0.46871,0.53129,0.46871,0.0,0.53129,1.0
NGIQ-BR-00000093,left,5877,2574,0.43798,0.56202,0.43798,0.0,0.56202,1.0
NGIQ-BR-00000095,left,7180,2483,0.34582,0.65418,0.3624,0.01657,0.6376,1.0
NGIQ-BR-00000097,left,5064,1400,0.27646,0.72354,0.2891,0.01264,0.7109,1.0
NGIQ-BR-00000099,left,7114,2096,0.29463,0.70537,0.29829,0.00365,0.70171,1.0
NGIQ-BR-00000101,left,2454,884,0.36023,0.63977,0.36023,0.0,0.63977,1.0
NGIQ-BR-00000103,left,2679,804,0.30011,0.69989,0.30011,0.0,0.69989,1.0
NGIQ-BR-00000105,left,4363,1522,0.34884,0.65116,0.35526,0.00642,0.64474,1.0
NGIQ-BR-00000107,left,3693,1118,0.30273,0.69727,0.30273,0.0,0.69727,1.0
NGIQ-BR-00000109,left,3523,997,0.283,0.717,0.283,0.0,0.717,1.0
NGIQ-BR-00000111,left,4288,1333,0.31087,0.68913,0.31087,0.0,0.68913,1.0
NGIQ-BR-00000113,left,4513,1923,0.4261,0.5739,0.4261,0.0,0.5739,1.0
NGIQ-BR-00000115,left,8567,3176,0.37072,0.62928,0.37329,0.00257,0.62671,1.0
NGIQ-BR-00000117,left,7272,2495,0.3431,0.6569,0.3431,0.0,0.6569,1.0
NGIQ-BR-00000119,left,8066,2771,0.34354,0.65646,0.34354,0.0,0.65646,1.0
NGIQ-BR-00000121,left,1407,542,0.38522,0.61478,0.38522,0.0,0.61478,1.0
