kind,fine,v3,rank,containment,outside,note
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000001,APPROVE_CONTAINED_IN,1,0.40449,0.59522,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000007,APPROVE_CONTAINED_IN,1,0.38108,0.60681,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000009,APPROVE_CONTAINED_IN,1,0.24802,0.70932,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000011,APPROVE_CONTAINED_IN,1,0.26548,0.73269,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000013,APPROVE_CONTAINED_IN,1,0.42027,0.5227,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000021,APPROVE_CONTAINED_IN,1,0.37292,0.60775,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000023,APPROVE_CONTAINED_IN,1,0.53393,0.45352,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000025,APPROVE_CONTAINED_IN,1,0.33981,0.65749,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000027,APPROVE_CONTAINED_IN,1,0.33976,0.61303,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
HISTORICAL_APPROVED_LOW_DIRECT_CONTAINMENT,NGIQ-BR-00000029,APPROVE_CONTAINED_IN,1,0.43151,0.56595,"historical APPROVE_CONTAINED_IN yet fresh direct containment <0.5 or >20% of the parcel outside the same-side cortical G1 union (descriptive; not a verdict, mapping not modified)"
