fine_region_id,hemisphere,field,v1,v2,reason
NGIQ-BR-00000002,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000002,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000004,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000004,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000008,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000008,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000010,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000010,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000012,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000012,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000014,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000014,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000016,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000016,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000022,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000022,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000024,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000024,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000026,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000026,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000028,right,correct_side_fraction,0.00329,0.99671,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000028,right,contralateral_fraction,0.99671,0.00329,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000030,right,correct_side_fraction,0.01752,0.98248,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000030,right,contralateral_fraction,0.98248,0.01752,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000032,right,correct_side_fraction,0.00931,0.99069,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000032,right,contralateral_fraction,0.99069,0.00931,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000034,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000034,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000036,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000036,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000038,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000038,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000040,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000040,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000044,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000044,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000046,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000046,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000052,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000052,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000056,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000056,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000058,right,correct_side_fraction,0.0286,0.9714,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000058,right,contralateral_fraction,0.9714,0.0286,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000062,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000062,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000066,right,correct_side_fraction,0.01197,0.98803,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000066,right,contralateral_fraction,0.98803,0.01197,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000070,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000070,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000072,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000072,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000074,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000074,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000076,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000076,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000078,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000078,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000080,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000080,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000082,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000082,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000084,right,correct_side_fraction,0.00232,0.99768,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000084,right,contralateral_fraction,0.99768,0.00232,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000086,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000086,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000090,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000090,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000092,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000092,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000094,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000094,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000096,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000096,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000098,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000098,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000100,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000100,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000102,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000102,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000104,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000104,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000106,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000106,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000108,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000108,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000110,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000110,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000112,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000112,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000114,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000114,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000116,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000116,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000118,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000118,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000120,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000120,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000122,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000122,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000124,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000124,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000126,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000126,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000128,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000128,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000130,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000130,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000132,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000132,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000138,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000138,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000140,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000140,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000142,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000142,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000144,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000144,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000146,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000146,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000148,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000148,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000150,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000150,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000152,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000152,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000154,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000154,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000156,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000156,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000158,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000158,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000160,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000160,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000162,right,correct_side_fraction,0.0008,0.9992,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000162,right,contralateral_fraction,0.9992,0.0008,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000164,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
NGIQ-BR-00000164,right,contralateral_fraction,1.0,0.0,V1 held 1-left_fraction; corrected to left_fraction
NGIQ-BR-00000166,right,correct_side_fraction,0.0,1.0,V1 held left_fraction; corrected to right_fraction
