geometry_id,canonical_region_id,hemisphere,dk_label,fs_label_id,src_vox,tgt_vox,ratio,src_cc,tgt_cc,tgt_largest_fraction,tgt_single_islands,side_correct_fraction,centroid_application_residual_mm
GEO-G1-CORT-NGIQ-BR-00000269-MNI2009CASYM-V1,NGIQ-BR-00000269,left,caudalanteriorcingulate,1002,1687,2308,1.36811,1,4,0.9987,3,1.0,2.7059
GEO-G1-CORT-NGIQ-BR-00000270-MNI2009CASYM-V1,NGIQ-BR-00000270,left,caudalmiddlefrontal,1003,3804,4831,1.26998,1,1,1.0,0,1.0,6.8
GEO-G1-CORT-NGIQ-BR-00000271-MNI2009CASYM-V1,NGIQ-BR-00000271,left,cuneus,1005,1875,2416,1.28853,5,8,0.996689,6,1.0,4.5
GEO-G1-CORT-NGIQ-BR-00000272-MNI2009CASYM-V1,NGIQ-BR-00000272,left,entorhinal,1006,1690,1847,1.0929,1,3,0.998917,2,1.0,5.9096
GEO-G1-CORT-NGIQ-BR-00000273-MNI2009CASYM-V1,NGIQ-BR-00000273,left,fusiform,1007,5955,7730,1.29807,1,3,0.999612,1,1.0,2.9104
GEO-G1-CORT-NGIQ-BR-00000274-MNI2009CASYM-V1,NGIQ-BR-00000274,left,inferiorparietal,1008,6585,8526,1.29476,3,3,0.999648,1,1.0,6.2794
GEO-G1-CORT-NGIQ-BR-00000275-MNI2009CASYM-V1,NGIQ-BR-00000275,left,inferiortemporal,1009,6213,8192,1.31853,1,2,0.999878,1,1.0,5.2169
GEO-G1-CORT-NGIQ-BR-00000276-MNI2009CASYM-V1,NGIQ-BR-00000276,left,isthmuscingulate,1010,2340,2731,1.16709,3,5,0.997803,3,1.0,6.8501
GEO-G1-CORT-NGIQ-BR-00000277-MNI2009CASYM-V1,NGIQ-BR-00000277,left,lateraloccipital,1011,6249,6728,1.07665,7,7,0.998365,3,1.0,4.334
GEO-G1-CORT-NGIQ-BR-00000278-MNI2009CASYM-V1,NGIQ-BR-00000278,left,lateralorbitofrontal,1012,5973,7863,1.31642,1,3,0.999746,2,1.0,3.8985
GEO-G1-CORT-NGIQ-BR-00000279-MNI2009CASYM-V1,NGIQ-BR-00000279,left,lingual,1013,4671,5702,1.22072,2,2,0.999649,0,1.0,3.682
GEO-G1-CORT-NGIQ-BR-00000280-MNI2009CASYM-V1,NGIQ-BR-00000280,left,medialorbitofrontal,1014,3932,4474,1.13784,1,1,1.0,0,1.0,5.6081
GEO-G1-CORT-NGIQ-BR-00000281-MNI2009CASYM-V1,NGIQ-BR-00000281,left,middletemporal,1015,6498,8759,1.34795,2,4,0.999543,2,1.0,6.9486
GEO-G1-CORT-NGIQ-BR-00000282-MNI2009CASYM-V1,NGIQ-BR-00000282,left,parahippocampal,1016,1945,2051,1.0545,2,3,0.998537,1,1.0,5.3259
GEO-G1-CORT-NGIQ-BR-00000283-MNI2009CASYM-V1,NGIQ-BR-00000283,left,paracentral,1017,3404,4730,1.38954,1,3,0.999577,2,1.0,3.4848
GEO-G1-CORT-NGIQ-BR-00000284-MNI2009CASYM-V1,NGIQ-BR-00000284,left,parsopercularis,1018,3539,5039,1.42385,1,2,0.999802,1,1.0,5.0559
GEO-G1-CORT-NGIQ-BR-00000285-MNI2009CASYM-V1,NGIQ-BR-00000285,left,parsorbitalis,1019,1540,1928,1.25195,1,2,0.999481,1,1.0,7.0643
GEO-G1-CORT-NGIQ-BR-00000286-MNI2009CASYM-V1,NGIQ-BR-00000286,left,parstriangularis,1020,2001,2668,1.33333,2,8,0.997376,7,1.0,5.5536
GEO-G1-CORT-NGIQ-BR-00000287-MNI2009CASYM-V1,NGIQ-BR-00000287,left,pericalcarine,1021,1518,1827,1.20356,7,8,0.995621,6,1.0,3.8973
GEO-G1-CORT-NGIQ-BR-00000288-MNI2009CASYM-V1,NGIQ-BR-00000288,left,postcentral,1022,8031,10218,1.27232,4,5,0.999609,4,1.0,5.2065
GEO-G1-CORT-NGIQ-BR-00000289-MNI2009CASYM-V1,NGIQ-BR-00000289,left,posteriorcingulate,1023,3073,4233,1.37748,2,5,0.998583,2,1.0,4.3547
GEO-G1-CORT-NGIQ-BR-00000290-MNI2009CASYM-V1,NGIQ-BR-00000290,left,precentral,1024,11310,13334,1.17896,2,11,0.99925,10,1.0,4.7583
GEO-G1-CORT-NGIQ-BR-00000291-MNI2009CASYM-V1,NGIQ-BR-00000291,left,precuneus,1025,6498,8502,1.3084,1,7,0.999294,6,1.0,6.3147
GEO-G1-CORT-NGIQ-BR-00000292-MNI2009CASYM-V1,NGIQ-BR-00000292,left,rostralanteriorcingulate,1026,2029,2255,1.11138,3,3,0.999113,2,1.0,4.3891
GEO-G1-CORT-NGIQ-BR-00000293-MNI2009CASYM-V1,NGIQ-BR-00000293,left,rostralmiddlefrontal,1027,8897,13524,1.52006,1,5,0.99963,3,1.0,5.7442
GEO-G1-CORT-NGIQ-BR-00000294-MNI2009CASYM-V1,NGIQ-BR-00000294,left,superiorfrontal,1028,17434,23595,1.35339,1,4,0.999873,3,1.0,5.743
GEO-G1-CORT-NGIQ-BR-00000295-MNI2009CASYM-V1,NGIQ-BR-00000295,left,superiorparietal,1029,7496,9313,1.2424,2,7,0.999356,6,1.0,7.72
GEO-G1-CORT-NGIQ-BR-00000296-MNI2009CASYM-V1,NGIQ-BR-00000296,left,superiortemporal,1030,9356,11394,1.21783,1,3,0.999824,2,1.0,6.1844
GEO-G1-CORT-NGIQ-BR-00000297-MNI2009CASYM-V1,NGIQ-BR-00000297,left,supramarginal,1031,6870,8735,1.27147,3,3,0.999771,2,1.0,6.8664
GEO-G1-CORT-NGIQ-BR-00000298-MNI2009CASYM-V1,NGIQ-BR-00000298,left,transversetemporal,1034,1154,1408,1.2201,1,3,0.997869,1,1.0,4.0013
GEO-G1-CORT-NGIQ-BR-00000299-MNI2009CASYM-V1,NGIQ-BR-00000299,left,insula,1035,6567,8516,1.29679,1,2,0.999883,1,1.0,4.1684
GEO-G1-CORT-NGIQ-BR-00000300-MNI2009CASYM-V1,NGIQ-BR-00000300,right,caudalanteriorcingulate,2002,2003,2860,1.42786,2,5,0.997552,3,1.0,2.4862
GEO-G1-CORT-NGIQ-BR-00000301-MNI2009CASYM-V1,NGIQ-BR-00000301,right,caudalmiddlefrontal,2003,3400,4981,1.465,1,1,1.0,0,1.0,6.6959
GEO-G1-CORT-NGIQ-BR-00000302-MNI2009CASYM-V1,NGIQ-BR-00000302,right,cuneus,2005,2032,2394,1.17815,1,3,0.999165,2,1.0,4.5959
GEO-G1-CORT-NGIQ-BR-00000303-MNI2009CASYM-V1,NGIQ-BR-00000303,right,entorhinal,2006,1391,1762,1.26671,1,3,0.998297,1,1.0,10.0545
GEO-G1-CORT-NGIQ-BR-00000304-MNI2009CASYM-V1,NGIQ-BR-00000304,right,fusiform,2007,5426,7250,1.33616,2,4,0.999586,3,1.0,4.1487
GEO-G1-CORT-NGIQ-BR-00000305-MNI2009CASYM-V1,NGIQ-BR-00000305,right,inferiorparietal,2008,7347,9702,1.32054,3,9,0.998969,6,1.0,5.5898
GEO-G1-CORT-NGIQ-BR-00000306-MNI2009CASYM-V1,NGIQ-BR-00000306,right,inferiortemporal,2009,6418,8187,1.27563,2,4,0.999511,2,1.0,7.0341
GEO-G1-CORT-NGIQ-BR-00000307-MNI2009CASYM-V1,NGIQ-BR-00000307,right,isthmuscingulate,2010,2206,2583,1.1709,3,3,0.999226,2,1.0,7.4963
GEO-G1-CORT-NGIQ-BR-00000308-MNI2009CASYM-V1,NGIQ-BR-00000308,right,lateraloccipital,2011,6613,6898,1.0431,5,7,0.998695,5,1.0,2.7824
GEO-G1-CORT-NGIQ-BR-00000309-MNI2009CASYM-V1,NGIQ-BR-00000309,right,lateralorbitofrontal,2012,6525,7532,1.15433,3,6,0.999071,3,1.0,5.8133
GEO-G1-CORT-NGIQ-BR-00000310-MNI2009CASYM-V1,NGIQ-BR-00000310,right,lingual,2013,5015,5471,1.09093,3,4,0.999452,3,1.0,4.1152
GEO-G1-CORT-NGIQ-BR-00000311-MNI2009CASYM-V1,NGIQ-BR-00000311,right,medialorbitofrontal,2014,4093,5235,1.27901,2,3,0.999236,0,1.0,6.2215
GEO-G1-CORT-NGIQ-BR-00000312-MNI2009CASYM-V1,NGIQ-BR-00000312,right,middletemporal,2015,7767,10515,1.3538,1,4,0.999715,3,1.0,8.7863
GEO-G1-CORT-NGIQ-BR-00000313-MNI2009CASYM-V1,NGIQ-BR-00000313,right,parahippocampal,2016,2042,2141,1.04848,1,3,0.999066,2,1.0,7.1401
GEO-G1-CORT-NGIQ-BR-00000314-MNI2009CASYM-V1,NGIQ-BR-00000314,right,paracentral,2017,3557,4622,1.29941,2,4,0.999351,3,1.0,6.0568
GEO-G1-CORT-NGIQ-BR-00000315-MNI2009CASYM-V1,NGIQ-BR-00000315,right,parsopercularis,2018,2878,4014,1.39472,1,4,0.999253,3,1.0,5.0116
GEO-G1-CORT-NGIQ-BR-00000316-MNI2009CASYM-V1,NGIQ-BR-00000316,right,parsorbitalis,2019,1790,2015,1.1257,2,1,1.0,0,1.0,7.6358
GEO-G1-CORT-NGIQ-BR-00000317-MNI2009CASYM-V1,NGIQ-BR-00000317,right,parstriangularis,2020,2281,2956,1.29592,2,2,0.999662,1,1.0,6.3457
GEO-G1-CORT-NGIQ-BR-00000318-MNI2009CASYM-V1,NGIQ-BR-00000318,right,pericalcarine,2021,1760,2128,1.20909,10,11,0.993421,6,1.0,4.1699
GEO-G1-CORT-NGIQ-BR-00000319-MNI2009CASYM-V1,NGIQ-BR-00000319,right,postcentral,2022,7588,9193,1.21152,2,8,0.998368,4,1.0,6.2968
GEO-G1-CORT-NGIQ-BR-00000320-MNI2009CASYM-V1,NGIQ-BR-00000320,right,posteriorcingulate,2023,3137,4325,1.37871,2,8,0.997688,4,1.0,4.7707
GEO-G1-CORT-NGIQ-BR-00000321-MNI2009CASYM-V1,NGIQ-BR-00000321,right,precentral,2024,11170,12731,1.13975,1,5,0.999529,2,1.0,5.3585
GEO-G1-CORT-NGIQ-BR-00000322-MNI2009CASYM-V1,NGIQ-BR-00000322,right,precuneus,2025,6641,8468,1.27511,3,3,0.999764,2,1.0,7.0714
GEO-G1-CORT-NGIQ-BR-00000323-MNI2009CASYM-V1,NGIQ-BR-00000323,right,rostralanteriorcingulate,2026,1767,2194,1.24165,2,4,0.997721,2,1.0,1.5065
GEO-G1-CORT-NGIQ-BR-00000324-MNI2009CASYM-V1,NGIQ-BR-00000324,right,rostralmiddlefrontal,2027,9177,12999,1.41648,3,4,0.999769,3,1.0,6.2676
GEO-G1-CORT-NGIQ-BR-00000325-MNI2009CASYM-V1,NGIQ-BR-00000325,right,superiorfrontal,2028,15797,22009,1.39324,1,9,0.999364,7,1.0,6.1115
GEO-G1-CORT-NGIQ-BR-00000326-MNI2009CASYM-V1,NGIQ-BR-00000326,right,superiorparietal,2029,7601,9115,1.19918,3,5,0.999451,3,1.0,7.7105
GEO-G1-CORT-NGIQ-BR-00000327-MNI2009CASYM-V1,NGIQ-BR-00000327,right,superiortemporal,2030,9119,11029,1.20945,1,2,0.999909,1,1.0,9.7893
GEO-G1-CORT-NGIQ-BR-00000328-MNI2009CASYM-V1,NGIQ-BR-00000328,right,supramarginal,2031,6201,8648,1.39461,1,6,0.999306,4,1.0,7.1157
GEO-G1-CORT-NGIQ-BR-00000329-MNI2009CASYM-V1,NGIQ-BR-00000329,right,transversetemporal,2034,810,1140,1.40741,1,1,1.0,0,1.0,4.8602
