geometry_id,canonical_region_id,name,hemisphere,dk_label,fs_label_id,source_geometry_id,voxel_count,volume_mm3,centroid_ras,bbox_ras,connected_components,largest_component_fraction,single_voxel_islands,correct_side_fraction,contralateral_fraction,source_target_volume_ratio,fov_clip_fraction,boundary_touching,geometry_sha256
GEO-G1-CORT-NGIQ-BR-00000269-MNI2009CASYM-V1,NGIQ-BR-00000269,Left Caudal Anterior Cingulate Cortex,left,caudalanteriorcingulate,1002,GEO-G1-CORT-NGIQ-BR-00000269-FSAVG-V1,2308,2308.0,"[-6.12, 20.4, 25.67]","[[-14.0, 3.0, 10.0], [-2.0, 35.0, 39.0]]",4,0.9987,3,1.0,0.0,1.36811,0.0,False,e2bb5fb01af1b65ea6294d28fde99672163e5e2cc7bd0febab1e15dfec3a822b
GEO-G1-CORT-NGIQ-BR-00000270-MNI2009CASYM-V1,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,left,caudalmiddlefrontal,1003,GEO-G1-CORT-NGIQ-BR-00000270-FSAVG-V1,4831,4831.0,"[-36.0, 12.13, 49.03]","[[-50.0, -7.0, 26.0], [-22.0, 29.0, 65.0]]",1,1.0,0,1.0,0.0,1.26998,0.0,False,49ea2f913f6abc40586bea07f2d592e7f0732ec277d7d0b144a2479a7a5c2a42
GEO-G1-CORT-NGIQ-BR-00000271-MNI2009CASYM-V1,NGIQ-BR-00000271,Left Cuneus,left,cuneus,1005,GEO-G1-CORT-NGIQ-BR-00000271-FSAVG-V1,2416,2416.0,"[-7.26, -80.21, 20.37]","[[-24.0, -102.0, 6.0], [-1.0, -64.0, 37.0]]",8,0.996689,6,1.0,0.0,1.28853,0.0,False,2f07c5441d355bf9b125f4cf9f0371cad496e502e02c73e3c5763077717ff315
GEO-G1-CORT-NGIQ-BR-00000272-MNI2009CASYM-V1,NGIQ-BR-00000272,Left Entorhinal Cortex,left,entorhinal,1006,GEO-G1-CORT-NGIQ-BR-00000272-FSAVG-V1,1847,1847.0,"[-23.41, -3.34, -36.25]","[[-33.0, -17.0, -49.0], [-16.0, 8.0, -25.0]]",3,0.998917,2,1.0,0.0,1.0929,0.0,False,adc9f15cee6ac814e7e35b1c869b64b9355a2b177a7658d058c045c5bf43cb1e
GEO-G1-CORT-NGIQ-BR-00000273-MNI2009CASYM-V1,NGIQ-BR-00000273,Left Fusiform Gyrus,left,fusiform,1007,GEO-G1-CORT-NGIQ-BR-00000273-FSAVG-V1,7730,7730.0,"[-35.45, -41.56, -21.73]","[[-51.0, -83.0, -51.0], [-23.0, 10.0, -3.0]]",3,0.999612,1,1.0,0.0,1.29807,0.0,False,6545d6fed46784b7824eabb330bdf6ca603bebfaff7a12018e461dd6a9044ddf
GEO-G1-CORT-NGIQ-BR-00000274-MNI2009CASYM-V1,NGIQ-BR-00000274,Left Inferior Parietal Lobule,left,inferiorparietal,1008,GEO-G1-CORT-NGIQ-BR-00000274-FSAVG-V1,8526,8526.0,"[-41.28, -69.6, 32.21]","[[-56.0, -94.0, 7.0], [-26.0, -48.0, 54.0]]",3,0.999648,1,1.0,0.0,1.29476,0.0,False,0231d10ebd36f33310665495d49b61c97e789f8653c7b929f092e993b6722a9a
GEO-G1-CORT-NGIQ-BR-00000275-MNI2009CASYM-V1,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,left,inferiortemporal,1009,GEO-G1-CORT-NGIQ-BR-00000275-FSAVG-V1,8192,8192.0,"[-51.86, -30.38, -25.76]","[[-64.0, -68.0, -51.0], [-35.0, 10.0, 1.0]]",2,0.999878,1,1.0,0.0,1.31853,0.0,False,a50cd91f0aadc101aa0984da7d30a9400a1fb14c9ba1c1d9f5c1c1114a0f251b
GEO-G1-CORT-NGIQ-BR-00000276-MNI2009CASYM-V1,NGIQ-BR-00000276,Left Isthmus Of Cingulate Gyrus,left,isthmuscingulate,1010,GEO-G1-CORT-NGIQ-BR-00000276-FSAVG-V1,2731,2731.0,"[-9.01, -44.84, 19.31]","[[-23.0, -56.0, -5.0], [-2.0, -29.0, 35.0]]",5,0.997803,3,1.0,0.0,1.16709,0.0,False,2ee6adb28dc28ce3be46d732e4f5433d0cf2e54f5e4a199d3efb3af04c304bac
GEO-G1-CORT-NGIQ-BR-00000277-MNI2009CASYM-V1,NGIQ-BR-00000277,Left Lateral Occipital Cortex,left,lateraloccipital,1011,GEO-G1-CORT-NGIQ-BR-00000277-FSAVG-V1,6728,6728.0,"[-30.36, -89.35, 0.09]","[[-54.0, -106.0, -20.0], [-3.0, -62.0, 27.0]]",7,0.998365,3,1.0,0.0,1.07665,0.0,False,7e4878cdf925355d872e08d95e54f50a74fae4e48fc3c133ed39f473cbaeaaf6
GEO-G1-CORT-NGIQ-BR-00000278-MNI2009CASYM-V1,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,left,lateralorbitofrontal,1012,GEO-G1-CORT-NGIQ-BR-00000278-FSAVG-V1,7863,7863.0,"[-24.63, 33.85, -17.26]","[[-48.0, 9.0, -28.0], [-6.0, 67.0, 7.0]]",3,0.999746,2,1.0,0.0,1.31642,0.0,False,3b3f96998b58e20583492772137290ed75621066249cf922ff801c6d4dca31e0
