geometry_id,canonical_region_id,name,hemisphere,dk_label,fs_label_id,voxel_count,volume_mm3,centroid_ras,bbox_ras,connected_components,largest_component_fraction,single_voxel_islands,correct_side_fraction,contralateral_fraction,geometry_sha256
GEO-G1-CORT-NGIQ-BR-00000269-FSAVG-V1,NGIQ-BR-00000269,Left Caudal Anterior Cingulate Cortex,left,caudalanteriorcingulate,1002,1687,1687.0,"[-5.7, 21.29, 25.52]","[[-1.0, 4.0, 39.0], [-12.0, 35.0, 11.0]]",1,1.0,0,1.0,0.0,522a74ae1321d72f85a9a3144bac7211486997573ca05c03addb6731dece7d0b
GEO-G1-CORT-NGIQ-BR-00000270-FSAVG-V1,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,left,caudalmiddlefrontal,1003,3804,3804.0,"[-36.41, 12.14, 44.83]","[[-23.0, -6.0, 59.0], [-47.0, 28.0, 25.0]]",1,1.0,0,1.0,0.0,ff1f143a2c06973a83e215599305eeb0a5cba8ce5b9122bc4d94a0f674479a44
GEO-G1-CORT-NGIQ-BR-00000271-FSAVG-V1,NGIQ-BR-00000271,Left Cuneus,left,cuneus,1005,1875,1875.0,"[-7.56, -79.27, 17.61]","[[-1.0, -99.0, 34.0], [-20.0, -65.0, 6.0]]",5,0.997867,4,1.0,0.0,155d2210d91494e9c092d1c2138905d515521581156af64cc979775bb1c39348
GEO-G1-CORT-NGIQ-BR-00000272-FSAVG-V1,NGIQ-BR-00000272,Left Entorhinal Cortex,left,entorhinal,1006,1690,1690.0,"[-24.34, -6.08, -34.96]","[[-16.0, -19.0, -25.0], [-33.0, 5.0, -46.0]]",1,1.0,0,1.0,0.0,4f694504c3012e48c600537ca655b001e48dbf19e58f9f91aec6427577d7d39f
GEO-G1-CORT-NGIQ-BR-00000273-FSAVG-V1,NGIQ-BR-00000273,Left Fusiform Gyrus,left,fusiform,1007,5955,5955.0,"[-35.34, -43.78, -22.15]","[[-23.0, -81.0, -5.0], [-46.0, 6.0, -47.0]]",1,1.0,0,1.0,0.0,2228793d9c2d34e18caa9090c5dc1d39e4f6554d31efd8135baaa51d372619d2
GEO-G1-CORT-NGIQ-BR-00000274-FSAVG-V1,NGIQ-BR-00000274,Left Inferior Parietal Lobule,left,inferiorparietal,1008,6585,6585.0,"[-40.62, -69.11, 28.43]","[[-26.0, -91.0, 49.0], [-53.0, -49.0, 6.0]]",3,0.998785,0,1.0,0.0,c85a3f7cb1e8d4f97be598eaef615219829b3c4220ab02abde0d01267ccee618
GEO-G1-CORT-NGIQ-BR-00000275-FSAVG-V1,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,left,inferiortemporal,1009,6213,6213.0,"[-50.18, -31.27, -26.91]","[[-35.0, -67.0, -1.0], [-60.0, 6.0, -47.0]]",1,1.0,0,1.0,0.0,f6fdaff84e84b3272f94ad921d315c9788579c91211f893cb9acb4504ccca5cb
GEO-G1-CORT-NGIQ-BR-00000276-FSAVG-V1,NGIQ-BR-00000276,Left Isthmus Of Cingulate Gyrus,left,isthmuscingulate,1010,2340,2340.0,"[-7.87, -46.43, 17.64]","[[-1.0, -58.0, 37.0], [-20.0, -29.0, -6.0]]",3,0.999145,2,1.0,0.0,350d1e71e02b6aa63311374627ab6949aa1f8fabafa789c141c4cba787b30a1e
GEO-G1-CORT-NGIQ-BR-00000277-FSAVG-V1,NGIQ-BR-00000277,Left Lateral Occipital Cortex,left,lateraloccipital,1011,6249,6249.0,"[-30.16, -88.44, -2.53]","[[-5.0, -104.0, 24.0], [-51.0, -63.0, -19.0]]",7,0.99888,5,1.0,0.0,c350db6a446aebd4dd2d9416c355534064ba78fb01d3026006044595eae6926c
GEO-G1-CORT-NGIQ-BR-00000278-FSAVG-V1,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,left,lateralorbitofrontal,1012,5973,5973.0,"[-24.26, 32.13, -17.63]","[[-5.0, 9.0, 5.0], [-45.0, 62.0, -27.0]]",1,1.0,0,1.0,0.0,f5e3fdc437774946d3dac0fbc546f2494a607d62c0b84d42f216095d04d3ebae
GEO-G1-CORT-NGIQ-BR-00000279-FSAVG-V1,NGIQ-BR-00000279,Left Lingual Gyrus,left,lingual,1013,4671,4671.0,"[-14.46, -67.78, -5.55]","[[-2.0, -96.0, 6.0], [-33.0, -41.0, -15.0]]",2,0.999786,1,1.0,0.0,16cc7919681aff3f246d370f6e12e18ed8e0458b065f28f2b50fb53bf028d46e
GEO-G1-CORT-NGIQ-BR-00000280-FSAVG-V1,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,left,medialorbitofrontal,1014,3932,3932.0,"[-6.57, 39.99, -17.29]","[[-1.0, 12.0, 2.0], [-14.0, 62.0, -29.0]]",1,1.0,0,1.0,0.0,4e5f358bc2d6b144a252cbc3609db9c634a6ac3c5f8adc7ab561117175cb8ddd
GEO-G1-CORT-NGIQ-BR-00000281-FSAVG-V1,NGIQ-BR-00000281,Left Middle Temporal Gyrus,left,middletemporal,1015,6498,6498.0,"[-58.2, -26.55, -15.74]","[[-41.0, -66.0, 12.0], [-68.0, 13.0, -39.0]]",2,0.999846,1,1.0,0.0,46af06d230b866f990fb414734d2535ad638bf78a3480361745604bb64ce5e93
GEO-G1-CORT-NGIQ-BR-00000282-FSAVG-V1,NGIQ-BR-00000282,Left Parahippocampal Gyrus,left,parahippocampal,1016,1945,1945.0,"[-24.89, -30.42, -20.75]","[[-13.0, -46.0, -7.0], [-36.0, -17.0, -33.0]]",2,0.999486,1,1.0,0.0,6b3412e4696b77ddedce7a6badf66539248cde4174cbff33488c54f114b1001a
GEO-G1-CORT-NGIQ-BR-00000283-FSAVG-V1,NGIQ-BR-00000283,Left Paracentral Lobule,left,paracentral,1017,3404,3404.0,"[-8.36, -28.07, 56.88]","[[-1.0, -44.0, 76.0], [-18.0, -12.0, 39.0]]",1,1.0,0,1.0,0.0,9f12020a500b56818341a2d18712d482c4565dd6584c9dc2c665bb53216ec3f5
GEO-G1-CORT-NGIQ-BR-00000284-FSAVG-V1,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",left,parsopercularis,1018,3539,3539.0,"[-46.93, 15.5, 11.88]","[[-31.0, 4.0, 26.0], [-57.0, 29.0, -2.0]]",1,1.0,0,1.0,0.0,dc7633ca34d2b2de22b9fd6d9a67bda93a59ce411f605a0510fec38c4a42f7df
GEO-G1-CORT-NGIQ-BR-00000285-FSAVG-V1,NGIQ-BR-00000285,"Left Inferior Frontal Gyrus, Pars Orbitalis",left,parsorbitalis,1019,1540,1540.0,"[-41.93, 40.96, -12.62]","[[-31.0, 26.0, -4.0], [-51.0, 54.0, -17.0]]",1,1.0,0,1.0,0.0,73dfef492c0935d8e3b553ed6a1d45c46ef69dd48e305340719b64ce3f694dc0
GEO-G1-CORT-NGIQ-BR-00000286-FSAVG-V1,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",left,parstriangularis,1020,2001,2001.0,"[-45.06, 31.45, 2.04]","[[-28.0, 19.0, 13.0], [-55.0, 41.0, -12.0]]",2,0.9995,1,1.0,0.0,0912404db826857e5f5f3b3ba6434c48fc7226bbc095e80fb2908925c91b0ebf
GEO-G1-CORT-NGIQ-BR-00000287-FSAVG-V1,NGIQ-BR-00000287,Left Pericalcarine Cortex,left,pericalcarine,1021,1518,1518.0,"[-12.55, -80.25, 5.33]","[[-2.0, -99.0, 13.0], [-26.0, -66.0, -7.0]]",7,0.996047,6,1.0,0.0,9f89d4ff787bbd12dd9376313a260d69d5b2abd293b4c8bfef0b01211c637300
GEO-G1-CORT-NGIQ-BR-00000288-FSAVG-V1,NGIQ-BR-00000288,Left Postcentral Gyrus,left,postcentral,1022,8031,8031.0,"[-44.75, -22.21, 41.13]","[[-4.0, -45.0, 78.0], [-66.0, -5.0, 6.0]]",4,0.999626,3,1.0,0.0,6b714d3b991d048f4050047d23c3b16850e8e49f8e41a68ad05d535ae8b95412
GEO-G1-CORT-NGIQ-BR-00000289-FSAVG-V1,NGIQ-BR-00000289,Left Posterior Cingulate Cortex,left,posteriorcingulate,1023,3073,3073.0,"[-6.13, -17.63, 36.9]","[[-1.0, -38.0, 45.0], [-17.0, 8.0, 27.0]]",2,0.999675,1,1.0,0.0,241b8b6c7b5d3c453f4d643771e3196563a3455999ad59291e7792a82a7a524f
GEO-G1-CORT-NGIQ-BR-00000290-FSAVG-V1,NGIQ-BR-00000290,Left Precentral Gyrus,left,precentral,1024,11310,11310.0,"[-40.27, -9.1, 42.07]","[[-2.0, -40.0, 77.0], [-62.0, 9.0, -2.0]]",2,0.999912,1,1.0,0.0,513ac72f4fd43a4cc5a57414021e90d12fa0003c72b57c56196b99c04f12c033
GEO-G1-CORT-NGIQ-BR-00000291-FSAVG-V1,NGIQ-BR-00000291,Left Precuneus,left,precuneus,1025,6498,6498.0,"[-10.18, -57.45, 34.94]","[[-2.0, -79.0, 74.0], [-26.0, -37.0, 4.0]]",1,1.0,0,1.0,0.0,5862668d495045805ccbfcdcda21fafedf6fac4bad031b623b73d340ef172aa2
GEO-G1-CORT-NGIQ-BR-00000292-FSAVG-V1,NGIQ-BR-00000292,Left Rostral Anterior Cingulate Cortex,left,rostralanteriorcingulate,1026,2029,2029.0,"[-5.71, 37.1, 2.41]","[[-1.0, 19.0, 20.0], [-13.0, 46.0, -12.0]]",3,0.999014,2,1.0,0.0,aa12ab2367ee907881408c9bf5e27fa94b2e0e5a63d756e4377944ae73fec3af
GEO-G1-CORT-NGIQ-BR-00000293-FSAVG-V1,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,left,rostralmiddlefrontal,1027,8897,8897.0,"[-31.5, 46.39, 12.77]","[[-11.0, 17.0, 43.0], [-48.0, 67.0, -19.0]]",1,1.0,0,1.0,0.0,3880aa21d93df15c4f67511519f461075129ffa76f361c50e2274def24316ad7
GEO-G1-CORT-NGIQ-BR-00000294-FSAVG-V1,NGIQ-BR-00000294,Left Superior Frontal Gyrus,left,superiorfrontal,1028,17434,17434.0,"[-11.92, 29.14, 41.42]","[[-2.0, -16.0, 73.0], [-26.0, 68.0, -3.0]]",1,1.0,0,1.0,0.0,f9f9f778db12ac82d7889643097bead5874379db07887736e9ff143183efee61
GEO-G1-CORT-NGIQ-BR-00000295-FSAVG-V1,NGIQ-BR-00000295,Left Superior Parietal Lobule,left,superiorparietal,1029,7496,7496.0,"[-22.26, -63.98, 46.42]","[[-4.0, -95.0, 76.0], [-40.0, -35.0, 13.0]]",2,0.999867,1,1.0,0.0,7cf066557d87d35efd4fa539573de8418f70d609fcd0c36a3a5f7a5baed2ab4f
GEO-G1-CORT-NGIQ-BR-00000296-FSAVG-V1,NGIQ-BR-00000296,Left Superior Temporal Gyrus,left,superiortemporal,1030,9356,9356.0,"[-53.48, -11.9, -6.83]","[[-35.0, -53.0, 20.0], [-68.0, 19.0, -34.0]]",1,1.0,0,1.0,0.0,3301b502c24dd613aec8a2af1f590438b210bf73fef30633b8eea83e6351e9e3
GEO-G1-CORT-NGIQ-BR-00000297-FSAVG-V1,NGIQ-BR-00000297,Left Supramarginal Gyrus,left,supramarginal,1031,6870,6870.0,"[-53.16, -37.76, 29.68]","[[-33.0, -57.0, 49.0], [-66.0, -19.0, 13.0]]",3,0.999709,2,1.0,0.0,f6ac21a9224c72c5f775582ca72e6a737c9ed6ebcd5d48ce7eca525ce24f1470
GEO-G1-CORT-NGIQ-BR-00000298-FSAVG-V1,NGIQ-BR-00000298,Left Transverse Temporal Gyrus,left,transversetemporal,1034,1154,1154.0,"[-44.84, -22.56, 6.32]","[[-33.0, -33.0, 16.0], [-56.0, -11.0, -1.0]]",1,1.0,0,1.0,0.0,fad9e2353238470b8bb1ce4b9476de5cc4843d12d705d5508cc9d6c1145278d6
GEO-G1-CORT-NGIQ-BR-00000299-FSAVG-V1,NGIQ-BR-00000299,Left Insula,left,insula,1035,6567,6567.0,"[-36.65, -0.33, -0.94]","[[-25.0, -34.0, 21.0], [-42.0, 26.0, -21.0]]",1,1.0,0,1.0,0.0,ea296d5ef31c77a651d9218e018f6654adcdcba1440a4b69c2f3d719413a731e
GEO-G1-CORT-NGIQ-BR-00000300-FSAVG-V1,NGIQ-BR-00000300,Right Caudal Anterior Cingulate Cortex,right,caudalanteriorcingulate,2002,2003,2003.0,"[5.23, 21.57, 26.46]","[[13.0, 3.0, 41.0], [2.0, 37.0, 11.0]]",2,0.999501,1,0.0,1.0,b3b415ac9b3fc64319d40e8cd4d0f2df4a69ece039ec168a19fbb78a4e6626f1
GEO-G1-CORT-NGIQ-BR-00000301-FSAVG-V1,NGIQ-BR-00000301,Right Caudal Middle Frontal Gyrus,right,caudalmiddlefrontal,2003,3400,3400.0,"[35.48, 12.91, 45.62]","[[45.0, -4.0, 59.0], [24.0, 30.0, 25.0]]",1,1.0,0,0.0,1.0,33955450b2db6d5693918ef33467ad91f2b546cc6c55db4d43639fe82b8dbcf8
GEO-G1-CORT-NGIQ-BR-00000302-FSAVG-V1,NGIQ-BR-00000302,Right Cuneus,right,cuneus,2005,2032,2032.0,"[7.23, -78.62, 18.9]","[[21.0, -99.0, 37.0], [2.0, -63.0, 7.0]]",1,1.0,0,0.0,1.0,cfabdc96a61b3c2c0e73a92c0b4910768f1b0197b20e955291d9c5ddfbc56c08
GEO-G1-CORT-NGIQ-BR-00000303-FSAVG-V1,NGIQ-BR-00000303,Right Entorhinal Cortex,right,entorhinal,2006,1391,1391.0,"[24.21, -5.39, -34.34]","[[34.0, -19.0, -26.0], [17.0, 7.0, -43.0]]",1,1.0,0,0.0,1.0,28b1be0b90cb070ade35feb960772bb87e0444c6af7cd5e6e7cad141352ac63d
GEO-G1-CORT-NGIQ-BR-00000304-FSAVG-V1,NGIQ-BR-00000304,Right Fusiform Gyrus,right,fusiform,2007,5426,5426.0,"[34.4, -42.06, -22.04]","[[48.0, -78.0, -5.0], [25.0, 5.0, -47.0]]",2,0.999816,1,0.0,1.0,8d7c3201a18da1b4d0415d005f474d74661968a5221f158a13d29b81a6c85b94
GEO-G1-CORT-NGIQ-BR-00000305-FSAVG-V1,NGIQ-BR-00000305,Right Inferior Parietal Lobule,right,inferiorparietal,2008,7347,7347.0,"[42.65, -64.22, 28.36]","[[59.0, -87.0, 50.0], [29.0, -44.0, 5.0]]",3,0.999456,1,0.0,1.0,dd8610145b4aad647318e357640e6fa7aa2b8f0c06b45dd11b41c1c7e38b2487
GEO-G1-CORT-NGIQ-BR-00000306-FSAVG-V1,NGIQ-BR-00000306,Right Inferior Temporal Gyrus,right,inferiortemporal,2009,6418,6418.0,"[49.96, -28.2, -27.8]","[[62.0, -64.0, 1.0], [31.0, 9.0, -47.0]]",2,0.999844,1,0.0,1.0,feebe438d088d9a4b4d5f449f18e9cddd93af2194ac389f4aecb03bf3e269374
GEO-G1-CORT-NGIQ-BR-00000307-FSAVG-V1,NGIQ-BR-00000307,Right Isthmus Of Cingulate Gyrus,right,isthmuscingulate,2010,2206,2206.0,"[7.37, -45.96, 17.31]","[[22.0, -57.0, 35.0], [1.0, -31.0, -5.0]]",3,0.999093,2,0.0,1.0,61a9fb088697a1709ffde8bca6b6d8c1f8499d9d5d90b69d965e1166736e8170
GEO-G1-CORT-NGIQ-BR-00000308-FSAVG-V1,NGIQ-BR-00000308,Right Lateral Occipital Cortex,right,lateraloccipital,2011,6613,6613.0,"[31.22, -86.91, -1.84]","[[52.0, -103.0, 22.0], [7.0, -61.0, -18.0]]",5,0.999395,4,0.0,1.0,44f3054e5bcb8e7d5945582bb1c9132b75a48ff538e8ccd86e3eb98bb2be864e
GEO-G1-CORT-NGIQ-BR-00000309-FSAVG-V1,NGIQ-BR-00000309,Right Lateral Orbitofrontal Cortex,right,lateralorbitofrontal,2012,6525,6525.0,"[23.17, 31.15, -18.29]","[[45.0, 7.0, 6.0], [7.0, 60.0, -28.0]]",3,0.999693,2,0.0,1.0,f28e3d136a5c742fce719f8f5f8e3a592a627cf3fa1ba1dc5baff1e2ff39d834
GEO-G1-CORT-NGIQ-BR-00000310-FSAVG-V1,NGIQ-BR-00000310,Right Lingual Gyrus,right,lingual,2013,5015,5015.0,"[13.68, -66.99, -5.07]","[[34.0, -96.0, 9.0], [2.0, -43.0, -16.0]]",3,0.999601,2,0.0,1.0,290f9c162221950bf126ccf5f44d86afdbe2855b1c7651f188858b6cd083e94d
GEO-G1-CORT-NGIQ-BR-00000311-FSAVG-V1,NGIQ-BR-00000311,Right Medial Orbitofrontal Cortex,right,medialorbitofrontal,2014,4093,4093.0,"[6.32, 38.55, -16.5]","[[15.0, 11.0, 1.0], [2.0, 65.0, -28.0]]",2,0.999756,1,0.0,1.0,09818982c8ef62e7a8b11be7b0be079c70a103cad0c5c9edd6e04a7e839c7887
GEO-G1-CORT-NGIQ-BR-00000312-FSAVG-V1,NGIQ-BR-00000312,Right Middle Temporal Gyrus,right,middletemporal,2015,7767,7767.0,"[57.79, -23.59, -16.23]","[[69.0, -64.0, 11.0], [40.0, 15.0, -42.0]]",1,1.0,0,0.0,1.0,9ebdb757430a7a0f14931050a39e3a759d033cfee5580447abcfd63c722b7ae0
GEO-G1-CORT-NGIQ-BR-00000313-FSAVG-V1,NGIQ-BR-00000313,Right Parahippocampal Gyrus,right,parahippocampal,2016,2042,2042.0,"[24.96, -30.0, -19.94]","[[37.0, -45.0, -5.0], [15.0, -14.0, -33.0]]",1,1.0,0,0.0,1.0,4c4f901760ff865b3be7b1e97c8ef6a4a6144c3a26d5382c265fb773079280cd
GEO-G1-CORT-NGIQ-BR-00000314-FSAVG-V1,NGIQ-BR-00000314,Right Paracentral Lobule,right,paracentral,2017,3557,3557.0,"[7.22, -25.95, 56.25]","[[18.0, -43.0, 75.0], [1.0, -7.0, 37.0]]",2,0.999719,1,0.0,1.0,22c193e275bb3f81f838263664abcc61dd3a42468358bf3b07c1b6cb20fde0f9
GEO-G1-CORT-NGIQ-BR-00000315-FSAVG-V1,NGIQ-BR-00000315,"Right Inferior Frontal Gyrus, Pars Opercularis",right,parsopercularis,2018,2878,2878.0,"[46.94, 15.02, 12.15]","[[58.0, 5.0, 26.0], [32.0, 28.0, -2.0]]",1,1.0,0,0.0,1.0,f62e1ef7476d14b06d17b4aae899540d4bf0039f4d0e134bbf63a5c52eb7b407
GEO-G1-CORT-NGIQ-BR-00000316-FSAVG-V1,NGIQ-BR-00000316,"Right Inferior Frontal Gyrus, Pars Orbitalis",right,parsorbitalis,2019,1790,1790.0,"[41.89, 41.44, -11.88]","[[52.0, 25.0, -2.0], [30.0, 55.0, -17.0]]",2,0.999441,1,0.0,1.0,8e4137e3beb08e0a0d3f91b1393d688879311e5e597189d72919f00cabd1359e
GEO-G1-CORT-NGIQ-BR-00000317-FSAVG-V1,NGIQ-BR-00000317,"Right Inferior Frontal Gyrus, Pars Triangularis",right,parstriangularis,2020,2281,2281.0,"[46.33, 30.45, 3.82]","[[57.0, 20.0, 19.0], [30.0, 42.0, -9.0]]",2,0.999562,1,0.0,1.0,eab66d7d7b50358eb5bbdafd3574462ee02ac23ca04ea1c6f85f0374a4222509
