fine_region_id,hemisphere,outside_full_dk_voxels,median_mm,p75_mm,p90_mm,p95_mm,max_mm,outside_gm_frac
NGIQ-BR-00000001,left,4110,1.732,2.828,4.123,5.0,6.633,0.55727
NGIQ-BR-00000003,left,1610,1.414,2.236,2.828,3.162,5.385,0.6392
NGIQ-BR-00000007,left,2953,1.732,2.449,3.464,4.123,6.164,0.52796
NGIQ-BR-00000009,left,2594,1.732,2.828,3.742,4.359,7.071,0.446
NGIQ-BR-00000011,left,5597,2.0,3.0,4.0,4.359,8.485,0.6148
NGIQ-BR-00000013,left,1439,1.414,1.732,2.236,2.449,3.464,0.72826
NGIQ-BR-00000015,left,3277,2.0,3.0,4.0,4.472,6.481,0.54545
NGIQ-BR-00000021,left,5378,1.414,2.236,3.0,3.317,5.385,0.57585
NGIQ-BR-00000023,left,2927,1.414,2.236,2.828,3.162,5.099,0.53049
NGIQ-BR-00000025,left,3655,1.732,2.449,3.742,4.472,6.403,0.50899
NGIQ-BR-00000027,left,4168,1.732,2.449,3.507,4.123,6.403,0.60415
NGIQ-BR-00000029,left,3351,1.414,2.236,3.162,3.742,5.831,0.59221
NGIQ-BR-00000031,left,5144,1.732,2.449,3.606,4.583,8.062,0.5483
NGIQ-BR-00000033,left,5858,2.0,3.0,4.123,4.899,7.28,0.60937
NGIQ-BR-00000035,left,5213,2.236,3.464,4.583,5.099,7.28,0.59339
NGIQ-BR-00000037,left,4777,1.732,2.449,3.464,4.123,6.0,0.61961
NGIQ-BR-00000039,left,6002,2.0,3.0,4.123,5.0,8.602,0.62033
NGIQ-BR-00000043,left,3766,2.0,3.0,4.0,4.243,6.0,0.53989
NGIQ-BR-00000045,left,3818,1.414,2.236,3.0,3.606,5.477,0.57181
NGIQ-BR-00000051,left,2269,2.236,3.606,5.0,5.831,8.124,0.65605
NGIQ-BR-00000055,left,1299,1.414,2.0,2.828,3.162,5.657,0.56943
NGIQ-BR-00000057,left,2511,1.414,2.236,3.0,3.606,5.385,0.64113
NGIQ-BR-00000061,left,4261,1.414,2.236,3.0,3.742,5.831,0.62857
NGIQ-BR-00000065,left,5420,2.236,5.0,8.602,10.344,15.395,0.77119
NGIQ-BR-00000069,left,4130,1.0,1.732,2.236,2.449,3.606,0.53599
NGIQ-BR-00000071,left,4182,1.414,2.236,3.0,3.317,5.099,0.54811
NGIQ-BR-00000073,left,2751,1.0,1.732,2.0,2.449,4.583,0.42287
NGIQ-BR-00000075,left,1339,1.414,2.0,2.828,3.162,5.196,0.38515
NGIQ-BR-00000077,left,1906,1.414,2.0,2.236,2.828,4.0,0.63791
NGIQ-BR-00000079,left,4452,1.732,2.449,3.464,4.123,6.0,0.67642
NGIQ-BR-00000081,left,1804,1.414,2.0,2.236,2.449,4.123,0.49739
NGIQ-BR-00000083,left,2346,1.414,2.236,3.0,3.317,4.899,0.54046
NGIQ-BR-00000085,left,2336,1.414,2.236,2.828,3.162,4.359,0.68479
NGIQ-BR-00000089,left,3004,1.414,2.236,3.0,3.317,5.196,0.59808
NGIQ-BR-00000091,left,2335,1.414,2.0,2.236,2.828,6.403,0.49958
NGIQ-BR-00000093,left,3303,1.414,2.236,3.0,3.317,5.831,0.55592
NGIQ-BR-00000095,left,4578,1.732,2.828,3.606,4.243,6.481,0.53171
NGIQ-BR-00000097,left,3600,2.236,3.464,4.583,5.385,8.307,0.61432
NGIQ-BR-00000099,left,4992,2.0,3.0,3.742,4.359,6.403,0.70984
NGIQ-BR-00000101,left,1570,1.732,2.957,4.123,4.583,6.557,0.68992
NGIQ-BR-00000103,left,1875,1.732,2.828,3.742,4.472,7.0,0.67864
NGIQ-BR-00000105,left,2813,2.0,3.0,4.123,4.899,7.28,0.53358
NGIQ-BR-00000107,left,2575,2.236,3.0,4.243,5.0,7.348,0.60905
NGIQ-BR-00000109,left,2526,2.236,3.464,4.583,5.385,7.874,0.6752
NGIQ-BR-00000111,left,2955,2.236,3.162,4.359,5.099,6.782,0.6596
NGIQ-BR-00000113,left,2590,1.414,2.236,3.162,4.0,5.745,0.59524
NGIQ-BR-00000115,left,5369,1.732,2.828,3.742,4.359,6.557,0.59274
NGIQ-BR-00000117,left,4777,1.414,2.236,3.162,4.0,6.481,0.62466
NGIQ-BR-00000119,left,5295,1.414,2.236,3.162,3.742,6.403,0.64945
NGIQ-BR-00000121,left,865,2.0,3.0,4.243,5.099,7.348,0.70831
NGIQ-BR-00000123,left,608,1.414,1.732,2.236,2.449,3.606,0.72241
NGIQ-BR-00000125,left,721,1.0,1.414,1.414,2.0,3.317,0.81055
NGIQ-BR-00000127,left,747,1.414,2.0,2.236,2.449,3.606,0.6706
NGIQ-BR-00000129,left,524,2.236,4.359,5.916,6.708,8.544,0.72694
NGIQ-BR-00000131,left,667,1.414,2.236,3.0,3.162,4.583,0.73888
NGIQ-BR-00000137,left,3199,1.732,3.0,4.472,5.385,7.874,0.54202
NGIQ-BR-00000139,left,3414,1.414,2.236,3.162,3.742,5.745,0.49687
NGIQ-BR-00000141,left,3280,1.414,2.236,3.0,3.464,5.196,0.42337
NGIQ-BR-00000143,left,3466,2.236,3.162,4.243,5.0,6.708,0.43194
NGIQ-BR-00000145,left,5849,2.236,3.742,5.099,5.745,8.124,0.55317
NGIQ-BR-00000147,left,6096,2.0,3.0,3.742,4.243,7.0,0.61483
NGIQ-BR-00000149,left,6317,1.732,2.828,4.0,4.69,7.071,0.6129
NGIQ-BR-00000151,left,9617,2.236,3.606,5.0,5.916,9.899,0.67258
NGIQ-BR-00000153,left,5767,1.732,2.449,3.162,3.742,5.196,0.66522
NGIQ-BR-00000155,left,3397,2.449,4.0,4.899,5.099,6.782,0.64529
NGIQ-BR-00000157,left,3193,1.732,2.449,3.606,4.0,5.657,0.59697
NGIQ-BR-00000159,left,5166,2.0,3.0,4.123,4.69,6.083,0.70684
NGIQ-BR-00000161,left,4622,2.236,3.606,5.0,5.745,8.485,0.74808
NGIQ-BR-00000163,left,5409,1.414,2.0,2.236,2.449,4.123,0.51699
NGIQ-BR-00000165,left,2841,1.414,2.0,2.236,2.828,4.359,0.59323
NGIQ-BR-00000167,left,4520,1.414,2.236,3.0,3.162,5.099,0.51054
NGIQ-BR-00000169,left,3503,1.414,2.0,2.828,3.0,5.0,0.36291
NGIQ-BR-00000171,left,764,1.414,1.732,2.236,2.236,3.742,0.59248
NGIQ-BR-00000173,left,932,1.414,2.0,2.449,2.828,4.123,0.74734
NGIQ-BR-00000175,left,845,1.414,1.732,2.449,2.828,3.464,0.61177
NGIQ-BR-00000177,left,888,1.0,1.414,2.0,2.236,3.606,0.68802
NGIQ-BR-00000179,left,1331,1.0,1.414,2.0,2.236,3.0,0.74241
NGIQ-BR-00000187,left,1656,1.414,2.449,3.162,3.742,7.0,0.68172
NGIQ-BR-00000191,left,3192,1.732,2.236,3.0,3.606,5.099,0.78941
NGIQ-BR-00000193,left,3540,2.236,3.317,4.472,5.099,8.124,0.78941
NGIQ-BR-00000199,left,4633,1.414,2.236,3.0,3.606,5.385,0.7079
NGIQ-BR-00000203,left,4894,2.236,3.464,4.899,5.745,8.062,0.53831
NGIQ-BR-00000205,left,4623,2.236,3.317,4.69,5.385,8.185,0.58408
NGIQ-BR-00000207,left,6054,1.732,2.828,3.742,4.359,6.164,0.40637
NGIQ-BR-00000209,left,6728,2.0,3.0,4.243,4.899,7.348,0.45922
NGIQ-BR-00000002,right,4178,1.414,2.449,3.606,4.472,6.481,0.60583
NGIQ-BR-00000004,right,2139,2.0,3.162,4.123,4.583,6.0,0.69821
NGIQ-BR-00000008,right,3722,1.732,2.449,3.317,3.742,5.745,0.62066
NGIQ-BR-00000010,right,3395,1.732,2.828,3.742,4.359,7.0,0.48854
NGIQ-BR-00000012,right,7243,2.236,3.606,5.099,6.0,9.434,0.62999
NGIQ-BR-00000014,right,1040,1.414,1.414,2.0,2.236,2.828,0.69162
NGIQ-BR-00000016,right,3821,1.732,2.449,3.317,4.123,6.0,0.54573
NGIQ-BR-00000022,right,4260,1.732,2.449,3.606,4.243,6.633,0.54935
NGIQ-BR-00000024,right,3556,1.414,2.0,2.828,3.0,5.099,0.53798
NGIQ-BR-00000026,right,3216,1.414,2.236,3.464,4.243,6.708,0.52025
NGIQ-BR-00000028,right,4307,2.0,3.0,4.0,4.359,6.481,0.62872
NGIQ-BR-00000030,right,4341,1.732,2.828,3.606,4.0,5.099,0.60277
NGIQ-BR-00000032,right,4784,1.732,2.828,4.0,4.583,7.874,0.63794
NGIQ-BR-00000034,right,6634,2.0,3.162,4.359,5.099,8.062,0.59383
NGIQ-BR-00000036,right,4220,2.449,4.0,5.099,5.831,8.307,0.59725
NGIQ-BR-00000038,right,6090,1.732,2.828,3.742,4.243,6.403,0.64986
NGIQ-BR-00000040,right,5747,2.0,3.162,5.138,6.403,9.434,0.63711
NGIQ-BR-00000044,right,3213,1.414,2.236,3.162,3.742,5.916,0.56229
NGIQ-BR-00000046,right,5015,1.414,2.236,3.0,3.606,6.403,0.63086
NGIQ-BR-00000052,right,2511,2.0,3.0,4.472,5.385,7.81,0.64294
NGIQ-BR-00000056,right,1276,1.414,1.732,2.236,2.449,3.742,0.60809
NGIQ-BR-00000058,right,3881,2.0,3.317,4.472,5.099,8.0,0.69168
NGIQ-BR-00000062,right,5311,1.414,2.236,3.0,3.606,5.831,0.65235
NGIQ-BR-00000066,right,4429,2.0,3.742,6.164,8.0,14.353,0.73982
NGIQ-BR-00000070,right,2221,1.0,1.414,2.236,2.236,3.464,0.52928
NGIQ-BR-00000072,right,4589,1.414,2.449,3.317,4.0,5.745,0.5878
NGIQ-BR-00000074,right,3203,1.0,1.732,2.0,2.236,3.606,0.45213
NGIQ-BR-00000076,right,2043,1.414,2.0,2.828,3.162,5.099,0.34733
NGIQ-BR-00000078,right,1871,1.414,2.0,2.449,3.0,4.472,0.58268
NGIQ-BR-00000080,right,4057,1.732,2.828,4.123,4.69,6.708,0.66463
NGIQ-BR-00000082,right,2230,1.414,2.0,2.236,2.828,3.464,0.61745
NGIQ-BR-00000084,right,2875,1.414,2.236,3.0,3.606,5.385,0.57025
NGIQ-BR-00000086,right,1920,1.414,2.236,2.828,3.162,4.583,0.6372
NGIQ-BR-00000090,right,2849,1.414,2.236,3.317,4.123,7.348,0.6259
NGIQ-BR-00000092,right,3257,1.414,2.0,2.828,3.606,6.403,0.53327
NGIQ-BR-00000094,right,1422,1.0,1.732,2.236,2.236,4.583,0.58068
NGIQ-BR-00000096,right,5176,1.414,2.236,3.162,3.742,5.831,0.57742
NGIQ-BR-00000098,right,4446,2.236,3.317,4.472,5.099,8.307,0.71244
NGIQ-BR-00000100,right,6290,1.414,2.236,2.828,3.0,5.385,0.69237
NGIQ-BR-00000102,right,937,1.414,2.236,3.162,3.606,5.385,0.51905
NGIQ-BR-00000104,right,1310,2.0,2.828,3.606,4.0,5.385,0.60164
NGIQ-BR-00000106,right,2248,1.732,2.828,3.742,4.583,6.708,0.57013
NGIQ-BR-00000108,right,2491,1.414,2.449,3.162,3.742,5.477,0.61544
NGIQ-BR-00000110,right,2126,2.236,3.162,4.243,5.0,6.782,0.57923
NGIQ-BR-00000112,right,2388,2.236,3.162,4.123,4.69,7.348,0.70787
NGIQ-BR-00000114,right,2634,1.414,2.236,3.162,3.742,6.403,0.60303
NGIQ-BR-00000116,right,5942,1.732,2.828,3.606,4.123,6.928,0.60639
NGIQ-BR-00000118,right,4280,1.414,2.236,3.464,4.123,5.916,0.59029
NGIQ-BR-00000120,right,4201,1.414,2.236,3.0,3.742,6.403,0.63374
NGIQ-BR-00000122,right,692,1.732,2.449,3.464,3.858,5.385,0.71185
NGIQ-BR-00000124,right,730,1.414,1.732,2.236,2.828,3.742,0.71039
NGIQ-BR-00000126,right,669,1.0,1.414,1.414,2.0,3.0,0.82663
NGIQ-BR-00000128,right,653,1.414,2.236,3.0,3.0,3.742,0.63939
NGIQ-BR-00000130,right,458,1.414,2.236,3.162,3.742,6.164,0.67025
NGIQ-BR-00000132,right,805,1.414,2.449,3.317,4.0,5.099,0.64898
NGIQ-BR-00000138,right,2795,1.732,2.828,3.742,4.472,7.348,0.49263
NGIQ-BR-00000140,right,2706,1.414,2.236,3.0,3.606,5.477,0.47043
NGIQ-BR-00000142,right,3344,2.0,3.0,4.0,4.583,6.633,0.3859
NGIQ-BR-00000144,right,2836,2.828,4.359,5.831,6.403,8.544,0.55196
NGIQ-BR-00000146,right,5315,1.732,2.828,3.742,4.472,7.141,0.56583
NGIQ-BR-00000148,right,7132,2.236,3.606,4.899,5.477,8.485,0.6052
NGIQ-BR-00000150,right,6935,2.0,3.0,4.243,5.099,8.124,0.64318
NGIQ-BR-00000152,right,8794,2.449,4.123,5.916,6.928,11.045,0.6983
NGIQ-BR-00000154,right,7118,2.0,3.0,3.742,4.243,7.141,0.70496
NGIQ-BR-00000156,right,2690,2.236,3.317,4.243,4.899,6.325,0.62227
NGIQ-BR-00000158,right,3821,2.0,2.828,3.606,4.123,7.071,0.57162
NGIQ-BR-00000160,right,5597,1.414,2.449,3.606,4.123,6.083,0.68768
NGIQ-BR-00000162,right,5151,2.236,3.317,4.583,5.385,8.367,0.71972
NGIQ-BR-00000164,right,5416,1.0,1.732,2.236,2.236,3.317,0.52602
NGIQ-BR-00000166,right,3134,1.414,2.0,2.828,3.0,4.583,0.60216
NGIQ-BR-00000168,right,4636,1.414,2.0,2.449,3.0,5.385,0.52361
NGIQ-BR-00000170,right,3160,1.414,2.0,2.236,2.236,3.742,0.34072
NGIQ-BR-00000172,right,589,1.0,1.414,2.236,2.828,3.606,0.55727
NGIQ-BR-00000174,right,685,1.0,1.414,2.0,2.236,2.828,0.73451
