relative_path,asset_role,exists,size_bytes,sha256
label/lh.aparc.annot,DK annotation,True,1312250,39b1acde9a32b4227631eb51cbcd8dff84e2138c57bf9f96d74026f2c17f1480
label/rh.aparc.annot,DK annotation,True,1312250,6a326aed325d313e6e0d10f67630efcd8d3b8343c50d3e108e005f626614badb
surf/lh.white,surface,True,5898808,c80741da738b70bc0ab1e0dcd6e8eec3d3d9f22af5812c38120a8ce4fb9fa7d3
surf/rh.white,surface,True,5898808,4e6e74efbd851e3b23a943c28b062acb3395341ac02156a4d1078d735b55e295
surf/lh.pial,surface,True,5898808,9cb004f61a2eeb977b1b595ad6de6656afdfc1f37ade0c00a8dde91e990a0f29
surf/rh.pial,surface,True,5898808,4f752701f74c1626ee3b6239046b9aa793ca4e87c6ae9a6b74a233c04e651212
mri/orig.mgz,reference volume,True,5250876,97862f8adfa48ff0c22d1441a81554f35c562c2232b43d8738730dc9ceb2c0a1
transforms/talairach.xfm,talairach transform,False,0,
surf/lh.sphere,surface,True,5898546,fddcf0eeecc6e0f62142164f7c0ac24fda1f0be8cb653d3f037970184c5ba98f
surf/rh.sphere,surface,True,5898546,fddcf0eeecc6e0f62142164f7c0ac24fda1f0be8cb653d3f037970184c5ba98f
surf/lh.sphere.reg,surface,True,5898546,fddcf0eeecc6e0f62142164f7c0ac24fda1f0be8cb653d3f037970184c5ba98f
surf/rh.sphere.reg,surface,True,5898546,fddcf0eeecc6e0f62142164f7c0ac24fda1f0be8cb653d3f037970184c5ba98f
mri/brain.mgz,brain volume,False,0,
mri/aseg.mgz,aseg volume,False,0,
mri/aparc+aseg.mgz,aparc+aseg volume,False,0,
