source_id,source_name,source_granularity,current_g1_target_id,current_g1_target_name,current_relation,current_classification,historical_status,historical_conflict_exists,historical_conflict_source_id,historical_conflict_source_name,historical_conflict_target_id,historical_conflict_target_name,historical_conflict_target_granularity,historical_conflict_relation_type,historical_conflict_decision,historical_conflict_source_file,conflict_level,same_source,same_target,same_relation_pair,conflict_affects_current_g1_relation,resolution,resolution_reason,family
NGIQ-BR-00000361,SF.AHi (Amygdala) right,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000261,Right Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000361,SF.AHi (Amygdala) right,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000362,SF.APir (Amygdala) right,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000261,Right Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000362,SF.APir (Amygdala) right,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000363,SF.VCo (Amygdala) right,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000261,Right Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000363,SF.VCo (Amygdala) right,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000364,SF.AHi (Amygdala) left,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000253,Left Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000364,SF.AHi (Amygdala) left,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000365,SF.APir (Amygdala) left,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000253,Left Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000365,SF.APir (Amygdala) left,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000366,SF.VCo (Amygdala) left,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000253,Left Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000366,SF.VCo (Amygdala) left,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000367,Astr (Amygdala) right,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000261,Right Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000367,Astr (Amygdala) right,,,NONE,CONFLICT_REVIEW,CONFLICT_REVIEW,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=CONFLICT_REVIEW，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000347,CM.AAA (Amygdala) right,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000261,Right Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000347,CM.AAA (Amygdala) right,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000348,CM.Ce (Amygdala) right,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000261,Right Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000348,CM.Ce (Amygdala) right,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000349,CM.Me (Amygdala) right,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000261,Right Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000349,CM.Me (Amygdala) right,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
NGIQ-BR-00000736,"PUa (Thalamus, anterior pulvinar) left",G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000247,Left Thalamus,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,SPATIAL_COMPATIBLE,True,NGIQ-BR-00000736,"PUa (Thalamus, anterior pulvinar) left",NGIQ-BR-00000239,"Left Thalamus, Brainnetome 8_5",G3_MESO_FINE,PARTIAL_OVERLAP,PARTIAL_OVERLAP,g4_g3_final_relation_decisions.csv,G4_TO_G3,True,False,False,False,NOT_AFFECTING_LOWER_GRANULARITY_ONLY,"历史冲突/空间结论作用于该 source→G3 parcel（Left Thalamus, Brainnetome 8_5），属更低粒度层；不否定该 source 含于 G1 宏结构。G1 宏结构由权威解剖（Julich/FS）定义，跨 atlas 与 BN parcel 的 mismatch 不构成对该 G1 relation 的否定。",thalamic
NGIQ-BR-00000350,CM.AAA (Amygdala) left,G4_MICROSTRUCTURAL_FINE,NGIQ-BR-00000253,Left Amygdala,contained_in_candidate,VERIFIED_DIRECT_CONTAINED,HISTORICAL_CONFLICT,True,NGIQ-BR-00000350,CM.AAA (Amygdala) left,,,NONE,SHARED_SPATIAL_EVIDENCE_ONLY,SHARED_SPATIAL_EVIDENCE_ONLY,g4_g3_final_scientific_decisions.csv,SOURCE_LEVEL_SPATIAL,True,False,False,False,NOT_AFFECTING_SOURCE_LEVEL_ONLY,历史 decision=SHARED_SPATIAL_EVIDENCE_ONLY，target=NONE，为 source-level spatial/冲突结论，未针对任何 G1 relation；不自动否定本 G4→G1 contained（仍需权威解剖支持）。,amygdala
