decision_id,rollup_decision_id,g3_region_id,official_code,abbreviation,official_name,hemisphere,component_index,bn_parcel_geometry_path,bn_parcel_sha256,frozen_g1_target,g1_geometry_id,g1_sha256,frozen_mapping_decision,lsg_dependency,lsg_dependency_resolved,weighted_containment,outside_support_fraction,contralateral_fraction,evidence_grade,evidence_basis,mapping_verdict,review_flags,circularity_risk,template_variant_uncertainty,classification_independent
DEC-THAL-DIRECT-01,DEC-THAL-ROLLUP-01,NGIQ-BR-00000020,Tha_L_8_1,mPFtha,medial pre-frontal thalamus,left,231,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp231_Tha_L_8_1_prob_2009c.nii.gz,f5e9e6210e4708fb58e2041d6645862510002d447d14d00e61e550e7c508a2e4,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,APPROVE_CONTAINED_IN,NONE,N/A,0.746617,0.074462,0.0,DIRECTLY_SUPPORTED,majority of parcel probability mass coincides with confidently-included THALAMUS_PROPER G1 territory,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,,NONE,PRESENT,TRUE
DEC-THAL-DIRECT-02,DEC-THAL-ROLLUP-02,NGIQ-BR-00000233,Tha_L_8_2,mPMtha,pre-motor thalamus,left,233,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp233_Tha_L_8_2_prob_2009c.nii.gz,2b5707eaeb835815464e023101b2b3111eda2a51a69e0045ed79a503f27d0558,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,APPROVE_CONTAINED_IN,NONE,N/A,0.123198,0.468069,0.0,DIRECT_SPATIAL_CONFLICT,weighted containment extremely low and outside-envelope mass material relative to the current G1 geometry,FROZEN_MAPPING_REQUIRES_REVIEW,BILATERAL_ASYMMETRY_REVIEW,NONE,PRESENT,TRUE
DEC-THAL-DIRECT-03,DEC-THAL-ROLLUP-03,NGIQ-BR-00000235,Tha_L_8_3,Stha,sensory thalamus,left,235,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp235_Tha_L_8_3_prob_2009c.nii.gz,c1756b277c18b4e2587987a930c0d72ef5316ce29fc236b48c29f0baa207e690,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,APPROVE_CONTAINED_IN,NONE,N/A,0.468178,0.158872,0.0,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,substantial containment but a material fraction sits in the G1 probability boundary band / envelope margin,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,,NONE,PRESENT,TRUE
DEC-THAL-DIRECT-04,DEC-THAL-ROLLUP-04,NGIQ-BR-00000237,Tha_L_8_4,rTtha,rostral temporal thalamus,left,237,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp237_Tha_L_8_4_prob_2009c.nii.gz,771c378b3d8f5dc9f9d63b248c7da276d414b057e23ba08ab37f816cfbc1ff85,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,APPROVE_CONTAINED_IN,NONE,N/A,0.538432,0.093206,0.0,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,substantial containment but a material fraction sits in the G1 probability boundary band / envelope margin,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,BILATERAL_ASYMMETRY_REVIEW,NONE,PRESENT,TRUE
DEC-THAL-DIRECT-05,DEC-THAL-ROLLUP-05,NGIQ-BR-00000239,Tha_L_8_5,PPtha,posterior parietal thalamus,left,239,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp239_Tha_L_8_5_prob_2009c.nii.gz,50617aeae80d660dba1cb76bd966969b23ed4be0bf1632e85e37c9c20fa94d1a,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,APPROVE_CONTAINED_IN,DEPENDENCY_ON_DEC_THAL_04,TRUE,0.683958,0.078646,0.0,DIRECTLY_SUPPORTED,majority of parcel probability mass coincides with confidently-included THALAMUS_PROPER G1 territory,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,,NONE,PRESENT,TRUE
DEC-THAL-DIRECT-06,DEC-THAL-ROLLUP-06,NGIQ-BR-00000241,Tha_L_8_6,Otha,occipital thalamus,left,241,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp241_Tha_L_8_6_prob_2009c.nii.gz,9601195226ea5ee409cd3f75c880ce01b2be78dda59f34f0ff5f18f71af25ac8,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,APPROVE_CONTAINED_IN,DEPENDENCY_ON_DEC_THAL_04,TRUE,0.716725,0.055253,0.0,DIRECTLY_SUPPORTED,majority of parcel probability mass coincides with confidently-included THALAMUS_PROPER G1 territory,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,,NONE,PRESENT,TRUE
DEC-THAL-DIRECT-07,DEC-THAL-ROLLUP-07,NGIQ-BR-00000243,Tha_L_8_7,cTtha,caudal temporal thalamus,left,243,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp243_Tha_L_8_7_prob_2009c.nii.gz,d13e509663c2c245e2a1e1686fbae8cdd43756a1cf68e01a8c9f9d02146bbe70,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,APPROVE_CONTAINED_IN,DEPENDENCY_ON_DEC_THAL_04,TRUE,0.595855,0.110075,0.0,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,substantial containment but a material fraction sits in the G1 probability boundary band / envelope margin,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,,NONE,PRESENT,TRUE
DEC-THAL-DIRECT-08,DEC-THAL-ROLLUP-08,NGIQ-BR-00000245,Tha_L_8_8,lPFtha,lateral pre-frontal thalamus,left,245,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp245_Tha_L_8_8_prob_2009c.nii.gz,9f7e950dc05d582b794b819cd0b9beac4997c36508a563d531a79c32317abbcf,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,APPROVE_CONTAINED_IN,NONE,N/A,0.525168,0.115291,0.0,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,substantial containment but a material fraction sits in the G1 probability boundary band / envelope margin,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,BILATERAL_ASYMMETRY_REVIEW,NONE,PRESENT,TRUE
DEC-THAL-DIRECT-09,DEC-THAL-ROLLUP-09,NGIQ-BR-00000232,Tha_R_8_1,mPFtha,medial pre-frontal thalamus,right,232,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp232_Tha_R_8_1_prob_2009c.nii.gz,e10e031bead669126a6b1e3980e59f0ff68ec907bcb907047c66083eb9707c61,NGIQ-BR-00000256,GEO-G1-THAL-R-MNI2009CASYM-V1,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,APPROVE_CONTAINED_IN,NONE,N/A,0.809757,0.032961,0.000334,DIRECTLY_SUPPORTED,majority of parcel probability mass coincides with confidently-included THALAMUS_PROPER G1 territory,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,,NONE,PRESENT,TRUE
DEC-THAL-DIRECT-10,DEC-THAL-ROLLUP-10,NGIQ-BR-00000234,Tha_R_8_2,mPMtha,pre-motor thalamus,right,234,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp234_Tha_R_8_2_prob_2009c.nii.gz,7ede82c7aa9aeaa9c1c1135116573844a800181a4f7460fc4640b9d0f0f7f87f,NGIQ-BR-00000256,GEO-G1-THAL-R-MNI2009CASYM-V1,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,APPROVE_CONTAINED_IN,NONE,N/A,0.519135,0.07062,0.000162,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,substantial containment but a material fraction sits in the G1 probability boundary band / envelope margin,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,BILATERAL_ASYMMETRY_REVIEW,NONE,PRESENT,TRUE
