decision_id,rollup_decision_id,g3_region_id,official_code,abbreviation,official_name,hemisphere,component_index,g1_region_id,g1_geometry_id,g1_sha256,bn_parcel_sha256,parcel_support_voxels,parcel_volume_mm3,probability_mass_inside_parcel,weighted_containment,mean_g1_on_parcel_support,support_overlap_fraction,outside_support_fraction,boundary_fraction,fraction_at_p_gt_0_1,fraction_at_p_gt_0_25,fraction_at_p_gt_0_5,fraction_at_p_gt_0_75,parcel_centroid_x,parcel_centroid_y,parcel_centroid_z,g1_weighted_centroid_distance_mm,contralateral_fraction,reticular_overlap_fraction,reticular_territory_source,bn_asset_correct_side_mass_fraction,evidence_mode,evidence_grade,template_variant_uncertainty,circularity_risk
DEC-THAL-DIRECT-01,DEC-THAL-ROLLUP-01,NGIQ-BR-00000020,Tha_L_8_1,mPFtha,medial pre-frontal thalamus,left,231,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,f5e9e6210e4708fb58e2041d6645862510002d447d14d00e61e550e7c508a2e4,15252,1990.985,1486.504,0.746617,0.543734,0.850643,0.074462,0.172331,0.824493,0.790497,0.753206,0.708437,-9.182,-14.698,4.779,4.853,0.0,0.006234,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,0.999731,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECTLY_SUPPORTED,PRESENT,NONE
DEC-THAL-DIRECT-02,DEC-THAL-ROLLUP-02,NGIQ-BR-00000233,Tha_L_8_2,mPMtha,pre-motor thalamus,left,233,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,2b5707eaeb835815464e023101b2b3111eda2a51a69e0045ed79a503f27d0558,10256,1411.379,173.879,0.123198,0.407055,0.722991,0.468069,0.418302,0.173253,0.137565,0.113628,0.096428,-18.102,-14.732,4.273,8.224,0.0,0.011868,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,1.0,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECT_SPATIAL_CONFLICT,PRESENT,NONE
DEC-THAL-DIRECT-03,DEC-THAL-ROLLUP-03,NGIQ-BR-00000235,Tha_L_8_3,Stha,sensory thalamus,left,235,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,c1756b277c18b4e2587987a930c0d72ef5316ce29fc236b48c29f0baa207e690,11942,1501.892,703.153,0.468178,0.472551,0.769385,0.158872,0.379265,0.580793,0.517117,0.461863,0.408998,-17.052,-20.667,4.402,6.288,0.0,0.03015,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,0.999962,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,PRESENT,NONE
DEC-THAL-DIRECT-04,DEC-THAL-ROLLUP-04,NGIQ-BR-00000237,Tha_L_8_4,rTtha,rostral temporal thalamus,left,237,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,771c378b3d8f5dc9f9d63b248c7da276d414b057e23ba08ab37f816cfbc1ff85,12996,2065.892,1112.342,0.538432,0.509731,0.843106,0.093206,0.369276,0.674436,0.606063,0.537518,0.466162,-8.298,-15.89,7.54,4.475,0.0,0.002613,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,0.986063,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,PRESENT,NONE
DEC-THAL-DIRECT-05,DEC-THAL-ROLLUP-05,NGIQ-BR-00000239,Tha_L_8_5,PPtha,posterior parietal thalamus,left,239,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,50617aeae80d660dba1cb76bd966969b23ed4be0bf1632e85e37c9c20fa94d1a,14113,2072.381,1417.421,0.683958,0.5234,0.818324,0.078646,0.227185,0.783379,0.741204,0.694169,0.630636,-15.729,-22.563,6.041,5.787,0.0,0.026249,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,0.999672,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECTLY_SUPPORTED,PRESENT,NONE
DEC-THAL-DIRECT-06,DEC-THAL-ROLLUP-06,NGIQ-BR-00000241,Tha_L_8_6,Otha,occipital thalamus,left,241,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,9601195226ea5ee409cd3f75c880ce01b2be78dda59f34f0ff5f18f71af25ac8,15437,2173.802,1558.017,0.716725,0.533851,0.837468,0.055253,0.222726,0.813258,0.771218,0.722021,0.670005,-13.942,-23.909,6.023,5.683,0.0,0.011649,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,0.999677,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECTLY_SUPPORTED,PRESENT,NONE
DEC-THAL-DIRECT-07,DEC-THAL-ROLLUP-07,NGIQ-BR-00000243,Tha_L_8_7,cTtha,caudal temporal thalamus,left,243,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,d13e509663c2c245e2a1e1686fbae8cdd43756a1cf68e01a8c9f9d02146bbe70,17117,1838.633,1095.559,0.595855,0.490792,0.806742,0.110075,0.295524,0.702312,0.651472,0.594401,0.539452,-11.873,-19.208,9.387,3.42,0.0,0.00827,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,0.998941,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,PRESENT,NONE
DEC-THAL-DIRECT-08,DEC-THAL-ROLLUP-08,NGIQ-BR-00000245,Tha_L_8_8,lPFtha,lateral pre-frontal thalamus,left,245,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,9f7e950dc05d582b794b819cd0b9beac4997c36508a563d531a79c32317abbcf,11193,2112.963,1109.66,0.525168,0.494803,0.792192,0.115291,0.362948,0.64458,0.581197,0.521761,0.464042,-12.684,-15.115,2.904,5.128,0.0,0.021879,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,0.999669,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,PRESENT,NONE
DEC-THAL-DIRECT-09,DEC-THAL-ROLLUP-09,NGIQ-BR-00000232,Tha_R_8_1,mPFtha,medial pre-frontal thalamus,right,232,NGIQ-BR-00000256,GEO-G1-THAL-R-MNI2009CASYM-V1,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,e10e031bead669126a6b1e3980e59f0ff68ec907bcb907047c66083eb9707c61,10933,1802.728,1459.772,0.809757,0.632875,0.921796,0.032961,0.150472,0.887152,0.854724,0.816567,0.770516,7.63,-13.244,5.565,7.015,0.000334,0.005773,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,0.99881,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECTLY_SUPPORTED,PRESENT,NONE
DEC-THAL-DIRECT-10,DEC-THAL-ROLLUP-10,NGIQ-BR-00000234,Tha_R_8_2,mPMtha,pre-motor thalamus,right,234,NGIQ-BR-00000256,GEO-G1-THAL-R-MNI2009CASYM-V1,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,7ede82c7aa9aeaa9c1c1135116573844a800181a4f7460fc4640b9d0f0f7f87f,10500,1805.201,937.143,0.519135,0.558051,0.883714,0.07062,0.417381,0.662054,0.583487,0.512,0.447852,12.77,-14.561,2.329,5.806,0.000162,0.018921,FS_RETICULAR_EXCLUDED_CHANNEL_SHARED_FRAME_RESAMPLE_IN_MEMORY,0.999453,CONTINUOUS_PROBABILITY_WEIGHTED_PRIMARY,DIRECTLY_SUPPORTED_WITH_BOUNDARY_UNCERTAINTY,PRESENT,NONE
