channel_index,source_label,official_name,hemisphere,anatomical_group,centroid_x,include_candidate,ontology_review,justification
0,Unknown,Unknown,Background/Unknown,background/non-nucleus,0.25,exclude(background),not a nucleus,channel 0 is the complement 'not one of 26 nuclei' class
1,Left-LGN,Left-LGN,Left,metathalamus/geniculate,-21.321,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=metathalamus/geniculate; nucleus of the dorsal/ventral/metathalamus
2,Right-LGN,Right-LGN,Right,metathalamus/geniculate,21.821,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=metathalamus/geniculate; nucleus of the dorsal/ventral/metathalamus
3,Right-MGN,Right-MGN,Right,metathalamus/geniculate,13.695,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=metathalamus/geniculate; nucleus of the dorsal/ventral/metathalamus
4,Left-MGN,Left-MGN,Left,metathalamus/geniculate,-13.195,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=metathalamus/geniculate; nucleus of the dorsal/ventral/metathalamus
5,Left-PuI,Left-PuI,Left,pulvinar,-17.837,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=pulvinar; nucleus of the dorsal/ventral/metathalamus
6,Left-PuM,Left-PuM,Left,pulvinar,-12.883,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=pulvinar; nucleus of the dorsal/ventral/metathalamus
7,Left-L-Sg,Left-L-Sg,Left,posterior/limitans-sg,-8.946,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=posterior/limitans-sg; nucleus of the dorsal/ventral/metathalamus
8,Left-VPL,Left-VPL,Left,ventral,-15.203,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
9,Left-CM,Left-CM,Left,intralaminar,-9.179,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=intralaminar; nucleus of the dorsal/ventral/metathalamus
10,Left-VLa,Left-VLa,Left,ventral,-11.121,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
11,Left-PuA,Left-PuA,Left,pulvinar,-10.582,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=pulvinar; nucleus of the dorsal/ventral/metathalamus
12,Left-MDm,Left-MDm,Left,mediodorsal,-4.097,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=mediodorsal; nucleus of the dorsal/ventral/metathalamus
13,Left-Pf,Left-Pf,Left,intralaminar,-6.354,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=intralaminar; nucleus of the dorsal/ventral/metathalamus
14,Left-VAmc,Left-VAmc,Left,ventral,-6.611,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
15,Left-MDl,Left-MDl,Left,mediodorsal,-6.415,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=mediodorsal; nucleus of the dorsal/ventral/metathalamus
16,Left-CeM,Left-CeM,Left,midline,-3.693,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=midline; nucleus of the dorsal/ventral/metathalamus
17,Left-VA,Left-VA,Left,ventral,-7.914,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
18,Left-MV(Re),Left-MV(Re),Left,midline/reuniens,-3.025,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=midline/reuniens; nucleus of the dorsal/ventral/metathalamus
19,Left-R,Left-R,Left,reticular,-16.073,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=reticular; nucleus of the dorsal/ventral/metathalamus
20,Left-VM,Left-VM,Left,ventral,-15.838,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
21,Left-CL,Left-CL,Left,intralaminar,-3.995,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=intralaminar; nucleus of the dorsal/ventral/metathalamus
22,Left-PuL,Left-PuL,Left,pulvinar,-17.106,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=pulvinar; nucleus of the dorsal/ventral/metathalamus
23,Left-Pt,Left-Pt,Left,paratenial,-8.353,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=paratenial; nucleus of the dorsal/ventral/metathalamus
24,Left-AV,Left-AV,Left,anterior,-3.62,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=anterior; nucleus of the dorsal/ventral/metathalamus
25,Left-Pc,Left-Pc,Left,intralaminar,-5.7,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=intralaminar; nucleus of the dorsal/ventral/metathalamus
26,Left-VLp,Left-VLp,Left,ventral,-11.353,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
