hemisphere,dk_label_id,dk_label_name,dk_vertex_count,g1_entity_id,g1_name_en,alignment_status,alignment_method
left,1,bankssts,2137,,,NO_G1_TARGET,DETERMINISTIC_FREESURFER_LABEL_MAP
left,2,caudalanteriorcingulate,1439,NGIQ-BR-00000269,Left Caudal Anterior Cingulate Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,3,caudalmiddlefrontal,3736,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,5,cuneus,1630,NGIQ-BR-00000271,Left Cuneus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,6,entorhinal,1102,NGIQ-BR-00000272,Left Entorhinal Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,7,fusiform,4714,NGIQ-BR-00000273,Left Fusiform Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,8,inferiorparietal,7871,NGIQ-BR-00000274,Left Inferior Parietal Lobule,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,9,inferiortemporal,4415,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,10,isthmuscingulate,2531,NGIQ-BR-00000276,Left Isthmus Of Cingulate Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,11,lateraloccipital,6379,NGIQ-BR-00000277,Left Lateral Occipital Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,12,lateralorbitofrontal,4188,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,13,lingual,4205,NGIQ-BR-00000279,Left Lingual Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,14,medialorbitofrontal,2653,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,15,middletemporal,4452,NGIQ-BR-00000281,Left Middle Temporal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
left,16,parahippocampal,1838,NGIQ-BR-00000282,Left Parahippocampal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
