g3_entity_id,g3_name_en,g3_name_zh,g3_source_name,g3_hemisphere,derived_anatomical_family,derivation_basis,g1_candidate_entity_id,g1_candidate_name_en,g1_candidate_name_zh,g1_hemisphere,candidate_relation,candidate_method,confidence_class,candidate_count,decision,review_reason
NGIQ-BR-00000215,"Left Amygdala, Brainnetome 2_1",左侧杏仁核（Brainnetome 2-1）,Amg_L_2_1,left,Amygdala,CANONICAL_NAME,NGIQ-BR-00000253,Left Amygdala,左杏仁核,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000217,"Left Amygdala, Brainnetome 2_2",左侧杏仁核（Brainnetome 2-2）,Amg_L_2_2,left,Amygdala,CANONICAL_NAME,NGIQ-BR-00000253,Left Amygdala,左杏仁核,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000181,"Left Cingulate gyrus, Brainnetome 7_1",左侧扣带回（Brainnetome 7-1）,CG_L_7_1,left,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,,left,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000183,"Left Cingulate gyrus, Brainnetome 7_2",左侧扣带回（Brainnetome 7-2）,CG_L_7_2,left,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,,left,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000185,"Left Cingulate gyrus, Brainnetome 7_3",左侧扣带回（Brainnetome 7-3）,CG_L_7_3,left,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,,left,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000187,"Left Cingulate gyrus, Brainnetome 7_4",左侧扣带回（Brainnetome 7-4）,CG_L_7_4,left,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,,left,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000189,"Left Cingulate gyrus, Brainnetome 7_5",左侧扣带回（Brainnetome 7-5）,CG_L_7_5,left,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,,left,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000191,"Left Cingulate gyrus, Brainnetome 7_6",左侧扣带回（Brainnetome 7-6）,CG_L_7_6,left,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,,left,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000193,"Left Cingulate gyrus, Brainnetome 7_7",左侧扣带回（Brainnetome 7-7）,CG_L_7_7,left,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,,left,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000115,"Left Fusiform gyrus, Brainnetome 3_1",左侧梭状回（Brainnetome 3-1）,FuG_L_3_1,left,Fusiform gyrus,CANONICAL_NAME,NGIQ-BR-00000273,Left Fusiform Gyrus,左梭状回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000117,"Left Fusiform gyrus, Brainnetome 3_2",左侧梭状回（Brainnetome 3-2）,FuG_L_3_2,left,Fusiform gyrus,CANONICAL_NAME,NGIQ-BR-00000273,Left Fusiform Gyrus,左梭状回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000119,"Left Fusiform gyrus, Brainnetome 3_3",左侧梭状回（Brainnetome 3-3）,FuG_L_3_3,left,Fusiform gyrus,CANONICAL_NAME,NGIQ-BR-00000273,Left Fusiform Gyrus,左梭状回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000017,"Left Hippocampus, Brainnetome 2_1",左侧海马（Brainnetome 2-1）,Hipp_L_2_1,left,Hippocampus,CANONICAL_NAME,NGIQ-BR-00000252,Left Hippocampus,左海马,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000219,"Left Hippocampus, Brainnetome 2_2",左侧海马（Brainnetome 2-2）,Hipp_L_2_2,left,Hippocampus,CANONICAL_NAME,NGIQ-BR-00000252,Left Hippocampus,左海马,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000003,"Left Inferior frontal gyrus, Brainnetome 6_1",左侧额下回（Brainnetome 6-1）,IFG_L_6_1,left,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
NGIQ-BR-00000047,"Left Inferior frontal gyrus, Brainnetome 6_2",左侧额下回（Brainnetome 6-2）,IFG_L_6_2,left,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
NGIQ-BR-00000049,"Left Inferior frontal gyrus, Brainnetome 6_3",左侧额下回（Brainnetome 6-3）,IFG_L_6_3,left,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
NGIQ-BR-00000051,"Left Inferior frontal gyrus, Brainnetome 6_4",左侧额下回（Brainnetome 6-4）,IFG_L_6_4,left,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
