component_index,parcel_id,official_name,official_code,canonical_g3_id,hemisphere,lut_name,lobe,macro_gyrus_name,source_asset,source_sha256,output_asset,output_sha256,source_space,target_space,transform_sha256,tool,tool_version,interpolation,source_scale,output_scale,source_nonzero_voxels,target_nonzero_voxels,source_probability_sum,target_probability_sum,probability_sum_ratio,support_volume_ratio,target_grid_match,hemisphere_check,finite_check,range_check,nonempty_check,cross_check,boundary_touch_fraction,correct_side_mass_fraction,transform_status
1,1,Superior frontal gyrus,SFG_L_7_1,NGIQ-BR-00000001,left,A8m_L,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp001_SFG_L_7_1_prob_2009c.nii.gz,2fc78e671baba7109115927826967d59c14e361659cb0e1ad15c19078b73d9ad,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,18688,55869,385387.0186,8259.6966,0.021432,2.989565,True,True,True,True,True,True,0.0,0.96724,PASS
2,2,Superior frontal gyrus,SFG_R_7_1,NGIQ-BR-00000002,right,A8m_R,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp002_SFG_R_7_1_prob_2009c.nii.gz,52f9dfe92405ac4b201d64acedf37ed25d370d03d84e2257577b3fcf1c454faf,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,17173,50436,389565.9534,8018.9721,0.020584,2.936936,True,True,True,True,True,True,0.0,0.9739,PASS
3,3,Superior frontal gyrus,SFG_L_7_2,NGIQ-BR-00000021,left,A8dl_L,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp003_SFG_L_7_2_prob_2009c.nii.gz,4553bcb316fbae6147ea447972a717c7057c63445e63241a5586005da0f4d703,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10334,32770,338340.0022,7737.2371,0.022868,3.171086,True,True,True,True,True,True,0.0,0.999808,PASS
4,4,Superior frontal gyrus,SFG_R_7_2,NGIQ-BR-00000022,right,A8dl_R,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp004_SFG_R_7_2_prob_2009c.nii.gz,4359a035ed6dbc11bff666d26f65d2a0d0494d4de979e678ec64a4c5acc95171,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11448,34218,339396.5908,7141.0004,0.02104,2.988994,True,True,True,True,True,True,0.0,0.999501,PASS
5,5,Superior frontal gyrus,SFG_L_7_3,NGIQ-BR-00000023,left,A9l_L,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp005_SFG_L_7_3_prob_2009c.nii.gz,1a8142b4f890e1106e118bb5dc2275c6a1f3451b6c624bdb20ebf9bfdff288dd,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,18588,55439,394480.6186,8508.7867,0.02157,2.982516,True,True,True,True,True,True,0.0,0.993271,PASS
6,6,Superior frontal gyrus,SFG_R_7_3,NGIQ-BR-00000024,right,A9l_R,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp006_SFG_R_7_3_prob_2009c.nii.gz,6666db4e906d7ad77dc8c44f8fbaf1e39761234c32d38988f428f986d480c42e,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,17266,50170,412625.4911,8339.2676,0.02021,2.905711,True,True,True,True,True,True,0.0,0.989822,PASS
7,7,Superior frontal gyrus,SFG_L_7_4,NGIQ-BR-00000025,left,A6dl_L,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp007_SFG_L_7_4_prob_2009c.nii.gz,5a2272ba52a3577295996e14fd16f6a07e04168eac1900146880f8f2f107ac44,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10599,33939,272485.6929,5765.3206,0.021158,3.202095,True,True,True,True,True,True,0.0,0.998352,PASS
8,8,Superior frontal gyrus,SFG_R_7_4,NGIQ-BR-00000026,right,A6dl_R,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp008_SFG_R_7_4_prob_2009c.nii.gz,840e75773d8c0bfe0029e66c478d6ace91a1eeb0f10aa574201bb6538c6e9021,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11764,35031,295084.6964,6028.9589,0.020431,2.977814,True,True,True,True,True,True,0.0,0.997247,PASS
9,9,Superior frontal gyrus,SFG_L_7_5,NGIQ-BR-00000027,left,A6m_L,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp009_SFG_L_7_5_prob_2009c.nii.gz,2b47e6703eace7028b6a49fad43d81300eb5f23fc60d82a9d8184edcad3c93e3,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7943,23806,331320.8104,7075.9952,0.021357,2.997104,True,True,True,True,True,True,0.0,0.961589,PASS
10,10,Superior frontal gyrus,SFG_R_7_5,NGIQ-BR-00000028,right,A6m_R,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp010_SFG_R_7_5_prob_2009c.nii.gz,c2baaa63a095f7864d47458581b536228e0f3ef107ec0d4b1010d7a9072c8153,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7974,24160,313323.3674,6822.3767,0.021774,3.029847,True,True,True,True,True,True,0.0,0.955652,PASS
