parcel_id,official_hemisphere_code,modified_cyto_code,volumetric_label_index,official_compact_ext_id,hemisphere,g3_entity_id,g3_name,alignment_method,alignment_status
1,SFG_L_7_1,A8m,1,SFG_L_7_1,left,NGIQ-BR-00000001,SFG_L_7_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
2,SFG_R_7_1,A8m,2,SFG_R_7_1,right,NGIQ-BR-00000002,SFG_R_7_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
3,SFG_L_7_2,A8dl,3,SFG_L_7_2,left,NGIQ-BR-00000021,SFG_L_7_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
4,SFG_R_7_2,A8dl,4,SFG_R_7_2,right,NGIQ-BR-00000022,SFG_R_7_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
5,SFG_L_7_3,A9l,5,SFG_L_7_3,left,NGIQ-BR-00000023,SFG_L_7_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
6,SFG_R_7_3,A9l,6,SFG_R_7_3,right,NGIQ-BR-00000024,SFG_R_7_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
7,SFG_L_7_4,A6dl,7,SFG_L_7_4,left,NGIQ-BR-00000025,SFG_L_7_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
8,SFG_R_7_4,A6dl,8,SFG_R_7_4,right,NGIQ-BR-00000026,SFG_R_7_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
9,SFG_L_7_5,A6m,9,SFG_L_7_5,left,NGIQ-BR-00000027,SFG_L_7_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
10,SFG_R_7_5,A6m,10,SFG_R_7_5,right,NGIQ-BR-00000028,SFG_R_7_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
11,SFG_L_7_6,A9m,11,SFG_L_7_6,left,NGIQ-BR-00000029,SFG_L_7_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
12,SFG_R_7_6,A9m,12,SFG_R_7_6,right,NGIQ-BR-00000030,SFG_R_7_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
13,SFG_L_7_7,A10m,13,SFG_L_7_7,left,NGIQ-BR-00000031,SFG_L_7_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
14,SFG_R_7_7,A10m,14,SFG_R_7_7,right,NGIQ-BR-00000032,SFG_R_7_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
15,MFG_L_7_1,A9/46d,15,MFG_L_7_1,left,NGIQ-BR-00000033,MFG_L_7_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
16,MFG_R_7_1,A9/46d,16,MFG_R_7_1,right,NGIQ-BR-00000034,MFG_R_7_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
17,MFG_L_7_2,IFJ,17,MFG_L_7_2,left,NGIQ-BR-00000035,MFG_L_7_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
18,MFG_R_7_2,IFJ,18,MFG_R_7_2,right,NGIQ-BR-00000036,MFG_R_7_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
19,MFG_L_7_3,A46,19,MFG_L_7_3,left,NGIQ-BR-00000037,MFG_L_7_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
20,MFG_R_7_3,A46,20,MFG_R_7_3,right,NGIQ-BR-00000038,MFG_R_7_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
21,MFG_L_7_4,A9/46v,21,MFG_L_7_4,left,NGIQ-BR-00000039,MFG_L_7_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
22,MFG_R_7_4,A9/46v,22,MFG_R_7_4,right,NGIQ-BR-00000040,MFG_R_7_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
23,MFG_L_7_5,A8vl,23,MFG_L_7_5,left,NGIQ-BR-00000041,MFG_L_7_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
24,MFG_R_7_5,A8vl,24,MFG_R_7_5,right,NGIQ-BR-00000042,MFG_R_7_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
25,MFG_L_7_6,A6vl,25,MFG_L_7_6,left,NGIQ-BR-00000043,MFG_L_7_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
26,MFG_R_7_6,A6vl,26,MFG_R_7_6,right,NGIQ-BR-00000044,MFG_R_7_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
27,MFG_L_7_7,A10l,27,MFG_L_7_7,left,NGIQ-BR-00000045,MFG_L_7_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
28,MFG_R_7_7,A10l,28,MFG_R_7_7,right,NGIQ-BR-00000046,MFG_R_7_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
29,IFG_L_6_1,A44d,29,IFG_L_6_1,left,NGIQ-BR-00000003,IFG_L_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
30,IFG_R_6_1,A44d,30,IFG_R_6_1,right,NGIQ-BR-00000004,IFG_R_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
31,IFG_L_6_2,IFS,31,IFG_L_6_2,left,NGIQ-BR-00000047,IFG_L_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
32,IFG_R_6_2,IFS,32,IFG_R_6_2,right,NGIQ-BR-00000048,IFG_R_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
33,IFG_L_6_3,A45c,33,IFG_L_6_3,left,NGIQ-BR-00000049,IFG_L_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
34,IFG_R_6_3,A45c,34,IFG_R_6_3,right,NGIQ-BR-00000050,IFG_R_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
35,IFG_L_6_4,A45r,35,IFG_L_6_4,left,NGIQ-BR-00000051,IFG_L_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
36,IFG_R_6_4,A45r,36,IFG_R_6_4,right,NGIQ-BR-00000052,IFG_R_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
37,IFG_L_6_5,A44op,37,IFG_L_6_5,left,NGIQ-BR-00000053,IFG_L_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
38,IFG_R_6_5,A44op,38,IFG_R_6_5,right,NGIQ-BR-00000054,IFG_R_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
39,IFG_L_6_6,A44v,39,IFG_L_6_6,left,NGIQ-BR-00000055,IFG_L_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
40,IFG_R_6_6,A44v,40,IFG_R_6_6,right,NGIQ-BR-00000056,IFG_R_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
41,OrG_L_6_1,A14m,41,OrG_L_6_1,left,NGIQ-BR-00000057,OrG_L_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
42,OrG_R_6_1,A14m,42,OrG_R_6_1,right,NGIQ-BR-00000058,OrG_R_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
43,OrG_L_6_2,A12/47o,43,OrG_L_6_2,left,NGIQ-BR-00000059,OrG_L_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
44,OrG_R_6_2,A12/47o,44,OrG_R_6_2,right,NGIQ-BR-00000060,OrG_R_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
45,OrG_L_6_3,A11l,45,OrG_L_6_3,left,NGIQ-BR-00000061,OrG_L_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
46,OrG_R_6_3,A11l,46,OrG_R_6_3,right,NGIQ-BR-00000062,OrG_R_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
