pair_id,left_g3_entity_id,right_g3_entity_id,seed_mask_code,cohort,left_top1_g1,right_top1_g1,left_top1_cov,right_top1_cov,left_top1_dk,right_top1_dk,consistency_status
SFG_7_1,NGIQ-BR-00000001,NGIQ-BR-00000002,SFG,SINGLE_SEED_CONTROL,Superior Frontal Gyrus,Superior Frontal Gyrus,1.0,1.0,superiorfrontal,superiorfrontal,SAME_TOP1_TARGET
SFG_7_2,NGIQ-BR-00000021,NGIQ-BR-00000022,SFG,SINGLE_SEED_CONTROL,Superior Frontal Gyrus,Superior Frontal Gyrus,0.972441,0.983711,superiorfrontal,superiorfrontal,SAME_TOP1_TARGET
SFG_7_3,NGIQ-BR-00000023,NGIQ-BR-00000024,SFG,SINGLE_SEED_CONTROL,Superior Frontal Gyrus,Superior Frontal Gyrus,0.975456,0.970336,superiorfrontal,superiorfrontal,SAME_TOP1_TARGET
SFG_7_4,NGIQ-BR-00000025,NGIQ-BR-00000026,SFG,SINGLE_SEED_CONTROL,Superior Frontal Gyrus,Superior Frontal Gyrus,0.998672,0.995425,superiorfrontal,superiorfrontal,SAME_TOP1_TARGET
SFG_7_5,NGIQ-BR-00000027,NGIQ-BR-00000028,SFG,SINGLE_SEED_CONTROL,Superior Frontal Gyrus,Superior Frontal Gyrus,0.95671,0.937118,superiorfrontal,superiorfrontal,SAME_TOP1_TARGET
SFG_7_6,NGIQ-BR-00000029,NGIQ-BR-00000030,SFG,SINGLE_SEED_CONTROL,Superior Frontal Gyrus,Superior Frontal Gyrus,1.0,1.0,superiorfrontal,superiorfrontal,SAME_TOP1_TARGET
SFG_7_7,NGIQ-BR-00000031,NGIQ-BR-00000032,SFG,SINGLE_SEED_CONTROL,Superior Frontal Gyrus,Superior Frontal Gyrus,1.0,0.996016,superiorfrontal,superiorfrontal,SAME_TOP1_TARGET
MFG_7_1,NGIQ-BR-00000033,NGIQ-BR-00000034,MFG,COMPOSITE_SEED_PENDING,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex,0.953149,0.820144,rostralmiddlefrontal,rostralmiddlefrontal,ASYMMETRIC_COVERAGE
MFG_7_2,NGIQ-BR-00000035,NGIQ-BR-00000036,MFG,COMPOSITE_SEED_PENDING,Caudal Middle Frontal Gyrus,Caudal Middle Frontal Gyrus,0.767627,0.942857,caudalmiddlefrontal,caudalmiddlefrontal,ASYMMETRIC_COVERAGE
MFG_7_3,NGIQ-BR-00000037,NGIQ-BR-00000038,MFG,COMPOSITE_SEED_PENDING,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex,0.993798,1.0,rostralmiddlefrontal,rostralmiddlefrontal,SAME_TOP1_TARGET
MFG_7_4,NGIQ-BR-00000039,NGIQ-BR-00000040,MFG,COMPOSITE_SEED_PENDING,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex,1.0,0.975517,rostralmiddlefrontal,rostralmiddlefrontal,SAME_TOP1_TARGET
MFG_7_5,NGIQ-BR-00000041,NGIQ-BR-00000042,MFG,COMPOSITE_SEED_PENDING,Caudal Middle Frontal Gyrus,Rostral Middle Frontal Cortex,0.642631,0.637713,caudalmiddlefrontal,rostralmiddlefrontal,DIFFERENT_TOP1_TARGET
MFG_7_6,NGIQ-BR-00000043,NGIQ-BR-00000044,MFG,COMPOSITE_SEED_PENDING,Caudal Middle Frontal Gyrus,Caudal Middle Frontal Gyrus,0.964172,0.958541,caudalmiddlefrontal,caudalmiddlefrontal,SAME_TOP1_TARGET
MFG_7_7,NGIQ-BR-00000045,NGIQ-BR-00000046,MFG,COMPOSITE_SEED_PENDING,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex,0.932464,0.93571,rostralmiddlefrontal,rostralmiddlefrontal,SAME_TOP1_TARGET
IFG_6_1,NGIQ-BR-00000003,NGIQ-BR-00000004,IFG,COMPOSITE_SEED_PENDING,"Inferior Frontal Gyrus, Pars Opercularis","Inferior Frontal Gyrus, Pars Opercularis",0.96732,0.72323,parsopercularis,parsopercularis,ASYMMETRIC_COVERAGE
IFG_6_2,NGIQ-BR-00000047,NGIQ-BR-00000048,IFG,COMPOSITE_SEED_PENDING,"Inferior Frontal Gyrus, Pars Opercularis","Inferior Frontal Gyrus, Pars Triangularis",0.459574,0.726351,parsopercularis,parstriangularis,DIFFERENT_TOP1_TARGET
IFG_6_3,NGIQ-BR-00000049,NGIQ-BR-00000050,IFG,COMPOSITE_SEED_PENDING,"Inferior Frontal Gyrus, Pars Opercularis","Inferior Frontal Gyrus, Pars Opercularis",0.68541,0.516605,parsopercularis,parsopercularis,ASYMMETRIC_COVERAGE
IFG_6_4,NGIQ-BR-00000051,NGIQ-BR-00000052,IFG,COMPOSITE_SEED_PENDING,"Inferior Frontal Gyrus, Pars Triangularis","Inferior Frontal Gyrus, Pars Triangularis",0.92587,1.0,parstriangularis,parstriangularis,SAME_TOP1_TARGET
IFG_6_5,NGIQ-BR-00000053,NGIQ-BR-00000054,IFG,COMPOSITE_SEED_PENDING,"Inferior Frontal Gyrus, Pars Triangularis","Inferior Frontal Gyrus, Pars Triangularis",0.583855,0.530909,parstriangularis,parstriangularis,SAME_TOP1_TARGET
IFG_6_6,NGIQ-BR-00000055,NGIQ-BR-00000056,IFG,COMPOSITE_SEED_PENDING,"Inferior Frontal Gyrus, Pars Opercularis","Inferior Frontal Gyrus, Pars Opercularis",0.992296,0.886726,parsopercularis,parsopercularis,ASYMMETRIC_COVERAGE
OrG_6_1,NGIQ-BR-00000057,NGIQ-BR-00000058,OrG,COMPOSITE_SEED_PENDING,Medial Orbitofrontal Cortex,Medial Orbitofrontal Cortex,0.808187,0.895669,medialorbitofrontal,medialorbitofrontal,SAME_TOP1_TARGET
OrG_6_2,NGIQ-BR-00000059,NGIQ-BR-00000060,OrG,COMPOSITE_SEED_PENDING,Lateral Orbitofrontal Cortex,"Inferior Frontal Gyrus, Pars Orbitalis",0.581366,0.620155,lateralorbitofrontal,parsorbitalis,DIFFERENT_TOP1_TARGET
OrG_6_3,NGIQ-BR-00000061,NGIQ-BR-00000062,OrG,COMPOSITE_SEED_PENDING,Lateral Orbitofrontal Cortex,Lateral Orbitofrontal Cortex,0.99013,0.956455,lateralorbitofrontal,lateralorbitofrontal,SAME_TOP1_TARGET
OrG_6_4,NGIQ-BR-00000063,NGIQ-BR-00000064,OrG,COMPOSITE_SEED_PENDING,Medial Orbitofrontal Cortex,Medial Orbitofrontal Cortex,0.569787,0.563107,medialorbitofrontal,medialorbitofrontal,SAME_TOP1_TARGET
OrG_6_5,NGIQ-BR-00000065,NGIQ-BR-00000066,OrG,COMPOSITE_SEED_PENDING,Medial Orbitofrontal Cortex,Medial Orbitofrontal Cortex,0.60663,0.569756,medialorbitofrontal,medialorbitofrontal,SAME_TOP1_TARGET
OrG_6_6,NGIQ-BR-00000067,NGIQ-BR-00000068,OrG,COMPOSITE_SEED_PENDING,Lateral Orbitofrontal Cortex,Lateral Orbitofrontal Cortex,0.506073,0.495957,lateralorbitofrontal,lateralorbitofrontal,SAME_TOP1_TARGET
PrG_6_1,NGIQ-BR-00000069,NGIQ-BR-00000070,PrG,SINGLE_SEED_CONTROL,Precentral Gyrus,Precentral Gyrus,0.996333,0.971129,precentral,precentral,SAME_TOP1_TARGET
PrG_6_2,NGIQ-BR-00000071,NGIQ-BR-00000072,PrG,SINGLE_SEED_CONTROL,Precentral Gyrus,Precentral Gyrus,0.9179,0.844646,precentral,precentral,SAME_TOP1_TARGET
PrG_6_3,NGIQ-BR-00000073,NGIQ-BR-00000074,PrG,SINGLE_SEED_CONTROL,Precentral Gyrus,Precentral Gyrus,0.906458,0.964951,precentral,precentral,SAME_TOP1_TARGET
PrG_6_4,NGIQ-BR-00000075,NGIQ-BR-00000076,PrG,SINGLE_SEED_CONTROL,Precentral Gyrus,Precentral Gyrus,0.850059,0.899503,precentral,precentral,SAME_TOP1_TARGET
