hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_label_name,dk_label_id,dk_vertex_count,intersection_vertex_count,source_coverage_ratio,target_coverage_ratio,g1_entity_id,g1_name_en,g1_alignment_status,is_no_g1_target
left,NGIQ-BR-00000001,1,SFG_L_7_1,medial area 8,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1272,superiorfrontal,28,0,1272,1.0,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000021,3,SFG_L_7_2,dorsolateral area 8,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2032,caudalmiddlefrontal,3,0,28,0.01378,0,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000021,3,SFG_L_7_2,dorsolateral area 8,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2032,rostralmiddlefrontal,27,0,28,0.01378,0,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,ALIGNED,false
left,NGIQ-BR-00000021,3,SFG_L_7_2,dorsolateral area 8,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2032,superiorfrontal,28,0,1976,0.972441,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000023,5,SFG_L_7_3,lateral area 9,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1426,rostralmiddlefrontal,27,0,35,0.024544,0,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,ALIGNED,false
left,NGIQ-BR-00000023,5,SFG_L_7_3,lateral area 9,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1426,superiorfrontal,28,0,1391,0.975456,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000025,7,SFG_L_7_4,dorsolateral area 6,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1506,precentral,24,0,2,0.001328,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000025,7,SFG_L_7_4,dorsolateral area 6,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1506,superiorfrontal,28,0,1504,0.998672,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000027,9,SFG_L_7_5,medial area 6,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2079,paracentral,17,0,69,0.033189,0,NGIQ-BR-00000283,Left Paracentral Lobule,ALIGNED,false
left,NGIQ-BR-00000027,9,SFG_L_7_5,medial area 6,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2079,posteriorcingulate,23,0,21,0.010101,0,NGIQ-BR-00000289,Left Posterior Cingulate Cortex,ALIGNED,false
