pair_id,left_g3_entity_id,right_g3_entity_id,left_name,right_name,source_labels,brainnetome_parcel_ids,anatomical_family,candidate_g1_concepts,official_bna_code,official_macro_gyrus,official_modified_code,official_modified_name,left_mni_xyz,right_mni_xyz,authority_source,authority_reference,authority_alignment_status,classification,proposed_candidate,review_reason,review_decision
P01,NGIQ-BR-00000181,NGIQ-BR-00000182,"Left Cingulate gyrus, Brainnetome 7_1","Right Cingulate gyrus, Brainnetome 7_1",CG_L_7_1 / CG_R_7_1,175 / 176,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,CG_L(R)_7_1,"CG, Cingulate gyrus",A23d,dorsal area 23,"(4,39,31)","(4,37,32)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A23d precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P02,NGIQ-BR-00000183,NGIQ-BR-00000184,"Left Cingulate gyrus, Brainnetome 7_2","Right Cingulate gyrus, Brainnetome 7_2",CG_L_7_2 / CG_R_7_2,177 / 178,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,CG_L(R)_7_2,"CG, Cingulate gyrus",A24rv,rostroventral area 24,"(3,8,25)","(5,22,12)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A24rv precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P03,NGIQ-BR-00000185,NGIQ-BR-00000186,"Left Cingulate gyrus, Brainnetome 7_3","Right Cingulate gyrus, Brainnetome 7_3",CG_L_7_3 / CG_R_7_3,179 / 180,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,CG_L(R)_7_3,"CG, Cingulate gyrus",A32p,pregenual area 32,"(6,34,21)","(5,28,27)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A32p precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P04,NGIQ-BR-00000187,NGIQ-BR-00000188,"Left Cingulate gyrus, Brainnetome 7_4","Right Cingulate gyrus, Brainnetome 7_4",CG_L_7_4 / CG_R_7_4,181 / 182,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,CG_L(R)_7_4,"CG, Cingulate gyrus",A23v,ventral area 23,"(8,47,10)","(9,44,11)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A23v precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P05,NGIQ-BR-00000189,NGIQ-BR-00000190,"Left Cingulate gyrus, Brainnetome 7_5","Right Cingulate gyrus, Brainnetome 7_5",CG_L_7_5 / CG_R_7_5,183 / 184,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,CG_L(R)_7_5,"CG, Cingulate gyrus",A24cd,caudodorsal area 24,"(5,7,37)","(4,6,38)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A24cd precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P06,NGIQ-BR-00000191,NGIQ-BR-00000192,"Left Cingulate gyrus, Brainnetome 7_6","Right Cingulate gyrus, Brainnetome 7_6",CG_L_7_6 / CG_R_7_6,185 / 186,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,CG_L(R)_7_6,"CG, Cingulate gyrus",A23c,caudal area 24,"(7,23,41)","(6,20,40)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A23c precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P07,NGIQ-BR-00000193,NGIQ-BR-00000194,"Left Cingulate gyrus, Brainnetome 7_7","Right Cingulate gyrus, Brainnetome 7_7",CG_L_7_7 / CG_R_7_7,187 / 188,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,CG_L(R)_7_7,"CG, Cingulate gyrus",A32sg,subgenual area 32,"(4,39,2)","(5,41,6)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A32sg precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P08,NGIQ-BR-00000015,NGIQ-BR-00000016,"Left Medioventral occipital cortex, Brainnetome 5_1","Right Medioventral occipital cortex, Brainnetome 5_1",Cun_L_5_1 / Cun_R_5_1,189 / 190,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,MVOcC _L(R)_5_1,"MVOcC, MedioVentral occipital cortex",cLinG,caudal lingual gyrus,"(11,82,11)","(10,85,9)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Lingual Gyrus,caudal lingual gyrus -> Lingual Gyrus,PENDING_HUMAN_REVIEW
P09,NGIQ-BR-00000195,NGIQ-BR-00000196,"Left Medioventral occipital cortex, Brainnetome 5_2","Right Medioventral occipital cortex, Brainnetome 5_2",Cun_L_5_2 / Cun_R_5_2,191 / 192,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,MVOcC _L(R)_5_2,"MVOcC, MedioVentral occipital cortex",rCunG,rostral cuneus gyrus,"(5,81,10)","(7,76,11)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Cuneus,rostral cuneus gyrus -> Cuneus,PENDING_HUMAN_REVIEW
P10,NGIQ-BR-00000197,NGIQ-BR-00000198,"Left Medioventral occipital cortex, Brainnetome 5_3","Right Medioventral occipital cortex, Brainnetome 5_3",Cun_L_5_3 / Cun_R_5_3,193 / 194,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,MVOcC _L(R)_5_3,"MVOcC, MedioVentral occipital cortex",cCunG,caudal cuneus gyrus,"(6,94,1)","(8,90,12)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Cuneus,caudal cuneus gyrus -> Cuneus,PENDING_HUMAN_REVIEW
P11,NGIQ-BR-00000199,NGIQ-BR-00000200,"Left Medioventral occipital cortex, Brainnetome 5_4","Right Medioventral occipital cortex, Brainnetome 5_4",Cun_L_5_4 / Cun_R_5_4,195 / 196,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,MVOcC _L(R)_5_4,"MVOcC, MedioVentral occipital cortex",rLinG,rostral lingual gyrus,"(17,60,6)","(18,60,7)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Lingual Gyrus,rostral lingual gyrus -> Lingual Gyrus,PENDING_HUMAN_REVIEW
P12,NGIQ-BR-00000201,NGIQ-BR-00000202,"Left Medioventral occipital cortex, Brainnetome 5_5","Right Medioventral occipital cortex, Brainnetome 5_5",Cun_L_5_5 / Cun_R_5_5,197 / 198,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,MVOcC _L(R)_5_5,"MVOcC, MedioVentral occipital cortex",vmPOS,ventromedial parietooccipital sulcus,"(13,68,12)","(15,63,12)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,NO_DIRECT_G1_CONCEPT,,vmPOS is a sulcus/junction; no G1 coarse concept,PENDING_HUMAN_REVIEW
