pair_id,left_g3_entity_id,right_g3_entity_id,left_name,right_name,source_labels,brainnetome_parcel_ids,anatomical_family,candidate_g1_concepts,authority_evidence,classification,proposed_target,review_reason
P01,NGIQ-BR-00000181,NGIQ-BR-00000182,"Left Cingulate gyrus, Brainnetome 7_1","Right Cingulate gyrus, Brainnetome 7_1",CG_L_7_1 / CG_R_7_1,175 / 176,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,gyrus=CG lobe=(in TSV) native_code=CG_L_7_1; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P02,NGIQ-BR-00000183,NGIQ-BR-00000184,"Left Cingulate gyrus, Brainnetome 7_2","Right Cingulate gyrus, Brainnetome 7_2",CG_L_7_2 / CG_R_7_2,177 / 178,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,gyrus=CG lobe=(in TSV) native_code=CG_L_7_2; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P03,NGIQ-BR-00000185,NGIQ-BR-00000186,"Left Cingulate gyrus, Brainnetome 7_3","Right Cingulate gyrus, Brainnetome 7_3",CG_L_7_3 / CG_R_7_3,179 / 180,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,gyrus=CG lobe=(in TSV) native_code=CG_L_7_3; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P04,NGIQ-BR-00000187,NGIQ-BR-00000188,"Left Cingulate gyrus, Brainnetome 7_4","Right Cingulate gyrus, Brainnetome 7_4",CG_L_7_4 / CG_R_7_4,181 / 182,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,gyrus=CG lobe=(in TSV) native_code=CG_L_7_4; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P05,NGIQ-BR-00000189,NGIQ-BR-00000190,"Left Cingulate gyrus, Brainnetome 7_5","Right Cingulate gyrus, Brainnetome 7_5",CG_L_7_5 / CG_R_7_5,183 / 184,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,gyrus=CG lobe=(in TSV) native_code=CG_L_7_5; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P06,NGIQ-BR-00000191,NGIQ-BR-00000192,"Left Cingulate gyrus, Brainnetome 7_6","Right Cingulate gyrus, Brainnetome 7_6",CG_L_7_6 / CG_R_7_6,185 / 186,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,gyrus=CG lobe=(in TSV) native_code=CG_L_7_6; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P07,NGIQ-BR-00000193,NGIQ-BR-00000194,"Left Cingulate gyrus, Brainnetome 7_7","Right Cingulate gyrus, Brainnetome 7_7",CG_L_7_7 / CG_R_7_7,187 / 188,Cingulate gyrus,Left Caudal Anterior Cingulate Cortex; Left Rostral Anterior Cingulate Cortex; Left Posterior Cingulate Cortex; Left Isthmus Of Cingulate Gyrus,gyrus=CG lobe=(in TSV) native_code=CG_L_7_7; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P08,NGIQ-BR-00000015,NGIQ-BR-00000016,"Left Medioventral occipital cortex, Brainnetome 5_1","Right Medioventral occipital cortex, Brainnetome 5_1",Cun_L_5_1 / Cun_R_5_1,189 / 190,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,gyrus=Cun lobe=(in TSV) native_code=Cun_L_5_1; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P09,NGIQ-BR-00000195,NGIQ-BR-00000196,"Left Medioventral occipital cortex, Brainnetome 5_2","Right Medioventral occipital cortex, Brainnetome 5_2",Cun_L_5_2 / Cun_R_5_2,191 / 192,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,gyrus=Cun lobe=(in TSV) native_code=Cun_L_5_2; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P10,NGIQ-BR-00000197,NGIQ-BR-00000198,"Left Medioventral occipital cortex, Brainnetome 5_3","Right Medioventral occipital cortex, Brainnetome 5_3",Cun_L_5_3 / Cun_R_5_3,193 / 194,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,gyrus=Cun lobe=(in TSV) native_code=Cun_L_5_3; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P11,NGIQ-BR-00000199,NGIQ-BR-00000200,"Left Medioventral occipital cortex, Brainnetome 5_4","Right Medioventral occipital cortex, Brainnetome 5_4",Cun_L_5_4 / Cun_R_5_4,195 / 196,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,gyrus=Cun lobe=(in TSV) native_code=Cun_L_5_4; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P12,NGIQ-BR-00000201,NGIQ-BR-00000202,"Left Medioventral occipital cortex, Brainnetome 5_5","Right Medioventral occipital cortex, Brainnetome 5_5",Cun_L_5_5 / Cun_R_5_5,197 / 198,Medioventral occipital cortex,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,gyrus=Cun lobe=(in TSV) native_code=Cun_L_5_5; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P13,NGIQ-BR-00000003,NGIQ-BR-00000004,"Left Inferior frontal gyrus, Brainnetome 6_1","Right Inferior frontal gyrus, Brainnetome 6_1",IFG_L_6_1 / IFG_R_6_1,29 / 30,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",gyrus=IFG lobe=(in TSV) native_code=IFG_L_6_1; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P14,NGIQ-BR-00000047,NGIQ-BR-00000048,"Left Inferior frontal gyrus, Brainnetome 6_2","Right Inferior frontal gyrus, Brainnetome 6_2",IFG_L_6_2 / IFG_R_6_2,31 / 32,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",gyrus=IFG lobe=(in TSV) native_code=IFG_L_6_2; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P15,NGIQ-BR-00000049,NGIQ-BR-00000050,"Left Inferior frontal gyrus, Brainnetome 6_3","Right Inferior frontal gyrus, Brainnetome 6_3",IFG_L_6_3 / IFG_R_6_3,33 / 34,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",gyrus=IFG lobe=(in TSV) native_code=IFG_L_6_3; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P16,NGIQ-BR-00000051,NGIQ-BR-00000052,"Left Inferior frontal gyrus, Brainnetome 6_4","Right Inferior frontal gyrus, Brainnetome 6_4",IFG_L_6_4 / IFG_R_6_4,35 / 36,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",gyrus=IFG lobe=(in TSV) native_code=IFG_L_6_4; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P17,NGIQ-BR-00000053,NGIQ-BR-00000054,"Left Inferior frontal gyrus, Brainnetome 6_5","Right Inferior frontal gyrus, Brainnetome 6_5",IFG_L_6_5 / IFG_R_6_5,37 / 38,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",gyrus=IFG lobe=(in TSV) native_code=IFG_L_6_5; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P18,NGIQ-BR-00000055,NGIQ-BR-00000056,"Left Inferior frontal gyrus, Brainnetome 6_6","Right Inferior frontal gyrus, Brainnetome 6_6",IFG_L_6_6 / IFG_R_6_6,39 / 40,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",gyrus=IFG lobe=(in TSV) native_code=IFG_L_6_6; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P19,NGIQ-BR-00000033,NGIQ-BR-00000034,"Left Middle frontal gyrus, Brainnetome 7_1","Right Middle frontal gyrus, Brainnetome 7_1",MFG_L_7_1 / MFG_R_7_1,15 / 16,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,gyrus=MFG lobe=(in TSV) native_code=MFG_L_7_1; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P20,NGIQ-BR-00000035,NGIQ-BR-00000036,"Left Middle frontal gyrus, Brainnetome 7_2","Right Middle frontal gyrus, Brainnetome 7_2",MFG_L_7_2 / MFG_R_7_2,17 / 18,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,gyrus=MFG lobe=(in TSV) native_code=MFG_L_7_2; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P21,NGIQ-BR-00000037,NGIQ-BR-00000038,"Left Middle frontal gyrus, Brainnetome 7_3","Right Middle frontal gyrus, Brainnetome 7_3",MFG_L_7_3 / MFG_R_7_3,19 / 20,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,gyrus=MFG lobe=(in TSV) native_code=MFG_L_7_3; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P22,NGIQ-BR-00000039,NGIQ-BR-00000040,"Left Middle frontal gyrus, Brainnetome 7_4","Right Middle frontal gyrus, Brainnetome 7_4",MFG_L_7_4 / MFG_R_7_4,21 / 22,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,gyrus=MFG lobe=(in TSV) native_code=MFG_L_7_4; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P23,NGIQ-BR-00000041,NGIQ-BR-00000042,"Left Middle frontal gyrus, Brainnetome 7_5","Right Middle frontal gyrus, Brainnetome 7_5",MFG_L_7_5 / MFG_R_7_5,23 / 24,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,gyrus=MFG lobe=(in TSV) native_code=MFG_L_7_5; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P24,NGIQ-BR-00000043,NGIQ-BR-00000044,"Left Middle frontal gyrus, Brainnetome 7_6","Right Middle frontal gyrus, Brainnetome 7_6",MFG_L_7_6 / MFG_R_7_6,25 / 26,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,gyrus=MFG lobe=(in TSV) native_code=MFG_L_7_6; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P25,NGIQ-BR-00000045,NGIQ-BR-00000046,"Left Middle frontal gyrus, Brainnetome 7_7","Right Middle frontal gyrus, Brainnetome 7_7",MFG_L_7_7 / MFG_R_7_7,27 / 28,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,gyrus=MFG lobe=(in TSV) native_code=MFG_L_7_7; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P26,NGIQ-BR-00000057,NGIQ-BR-00000058,"Left Orbital gyrus, Brainnetome 6_1","Right Orbital gyrus, Brainnetome 6_1",OrG_L_6_1 / OrG_R_6_1,41 / 42,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,gyrus=OrG lobe=(in TSV) native_code=OrG_L_6_1; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P27,NGIQ-BR-00000059,NGIQ-BR-00000060,"Left Orbital gyrus, Brainnetome 6_2","Right Orbital gyrus, Brainnetome 6_2",OrG_L_6_2 / OrG_R_6_2,43 / 44,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,gyrus=OrG lobe=(in TSV) native_code=OrG_L_6_2; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P28,NGIQ-BR-00000061,NGIQ-BR-00000062,"Left Orbital gyrus, Brainnetome 6_3","Right Orbital gyrus, Brainnetome 6_3",OrG_L_6_3 / OrG_R_6_3,45 / 46,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,gyrus=OrG lobe=(in TSV) native_code=OrG_L_6_3; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P29,NGIQ-BR-00000063,NGIQ-BR-00000064,"Left Orbital gyrus, Brainnetome 6_4","Right Orbital gyrus, Brainnetome 6_4",OrG_L_6_4 / OrG_R_6_4,47 / 48,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,gyrus=OrG lobe=(in TSV) native_code=OrG_L_6_4; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P30,NGIQ-BR-00000065,NGIQ-BR-00000066,"Left Orbital gyrus, Brainnetome 6_5","Right Orbital gyrus, Brainnetome 6_5",OrG_L_6_5 / OrG_R_6_5,49 / 50,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,gyrus=OrG lobe=(in TSV) native_code=OrG_L_6_5; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P31,NGIQ-BR-00000067,NGIQ-BR-00000068,"Left Orbital gyrus, Brainnetome 6_6","Right Orbital gyrus, Brainnetome 6_6",OrG_L_6_6 / OrG_R_6_6,51 / 52,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,gyrus=OrG lobe=(in TSV) native_code=OrG_L_6_6; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P32,NGIQ-BR-00000019,NGIQ-BR-00000221,"Left Striatum (basal ganglia), Brainnetome 6_1","Right Striatum (basal ganglia), Brainnetome 6_1",Str_L_6_1 / Str_R_6_1,219 / 220,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,gyrus=Str lobe=(in TSV) native_code=Str_L_6_1; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P33,NGIQ-BR-00000222,NGIQ-BR-00000223,"Left Striatum (basal ganglia), Brainnetome 6_2","Right Striatum (basal ganglia), Brainnetome 6_2",Str_L_6_2 / Str_R_6_2,221 / 222,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,gyrus=Str lobe=(in TSV) native_code=Str_L_6_2; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P34,NGIQ-BR-00000224,NGIQ-BR-00000225,"Left Striatum (basal ganglia), Brainnetome 6_3","Right Striatum (basal ganglia), Brainnetome 6_3",Str_L_6_3 / Str_R_6_3,223 / 224,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,gyrus=Str lobe=(in TSV) native_code=Str_L_6_3; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P35,NGIQ-BR-00000226,NGIQ-BR-00000227,"Left Striatum (basal ganglia), Brainnetome 6_4","Right Striatum (basal ganglia), Brainnetome 6_4",Str_L_6_4 / Str_R_6_4,225 / 226,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,gyrus=Str lobe=(in TSV) native_code=Str_L_6_4; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P36,NGIQ-BR-00000228,NGIQ-BR-00000229,"Left Striatum (basal ganglia), Brainnetome 6_5","Right Striatum (basal ganglia), Brainnetome 6_5",Str_L_6_5 / Str_R_6_5,227 / 228,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,gyrus=Str lobe=(in TSV) native_code=Str_L_6_5; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
P37,NGIQ-BR-00000230,NGIQ-BR-00000231,"Left Striatum (basal ganglia), Brainnetome 6_6","Right Striatum (basal ganglia), Brainnetome 6_6",Str_L_6_6 / Str_R_6_6,229 / 230,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,gyrus=Str lobe=(in TSV) native_code=Str_L_6_6; no subdivision name in BNA246 circos TSV,INSUFFICIENT_INFORMATION,UNRESOLVED_FOR_G1_ROLLUP,"in-repo BNA246 circos TSV carries only gyrus abbreviation + lobe, no parcel subdivision name"
