hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,left_right_pair_id,current_authority_decision,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top1_minus_top2_margin,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio
left,NGIQ-BR-00000033,15,MFG_L_7_1,dorsal area 9/46,MFG,MFG_7_1,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,0.953149,superiorfrontal,0.046851,0.906299,Left Rostral Middle Frontal Cortex,0.953149,0,0.0
left,NGIQ-BR-00000035,17,MFG_L_7_2,inferior frontal junction,MFG,MFG_7_2,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,0.767627,rostralmiddlefrontal,0.22195,0.545677,Left Caudal Middle Frontal Gyrus,0.767627,0,0.0
left,NGIQ-BR-00000037,19,MFG_L_7_3,area 46,MFG,MFG_7_3,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,0.993798,superiorfrontal,0.006202,0.987597,Left Rostral Middle Frontal Cortex,0.993798,0,0.0
left,NGIQ-BR-00000039,21,MFG_L_7_4,ventral area 9/46,MFG,MFG_7_4,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,1.0,,0,1.0,Left Rostral Middle Frontal Cortex,1.0,0,0.0
left,NGIQ-BR-00000041,23,MFG_L_7_5,ventrolateral area 8,MFG,MFG_7_5,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,0.642631,rostralmiddlefrontal,0.350411,0.29222,Left Caudal Middle Frontal Gyrus,0.642631,0,0.0
left,NGIQ-BR-00000043,25,MFG_L_7_6,ventrolateral area 6,MFG,MFG_7_6,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,0.964172,superiorfrontal,0.029459,0.934713,Left Caudal Middle Frontal Gyrus,0.964172,0,0.0
left,NGIQ-BR-00000045,27,MFG_L_7_7,lateral area 10,MFG,MFG_7_7,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,0.932464,superiorfrontal,0.031466,0.900998,Left Rostral Middle Frontal Cortex,0.932464,0.002302,0.0
left,NGIQ-BR-00000003,29,IFG_L_6_1,dorsal area 44,IFG,IFG_6_1,PENDING_HUMAN_REVIEW,parsopercularis,0.96732,caudalmiddlefrontal,0.03268,0.934641,"Left Inferior Frontal Gyrus, Pars Opercularis",0.96732,0,0.0
left,NGIQ-BR-00000047,31,IFG_L_6_2,inferior frontal sulcus,IFG,IFG_6_2,NO_G1_ROLLUP,parsopercularis,0.459574,parstriangularis,0.363121,0.096454,"Left Inferior Frontal Gyrus, Pars Opercularis",0.459574,0,0.0
left,NGIQ-BR-00000049,33,IFG_L_6_3,caudal area 45,IFG,IFG_6_3,PENDING_HUMAN_REVIEW,parsopercularis,0.68541,parstriangularis,0.31459,0.370821,"Left Inferior Frontal Gyrus, Pars Opercularis",0.68541,0,0.0
left,NGIQ-BR-00000051,35,IFG_L_6_4,rostral area 45,IFG,IFG_6_4,PENDING_HUMAN_REVIEW,parstriangularis,0.92587,rostralmiddlefrontal,0.07413,0.85174,"Left Inferior Frontal Gyrus, Pars Triangularis",0.92587,0,0.0
left,NGIQ-BR-00000053,37,IFG_L_6_5,opercular area 44,IFG,IFG_6_5,PENDING_HUMAN_REVIEW,parstriangularis,0.583855,parsopercularis,0.399443,0.184412,"Left Inferior Frontal Gyrus, Pars Triangularis",0.583855,0,0.0
left,NGIQ-BR-00000055,39,IFG_L_6_6,ventral area 44,IFG,IFG_6_6,PENDING_HUMAN_REVIEW,parsopercularis,0.992296,precentral,0.007704,0.984592,"Left Inferior Frontal Gyrus, Pars Opercularis",0.992296,0,0.0
left,NGIQ-BR-00000057,41,OrG_L_6_1,medial area 14,OrG,OrG_6_1,PENDING_HUMAN_REVIEW,medialorbitofrontal,0.808187,frontalpole,0.098246,0.715789,Left Medial Orbitofrontal Cortex,0.808187,0.098246,0.0
left,NGIQ-BR-00000059,43,OrG_L_6_2,orbital area 12/47,OrG,OrG_6_2,PENDING_HUMAN_REVIEW,lateralorbitofrontal,0.581366,parsorbitalis,0.418634,0.162733,Left Lateral Orbitofrontal Cortex,0.581366,0,0.0
left,NGIQ-BR-00000061,45,OrG_L_6_3,lateral area 11,OrG,OrG_6_3,PENDING_HUMAN_REVIEW,lateralorbitofrontal,0.99013,parsorbitalis,0.00987,0.980259,Left Lateral Orbitofrontal Cortex,0.99013,0,0.0
left,NGIQ-BR-00000063,47,OrG_L_6_4,medial area 11,OrG,OrG_6_4,PENDING_HUMAN_REVIEW,medialorbitofrontal,0.569787,lateralorbitofrontal,0.237274,0.332512,Left Medial Orbitofrontal Cortex,0.569787,0.151888,0.0
