source,target_A,coverage_A,target_B,coverage_B,coverage_sum_for_selected_targets,other_overlap_coverage_if_any,status
NGIQ-BR-00000041,NGIQ-BR-00000293,0.350411,NGIQ-BR-00000270,0.642631,0.993042,0.006958,PASS
NGIQ-BR-00000042,NGIQ-BR-00000324,0.637713,NGIQ-BR-00000301,0.362287,1.0,,PASS
NGIQ-BR-00000049,NGIQ-BR-00000284,0.68541,NGIQ-BR-00000286,0.31459,1.0,,PASS
NGIQ-BR-00000050,NGIQ-BR-00000315,0.516605,NGIQ-BR-00000317,0.483395,1.0,,PASS
NGIQ-BR-00000053,NGIQ-BR-00000284,0.399443,NGIQ-BR-00000286,0.583855,0.983298,0.016701,PASS
NGIQ-BR-00000054,NGIQ-BR-00000315,0.437576,NGIQ-BR-00000317,0.530909,0.968485,0.031515,PASS
NGIQ-BR-00000059,NGIQ-BR-00000278,0.581366,NGIQ-BR-00000285,0.418634,1.0,,PASS
NGIQ-BR-00000060,NGIQ-BR-00000309,0.379845,NGIQ-BR-00000316,0.620155,1.0,,PASS
NGIQ-BR-00000063,NGIQ-BR-00000280,0.569787,NGIQ-BR-00000278,0.237274,0.807061,0.041051,PASS
NGIQ-BR-00000064,NGIQ-BR-00000311,0.563107,NGIQ-BR-00000309,0.11053,0.673637,0.050784,PASS
NGIQ-BR-00000067,NGIQ-BR-00000278,0.506073,NGIQ-BR-00000285,0.391363,0.897436,0.102564,PASS
NGIQ-BR-00000068,NGIQ-BR-00000309,0.495957,NGIQ-BR-00000316,0.401617,0.897574,0.102426,PASS
NGIQ-BR-00000087,NGIQ-BR-00000296,0.570241,NGIQ-BR-00000298,0.429322,0.999563,0.000438,PASS
NGIQ-BR-00000088,NGIQ-BR-00000327,0.675108,NGIQ-BR-00000329,0.304957,0.980065,0.019935,PASS
NGIQ-BR-00000181,NGIQ-BR-00000276,0.608768,NGIQ-BR-00000289,0.378825,0.987593,0.012407,PASS
NGIQ-BR-00000182,NGIQ-BR-00000307,0.616038,NGIQ-BR-00000320,0.346226,0.962264,0.037736,PASS
NGIQ-BR-00000183,NGIQ-BR-00000269,0.57441,NGIQ-BR-00000289,0.372958,0.947368,0.052632,PASS
NGIQ-BR-00000184,NGIQ-BR-00000300,0.474679,NGIQ-BR-00000320,0.251182,0.725861,0.274139,PASS
NGIQ-BR-00000189,NGIQ-BR-00000269,0.454209,NGIQ-BR-00000289,0.296022,0.750231,0.249769,PASS
NGIQ-BR-00000190,NGIQ-BR-00000300,0.489766,NGIQ-BR-00000320,0.428363,0.918129,0.081871,PASS
