candidate_id,source_entity_id,target_entity_id,mapping_relation,decision_fidelity_status,target_identity_status,hemisphere_status,coverage_status,method_status,lifecycle_status,provenance_status,review_result
G3G1-STAGE-1BC537F9955D7AF43E82,NGIQ-BR-00000001,NGIQ-BR-00000294,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-3726667C247AE19F62FD,NGIQ-BR-00000002,NGIQ-BR-00000325,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-1772D40A7229B3196E11,NGIQ-BR-00000021,NGIQ-BR-00000294,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-50203553BAA5AE0FC4AF,NGIQ-BR-00000022,NGIQ-BR-00000325,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-0C5D9CD7EFF5753C7472,NGIQ-BR-00000023,NGIQ-BR-00000294,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-9000E285C26056E5B50F,NGIQ-BR-00000024,NGIQ-BR-00000325,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-407C25B1A2E766A8498D,NGIQ-BR-00000025,NGIQ-BR-00000294,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-AB8C3A9589590BA43ECF,NGIQ-BR-00000026,NGIQ-BR-00000325,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-AD42037366BAE8B47AEA,NGIQ-BR-00000027,NGIQ-BR-00000294,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-9FB60D529F1CF9602155,NGIQ-BR-00000028,NGIQ-BR-00000325,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-571FD4B93C8601B47873,NGIQ-BR-00000029,NGIQ-BR-00000294,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-28F0BCFC40073B97CD62,NGIQ-BR-00000030,NGIQ-BR-00000325,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-B2081FFDD0F0F28A591C,NGIQ-BR-00000031,NGIQ-BR-00000294,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-A6ED8194B5D54C0E3EAD,NGIQ-BR-00000032,NGIQ-BR-00000325,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-E5B98FF9FD43C2B54768,NGIQ-BR-00000033,NGIQ-BR-00000293,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-3C58C172620C87748043,NGIQ-BR-00000034,NGIQ-BR-00000324,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-72E76FDE05B74AA2206C,NGIQ-BR-00000035,NGIQ-BR-00000270,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-C1C6FBF5045714DD1839,NGIQ-BR-00000036,NGIQ-BR-00000301,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-C7CB33E9DBC2EEDEB143,NGIQ-BR-00000037,NGIQ-BR-00000293,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-7A411A063BF00F98218B,NGIQ-BR-00000038,NGIQ-BR-00000324,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-F7DBD87A59B61D8D61BE,NGIQ-BR-00000039,NGIQ-BR-00000293,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-C6CB348F53DA7CCD86DB,NGIQ-BR-00000040,NGIQ-BR-00000324,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
