candidate_id,source_region_pk,source_entity_id,source_name,source_granularity_level,target_region_pk,target_entity_id,target_name,target_granularity_level,mapping_relation,mapping_method,source_coverage_ratio,target_coverage_ratio,spatial_overlap_ratio,mapping_confidence,scientific_rollup_eligible,proposed_record_status,proposed_review_status,proposed_rollup_eligible,proposed_is_primary_rollup,scientific_source_pk,provenance_json
G3G1-STAGE-1BC537F9955D7AF43E82,3,NGIQ-BR-00000001,"Left Superior frontal gyrus, Brainnetome 7_1",G3_MESO_FINE,787,NGIQ-BR-00000294,Left Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,1.0,0.104442,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 1, ""official_code"": ""SFG_L_7_1"", ""modified_name"": ""medial area 8""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 1.0, ""target_coverage_ratio"": 0.104442}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
G3G1-STAGE-3726667C247AE19F62FD,6,NGIQ-BR-00000002,"Right Superior frontal gyrus, Brainnetome 7_1",G3_MESO_FINE,818,NGIQ-BR-00000325,Right Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,1.0,0.156087,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 2, ""official_code"": ""SFG_R_7_1"", ""modified_name"": ""medial area 8""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 1.0, ""target_coverage_ratio"": 0.156087}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
G3G1-STAGE-1772D40A7229B3196E11,63,NGIQ-BR-00000021,"Left Superior frontal gyrus, Brainnetome 7_2",G3_MESO_FINE,787,NGIQ-BR-00000294,Left Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,0.972441,0.162246,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 3, ""official_code"": ""SFG_L_7_2"", ""modified_name"": ""dorsolateral area 8""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 0.972441, ""target_coverage_ratio"": 0.162246}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
G3G1-STAGE-50203553BAA5AE0FC4AF,66,NGIQ-BR-00000022,"Right Superior frontal gyrus, Brainnetome 7_2",G3_MESO_FINE,818,NGIQ-BR-00000325,Right Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,0.983711,0.116939,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 4, ""official_code"": ""SFG_R_7_2"", ""modified_name"": ""dorsolateral area 8""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 0.983711, ""target_coverage_ratio"": 0.116939}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
G3G1-STAGE-0C5D9CD7EFF5753C7472,69,NGIQ-BR-00000023,"Left Superior frontal gyrus, Brainnetome 7_3",G3_MESO_FINE,787,NGIQ-BR-00000294,Left Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,0.975456,0.114213,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 5, ""official_code"": ""SFG_L_7_3"", ""modified_name"": ""lateral area 9""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 0.975456, ""target_coverage_ratio"": 0.114213}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
G3G1-STAGE-9000E285C26056E5B50F,72,NGIQ-BR-00000024,"Right Superior frontal gyrus, Brainnetome 7_3",G3_MESO_FINE,818,NGIQ-BR-00000325,Right Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,0.970336,0.123927,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 6, ""official_code"": ""SFG_R_7_3"", ""modified_name"": ""lateral area 9""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 0.970336, ""target_coverage_ratio"": 0.123927}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
G3G1-STAGE-407C25B1A2E766A8498D,75,NGIQ-BR-00000025,"Left Superior frontal gyrus, Brainnetome 7_4",G3_MESO_FINE,787,NGIQ-BR-00000294,Left Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,0.998672,0.123491,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 7, ""official_code"": ""SFG_L_7_4"", ""modified_name"": ""dorsolateral area 6""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 0.998672, ""target_coverage_ratio"": 0.123491}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
G3G1-STAGE-AB8C3A9589590BA43ECF,78,NGIQ-BR-00000026,"Right Superior frontal gyrus, Brainnetome 7_4",G3_MESO_FINE,818,NGIQ-BR-00000325,Right Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,0.995425,0.12822,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 8, ""official_code"": ""SFG_R_7_4"", ""modified_name"": ""dorsolateral area 6""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 0.995425, ""target_coverage_ratio"": 0.12822}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
G3G1-STAGE-AD42037366BAE8B47AEA,81,NGIQ-BR-00000027,"Left Superior frontal gyrus, Brainnetome 7_5",G3_MESO_FINE,787,NGIQ-BR-00000294,Left Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,0.95671,0.163314,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 9, ""official_code"": ""SFG_L_7_5"", ""modified_name"": ""medial area 6""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 0.95671, ""target_coverage_ratio"": 0.163314}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
G3G1-STAGE-9FB60D529F1CF9602155,84,NGIQ-BR-00000028,"Right Superior frontal gyrus, Brainnetome 7_5",G3_MESO_FINE,818,NGIQ-BR-00000325,Right Superior Frontal Gyrus,G1_MACRO,contained_in,authoritative_anatomical_mapping,0.937118,0.129231,,,TRUE,proposed,pending,FALSE,FALSE,1,"{""decision_phase"": ""SEED_CONTAINMENT_FROZEN"", ""effective_scientific_decision"": ""APPROVE_CONTAINED_IN"", ""decision_origin"": ""SEED_CONTAINMENT_CONFIRMED"", ""brainnetome_parcel_identity"": {""parcel_id"": 10, ""official_code"": ""SFG_R_7_5"", ""modified_name"": ""medial area 6""}, ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""surface_overlap_evidence"": {""source_coverage_ratio"": 0.937118, ""target_coverage_ratio"": 0.129231}, ""bilateral_evidence"": ""n/a"", ""source_frozen_artifact"": ""single_seed_surface_overlap_validation.csv"", ""decision_source_raw"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""decision_source_normalized"": ""Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1)"", ""human_reviewed"": false, ""expert_approved"": false}"
