pair_id,family,modified_name,seed_dk_constituents,left_parcel_id,left_g3,left_authority,left_top1_dk,left_top1_g1,left_top1_cov,left_top2_dk,left_top2_cov,left_margin,left_non_g1,left_n_dk,right_parcel_id,right_g3,right_authority,right_top1_dk,right_top1_g1,right_top1_cov,right_top2_dk,right_top2_cov,right_margin,right_non_g1,right_n_dk,bilateral_status,review_tags,special_case
MFG_7_1,MFG,dorsal area 9/46,Anterior and Posterior part of Middle Frontal Gyrus,15,NGIQ-BR-00000033,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,Left Rostral Middle Frontal Cortex,0.953149,superiorfrontal,0.046851,0.906299,0.0,2,16,NGIQ-BR-00000034,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,Right Rostral Middle Frontal Cortex,0.820144,caudalmiddlefrontal,0.131552,0.688592,0.0,3,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,no
MFG_7_2,MFG,inferior frontal junction,Anterior and Posterior part of Middle Frontal Gyrus,17,NGIQ-BR-00000035,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,Left Caudal Middle Frontal Gyrus,0.767627,rostralmiddlefrontal,0.22195,0.545677,0.0,3,18,NGIQ-BR-00000036,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,Right Caudal Middle Frontal Gyrus,0.942857,rostralmiddlefrontal,0.043206,0.899652,0.0,3,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,no
MFG_7_3,MFG,area 46,Anterior and Posterior part of Middle Frontal Gyrus,19,NGIQ-BR-00000037,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,Left Rostral Middle Frontal Cortex,0.993798,superiorfrontal,0.006202,0.987597,0.0,2,20,NGIQ-BR-00000038,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,Right Rostral Middle Frontal Cortex,1.0,,0.0,1.0,0.0,1,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
MFG_7_4,MFG,ventral area 9/46,Anterior and Posterior part of Middle Frontal Gyrus,21,NGIQ-BR-00000039,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,Left Rostral Middle Frontal Cortex,1.0,,0.0,1.0,0.0,1,22,NGIQ-BR-00000040,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,Right Rostral Middle Frontal Cortex,0.975517,parstriangularis,0.012514,0.963003,0.0,3,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
MFG_7_5,MFG,ventrolateral area 8,Anterior and Posterior part of Middle Frontal Gyrus,23,NGIQ-BR-00000041,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,Left Caudal Middle Frontal Gyrus,0.642631,rostralmiddlefrontal,0.350411,0.29222,0.0,3,24,NGIQ-BR-00000042,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,Right Rostral Middle Frontal Cortex,0.637713,caudalmiddlefrontal,0.362287,0.275427,0.0,2,DIFFERENT_TOP1_TARGET,BILATERAL_TARGET_DISAGREEMENT;BOUNDARY_LIKE,no
MFG_7_6,MFG,ventrolateral area 6,Anterior and Posterior part of Middle Frontal Gyrus,25,NGIQ-BR-00000043,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,Left Caudal Middle Frontal Gyrus,0.964172,superiorfrontal,0.029459,0.934713,0.0,3,26,NGIQ-BR-00000044,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,Right Caudal Middle Frontal Gyrus,0.958541,superiorfrontal,0.04063,0.91791,0.0,3,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
MFG_7_7,MFG,lateral area 10,Anterior and Posterior part of Middle Frontal Gyrus,27,NGIQ-BR-00000045,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,Left Rostral Middle Frontal Cortex,0.932464,superiorfrontal,0.031466,0.900998,0.002302,5,28,NGIQ-BR-00000046,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,Right Rostral Middle Frontal Cortex,0.93571,parsorbitalis,0.028644,0.907066,0.0,4,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE;NON_G1_COMPONENT_PRESENT,no
IFG_6_1,IFG,dorsal area 44,Pars Opercularis; Pars Triangularis,29,NGIQ-BR-00000003,PENDING_HUMAN_REVIEW,parsopercularis,"Left Inferior Frontal Gyrus, Pars Opercularis",0.96732,caudalmiddlefrontal,0.03268,0.934641,0.0,2,30,NGIQ-BR-00000004,PENDING_HUMAN_REVIEW,parsopercularis,"Right Inferior Frontal Gyrus, Pars Opercularis",0.72323,rostralmiddlefrontal,0.241379,0.481851,0.0,4,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,no
IFG_6_2,IFG,inferior frontal sulcus,Pars Opercularis; Pars Triangularis,31,NGIQ-BR-00000047,NO_G1_ROLLUP,parsopercularis,"Left Inferior Frontal Gyrus, Pars Opercularis",0.459574,parstriangularis,0.363121,0.096454,0.0,3,32,NGIQ-BR-00000048,NO_G1_ROLLUP,parstriangularis,"Right Inferior Frontal Gyrus, Pars Triangularis",0.726351,rostralmiddlefrontal,0.165541,0.560811,0.0,3,DIFFERENT_TOP1_TARGET,BILATERAL_TARGET_DISAGREEMENT;BOUNDARY_LIKE,no
IFG_6_3,IFG,caudal area 45,Pars Opercularis; Pars Triangularis,33,NGIQ-BR-00000049,PENDING_HUMAN_REVIEW,parsopercularis,"Left Inferior Frontal Gyrus, Pars Opercularis",0.68541,parstriangularis,0.31459,0.370821,0.0,2,34,NGIQ-BR-00000050,PENDING_HUMAN_REVIEW,parsopercularis,"Right Inferior Frontal Gyrus, Pars Opercularis",0.516605,parstriangularis,0.483395,0.03321,0.0,2,ASYMMETRIC_COVERAGE,BOUNDARY_LIKE,no
IFG_6_4,IFG,rostral area 45,Pars Opercularis; Pars Triangularis,35,NGIQ-BR-00000051,PENDING_HUMAN_REVIEW,parstriangularis,"Left Inferior Frontal Gyrus, Pars Triangularis",0.92587,rostralmiddlefrontal,0.07413,0.85174,0.0,2,36,NGIQ-BR-00000052,PENDING_HUMAN_REVIEW,parstriangularis,"Right Inferior Frontal Gyrus, Pars Triangularis",1.0,,0.0,1.0,0.0,1,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
IFG_6_5,IFG,opercular area 44,Pars Opercularis; Pars Triangularis,37,NGIQ-BR-00000053,PENDING_HUMAN_REVIEW,parstriangularis,"Left Inferior Frontal Gyrus, Pars Triangularis",0.583855,parsopercularis,0.399443,0.184412,0.0,4,38,NGIQ-BR-00000054,PENDING_HUMAN_REVIEW,parstriangularis,"Right Inferior Frontal Gyrus, Pars Triangularis",0.530909,parsopercularis,0.437576,0.093333,0.0,5,SAME_TOP1_TARGET,BOUNDARY_LIKE,no
IFG_6_6,IFG,ventral area 44,Pars Opercularis; Pars Triangularis,39,NGIQ-BR-00000055,PENDING_HUMAN_REVIEW,parsopercularis,"Left Inferior Frontal Gyrus, Pars Opercularis",0.992296,precentral,0.007704,0.984592,0.0,2,40,NGIQ-BR-00000056,PENDING_HUMAN_REVIEW,parsopercularis,"Right Inferior Frontal Gyrus, Pars Opercularis",0.886726,precentral,0.113274,0.773451,0.0,2,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,no
OrG_6_1,OrG,medial area 14,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,41,NGIQ-BR-00000057,PENDING_HUMAN_REVIEW,medialorbitofrontal,Left Medial Orbitofrontal Cortex,0.808187,frontalpole,0.098246,0.715789,0.098246,4,42,NGIQ-BR-00000058,PENDING_HUMAN_REVIEW,medialorbitofrontal,Right Medial Orbitofrontal Cortex,0.895669,rostralanteriorcingulate,0.058071,0.837598,0.0,3,SAME_TOP1_TARGET,MID_SPATIAL_CONCORDANCE;NON_G1_COMPONENT_PRESENT,no
OrG_6_2,OrG,orbital area 12/47,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,43,NGIQ-BR-00000059,PENDING_HUMAN_REVIEW,lateralorbitofrontal,Left Lateral Orbitofrontal Cortex,0.581366,parsorbitalis,0.418634,0.162733,0.0,2,44,NGIQ-BR-00000060,PENDING_HUMAN_REVIEW,parsorbitalis,"Right Inferior Frontal Gyrus, Pars Orbitalis",0.620155,lateralorbitofrontal,0.379845,0.24031,0.0,2,DIFFERENT_TOP1_TARGET,BILATERAL_TARGET_DISAGREEMENT;BOUNDARY_LIKE,no
OrG_6_3,OrG,lateral area 11,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,45,NGIQ-BR-00000061,PENDING_HUMAN_REVIEW,lateralorbitofrontal,Left Lateral Orbitofrontal Cortex,0.99013,parsorbitalis,0.00987,0.980259,0.0,2,46,NGIQ-BR-00000062,PENDING_HUMAN_REVIEW,lateralorbitofrontal,Right Lateral Orbitofrontal Cortex,0.956455,insula,0.024446,0.932009,0.0,4,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
OrG_6_4,OrG,medial area 11,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,47,NGIQ-BR-00000063,PENDING_HUMAN_REVIEW,medialorbitofrontal,Left Medial Orbitofrontal Cortex,0.569787,lateralorbitofrontal,0.237274,0.332512,0.151888,4,48,NGIQ-BR-00000064,PENDING_HUMAN_REVIEW,medialorbitofrontal,Right Medial Orbitofrontal Cortex,0.563107,frontalpole,0.275579,0.452577,0.275579,5,SAME_TOP1_TARGET,BOUNDARY_LIKE;NON_G1_COMPONENT_PRESENT,no
OrG_6_5,OrG,area 13,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,49,NGIQ-BR-00000065,PENDING_HUMAN_REVIEW,medialorbitofrontal,Left Medial Orbitofrontal Cortex,0.60663,lateralorbitofrontal,0.357249,0.249381,0.0,4,50,NGIQ-BR-00000066,PENDING_HUMAN_REVIEW,medialorbitofrontal,Right Medial Orbitofrontal Cortex,0.569756,lateralorbitofrontal,0.403259,0.166497,0.0,4,SAME_TOP1_TARGET,BOUNDARY_LIKE,no
OrG_6_6,OrG,lateral area 12/47,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,51,NGIQ-BR-00000067,PENDING_HUMAN_REVIEW,lateralorbitofrontal,Left Lateral Orbitofrontal Cortex,0.506073,parsorbitalis,0.391363,0.11471,0.0,4,52,NGIQ-BR-00000068,PENDING_HUMAN_REVIEW,lateralorbitofrontal,Right Lateral Orbitofrontal Cortex,0.495957,parsorbitalis,0.401617,0.09434,0.0,5,SAME_TOP1_TARGET,BOUNDARY_LIKE,no
