hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_unlabeled_vertex_count,dk_unlabeled_ratio,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top3_dk_label,top3_dk_source_coverage,top1_minus_top2_margin,top1_g1_entity_id,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio,number_of_overlapping_dk_regions,coverage_sum_error
left,NGIQ-BR-00000001,1,SFG_L_7_1,medial area 8,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1272,0,0.0,superiorfrontal,1.0,,0,,0,1.0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,1.0,0,0.0,1,0.0
left,NGIQ-BR-00000021,3,SFG_L_7_2,dorsolateral area 8,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2032,0,0.0,superiorfrontal,0.972441,caudalmiddlefrontal,0.01378,rostralmiddlefrontal,0.01378,0.958661,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.972441,0,0.0,3,0.0
left,NGIQ-BR-00000023,5,SFG_L_7_3,lateral area 9,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1426,0,0.0,superiorfrontal,0.975456,rostralmiddlefrontal,0.024544,,0,0.950912,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.975456,0,0.0,2,0.0
left,NGIQ-BR-00000025,7,SFG_L_7_4,dorsolateral area 6,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1506,0,0.0,superiorfrontal,0.998672,precentral,0.001328,,0,0.997344,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.998672,0,0.0,2,0.0
left,NGIQ-BR-00000027,9,SFG_L_7_5,medial area 6,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2079,0,0.0,superiorfrontal,0.95671,paracentral,0.033189,posteriorcingulate,0.010101,0.923521,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.95671,0,0.0,3,0.0
left,NGIQ-BR-00000029,11,SFG_L_7_6,medial area 9,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1160,0,0.0,superiorfrontal,1.0,,0,,0,1.0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,1.0,0,0.0,1,0.0
left,NGIQ-BR-00000031,13,SFG_L_7_7,medial area 10,SFG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1676,0,0.0,superiorfrontal,1.0,,0,,0,1.0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,1.0,0,0.0,1,0.0
left,NGIQ-BR-00000033,15,MFG_L_7_1,dorsal area 9/46,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1921,0,0.0,rostralmiddlefrontal,0.953149,superiorfrontal,0.046851,,0,0.906299,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,0.953149,0,0.0,2,0.0
left,NGIQ-BR-00000035,17,MFG_L_7_2,inferior frontal junction,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1631,0,0.0,caudalmiddlefrontal,0.767627,rostralmiddlefrontal,0.22195,parsopercularis,0.010423,0.545677,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,0.767627,0,0.0,3,0.0
left,NGIQ-BR-00000037,19,MFG_L_7_3,area 46,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1290,0,0.0,rostralmiddlefrontal,0.993798,superiorfrontal,0.006202,,0,0.987597,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,0.993798,0,0.0,2,0.0
