canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,spatial_evidence_status,pp_top1_g3,pp_top1_name,pp_top1_g4_weighted,pp_top1_joint_mass,hard_top1_g3,hard_top1_coverage,hard_top2_coverage,hard_top1_top2_margin,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,scientific_decision,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,review_status
NGIQ-BR-00000749,"VLP (Thalamus, ventral lateral posterior Nucleus) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VLP_THALAMUS_VENTRAL_LATERAL_POSTERIOR_NUCLEUS,VLP_THALAMUS_VENTRAL_LATERAL_POSTERIOR_NUCLEUS_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000234,Tha_R_8_2,0.34475767,261.56310907,NGIQ-BR-00000246,0.38299621,0.25338754,0.12960867,0.99535102,0.00464898,4.202,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000769,"CL (Thalamus, anterior intralaminar nuclei) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI,CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000232,Tha_R_8_1,0.21792044,289.53716065,NGIQ-BR-00000246,0.31665346,0.20239447,0.11425899,0.98728034,0.01271966,6.3978,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000770,"CL (Thalamus, anterior intralaminar nuclei) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI,CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000020,Tha_L_8_1,0.1955436,292.43546811,NGIQ-BR-00000245,0.24013596,0.21649375,0.02364221,0.97925325,0.02074675,6.5399,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000509,Area MFG1 (MFG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG1_MFG,AREA_MFG1_MFG_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000038,MFG_R_7_3,0.38623266,430.26541378,NGIQ-BR-00000040,0.45521414,0.35476732,0.10044683,0.9779447,0.0220553,2.8732,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000756,"VA (Thalamus, ventral anterior Nucleus (ventral)) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VA_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_VENTRAL,VA_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_VENTRAL_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000020,Tha_L_8_1,0.27415081,247.96690278,NGIQ-BR-00000245,0.35286611,0.29399944,0.05886667,0.97317255,0.02682745,5.1479,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000609,"Area TPJ (STG, SMG) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TPJ_STG_SMG,AREA_TPJ_STG_SMG_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000086,STG_R_6_2,0.32123547,560.3445733,NGIQ-BR-00000154,0.39794889,0.27920349,0.1187454,0.97101676,0.02898324,3.7346,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000612,"Area hOc2 (V2, 18) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC2_V2_18,AREA_HOC2_V2_18_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000197,MVOcC_L_5_3,0.16577743,1177.88651316,NGIQ-BR-00000207,0.1956661,0.1575317,0.03813441,0.97009354,0.02990646,8.2233,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000549,Area Id2 (Insula) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID2_INSULA,AREA_ID2_INSULA_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000014,INS_R_6_1,0.43854996,217.11110462,NGIQ-BR-00000178,0.43190711,0.42425928,0.00764783,0.96921434,0.03078566,2.9961,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000723,"PUm (Thalamus, medial pulvinar) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PUM_THALAMUS_MEDIAL_PULVINAR,PUM_THALAMUS_MEDIAL_PULVINAR_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000240,Tha_R_8_5,0.36437663,139.70366446,NGIQ-BR-00000242,0.47453215,0.41290033,0.06163181,0.96875411,0.03124589,2.7194,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000611,"Area hOc2 (V2, 18) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC2_V2_18,AREA_HOC2_V2_18_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000196,MVOcC_R_5_2,0.16568421,1383.34986406,NGIQ-BR-00000208,0.16253974,0.15674782,0.00579192,0.9574574,0.0425426,8.1174,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
