canonical_g4_id,canonical_g4_name,hemisphere,spatial_asset_file,owner_review_status,rollup_allowed_in_revision,target_canonical_g3_id,target_g3_official_name,target_g3_parcel_code,target_g3_hemisphere,target_g3_cyto_name,hard_top1_coverage,pp_top1_g4_weighted,decision_policy_version
NGIQ-BR-00000335,"AcbM (Ventral Striatum, Medial Accumbens) right",right,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000225,Basal ganglia,BG_R_6_3,right,nucleus accumbens,0.92443945,0.78932556,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000337,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000225,Basal ganglia,BG_R_6_3,right,nucleus accumbens,0.90645685,0.7705297,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000338,"AcbL (Ventral Striatum, Lateral Accumbens) left",left,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000224,Basal ganglia,BG_L_6_3,left,nucleus accumbens,0.84001393,0.6224008,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000370,VTM (Amygdala) left,left,VTM_AMYGDALA_LEFT.nii.gz,CONTAINED_BOUNDARY_REVIEW,FALSE,NGIQ-BR-00000017,Hippocampus,Hipp_L_2_1,left,rostral hippocampus,0.827706,0.47957675,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000413,Area PFcm (IPL) right,right,AREA_PFCM_IPL_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000154,Inferior parietal lobule,IPL_R_6_6,right,rostroventral area 40(PFop),0.89002508,0.81092418,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000465,Area Fo3 (OFC) right,right,AREA_FO3_OFC_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000062,Orbital gyrus,OrG_R_6_3,right,lateral area 11,0.85846788,0.69123894,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000467,Area Fo2 (OFC) right,right,AREA_FO2_OFC_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000066,Orbital gyrus,OrG_R_6_5,right,area 13,0.83293015,0.67015851,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000468,Area Fo2 (OFC) left,left,AREA_FO2_OFC_LEFT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000065,Orbital gyrus,OrG_L_6_5,left,area 13,0.81905615,0.65844168,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000494,Area IFS3 (IFS) left,left,AREA_IFS3_IFS_LEFT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000035,Middle frontal gyrus,MFG_L_7_2,left,inferior frontal junction,0.90096288,0.54207351,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000512,Area SFS2 (SFS) left,left,AREA_SFS2_SFS_LEFT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000033,Middle frontal gyrus,MFG_L_7_1,left,dorsal area 9/46,0.90920531,0.61372461,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000515,Area SFS1 (SFS) right,right,AREA_SFS1_SFS_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000038,Middle frontal gyrus,MFG_R_7_3,right,area 46,0.82218357,0.57165917,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000520,"Area MFG5 (MFG, IFG) left",left,AREA_MFG5_MFG_IFG_LEFT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000039,Middle frontal gyrus,MFG_L_7_4,left,ventral area 9/46,0.90547996,0.68579409,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000521,Area SFG2 (SFG) right,right,AREA_SFG2_SFG_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000024,Superior frontal gyrus,SFG_R_7_3,right,lateral area 9,0.8726048,0.65890706,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000522,Area SFG2 (SFG) left,left,AREA_SFG2_SFG_LEFT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000023,Superior frontal gyrus,SFG_L_7_3,left,lateral area 9,0.88076116,0.63533025,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000547,Area Ia3 (Insula) right,right,AREA_IA3_INSULA_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000176,Insular gyrus,INS_R_6_4,right,ventral dysgranular and granular insula,0.89818472,0.60432622,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000548,Area Ia3 (Insula) left,left,AREA_IA3_INSULA_LEFT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000175,Insular gyrus,INS_L_6_4,left,ventral dysgranular and granular insula,0.87929888,0.68927763,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000583,Area Te 1.2 (HESCHL) right,right,AREA_TE_1_2_HESCHL_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000088,Superior temporal gyrus,STG_R_6_3,right,TE1.0 and TE1.2,0.94972983,0.75180027,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000591,Area Ph3 (PhG) right,right,AREA_PH3_PHG_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000200,MedioVentral occipital cortex,MVOcC_R_5_4,right,rostral lingual gyrus,0.88043939,0.76899014,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000597,Area TeI (STG) right,right,AREA_TEI_STG_RIGHT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000088,Superior temporal gyrus,STG_R_6_3,right,TE1.0 and TE1.2,0.81432878,0.67939814,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000599,Area FG5 (FusG) right,right,AREA_FG5_FUSG_RIGHT.nii.gz,CONTAINED_BOUNDARY_REVIEW,FALSE,NGIQ-BR-00000116,Fusiform gyrus,FuG_R_3_1,right,rostroventral area 20,0.84679603,0.52176997,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000628,Area hOc5 (LOC) left,left,AREA_HOC5_LOC_LEFT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000205,Lateral occipital cortex,LOcC_L_4_2,left,area V5/MT+,0.87319857,0.76791711,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000664,HATA (Hippocampus) left,left,HATA_HIPPOCAMPUS_LEFT.nii.gz,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,PENDING,NGIQ-BR-00000017,Hippocampus,Hipp_L_2_1,left,rostral hippocampus,0.87425324,0.84393187,G4_G3_SCIENTIFIC_POLICY_V1
