canonical_g4_id,canonical_g4_name,hemisphere,pp_top1_g3,pp_top1_name,pp_top2_g3,hard_top1_g3,hard_top2_g3,hard_top1_coverage,hard_top2_coverage,hard_total_bna_coverage,effective_target_count,same_two_target_set,selected_target_count,selected_cumulative_coverage,selected_targets,revised_stratum,owner_action,decision_policy_version
NGIQ-BR-00000340,"FuP (Ventral Striatum, Fundus of Putamen) left",left,NGIQ-BR-00000019,Basal ganglia,NGIQ-BR-00000226,NGIQ-BR-00000224,NGIQ-BR-00000226,0.3161483,0.3095543,0.94765142,3.8733,False,3,0.8567,NGIQ-BR-00000224;NGIQ-BR-00000226;NGIQ-BR-00000019,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000341,Ch 4 (Basal Forebrain) right,right,NGIQ-BR-00000218,Amygdala,NGIQ-BR-00000225,NGIQ-BR-00000225,NGIQ-BR-00000218,0.20614924,0.11364418,0.37819518,3.1083,True,1,0.2061,NGIQ-BR-00000225,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000387,Area 5M (SPL) right,right,NGIQ-BR-00000082,Paracentral lobule,NGIQ-BR-00000158,NGIQ-BR-00000158,NGIQ-BR-00000082,0.38932568,0.37157175,0.91205175,3.5661,True,2,0.7609,NGIQ-BR-00000158;NGIQ-BR-00000082,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000390,Area 7P (SPL) left,left,NGIQ-BR-00000155,Precuneus,NGIQ-BR-00000137,NGIQ-BR-00000137,NGIQ-BR-00000155,0.36567568,0.31895616,0.94806151,4.4137,True,2,0.6846,NGIQ-BR-00000137;NGIQ-BR-00000155,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000392,Area 5Ci (SPL) left,left,NGIQ-BR-00000081,Paracentral lobule,NGIQ-BR-00000191,NGIQ-BR-00000191,NGIQ-BR-00000081,0.47368087,0.2244769,0.8467487,2.7548,True,2,0.6982,NGIQ-BR-00000191;NGIQ-BR-00000081,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000438,Area hIP5 (IPS) left,left,NGIQ-BR-00000011,Inferior parietal lobule,NGIQ-BR-00000213,NGIQ-BR-00000213,NGIQ-BR-00000011,0.39297599,0.36967486,0.87857008,2.954,True,2,0.7627,NGIQ-BR-00000213;NGIQ-BR-00000011,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000445,Area 6v2 (PreCG) right,right,NGIQ-BR-00000036,Middle frontal gyrus,NGIQ-BR-00000080,NGIQ-BR-00000080,NGIQ-BR-00000036,0.39825486,0.29576176,0.84735569,3.6882,True,2,0.694,NGIQ-BR-00000080;NGIQ-BR-00000036,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000449,Area 6v1 (PreCG) right,right,NGIQ-BR-00000044,Middle frontal gyrus,NGIQ-BR-00000072,NGIQ-BR-00000072,NGIQ-BR-00000044,0.36741086,0.36382204,0.89480519,3.5677,True,2,0.7312,NGIQ-BR-00000072;NGIQ-BR-00000044,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000480,Area Op7 (Frontal Operculum) left,left,NGIQ-BR-00000053,Inferior frontal gyrus,NGIQ-BR-00000055,NGIQ-BR-00000179,NGIQ-BR-00000053,0.51957615,0.27995504,0.86283741,2.5543,False,2,0.7995,NGIQ-BR-00000179;NGIQ-BR-00000053,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000485,Area IFS4 (IFS) right,right,NGIQ-BR-00000036,Middle frontal gyrus,NGIQ-BR-00000042,NGIQ-BR-00000004,NGIQ-BR-00000036,0.34043907,0.22992131,0.92755129,4.1856,False,3,0.7975,NGIQ-BR-00000004;NGIQ-BR-00000036;NGIQ-BR-00000042,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000487,Area IFS2 (IFS) right,right,NGIQ-BR-00000040,Middle frontal gyrus,NGIQ-BR-00000004,NGIQ-BR-00000004,NGIQ-BR-00000040,0.3325925,0.23682061,0.91598272,4.2799,True,3,0.7451,NGIQ-BR-00000004;NGIQ-BR-00000040;NGIQ-BR-00000042,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000503,Area 8v2 (MFG) right,right,NGIQ-BR-00000034,Middle frontal gyrus,NGIQ-BR-00000042,NGIQ-BR-00000042,NGIQ-BR-00000034,0.49959558,0.38816034,0.89456441,2.0722,True,2,0.8878,NGIQ-BR-00000042;NGIQ-BR-00000034,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000509,Area MFG1 (MFG) right,right,NGIQ-BR-00000038,Middle frontal gyrus,NGIQ-BR-00000034,NGIQ-BR-00000040,NGIQ-BR-00000038,0.45521414,0.35476732,0.9779447,2.8732,False,3,0.9712,NGIQ-BR-00000040;NGIQ-BR-00000038;NGIQ-BR-00000034,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000513,Area 6d3 (SFS) right,right,NGIQ-BR-00000026,Superior frontal gyrus,NGIQ-BR-00000044,NGIQ-BR-00000044,NGIQ-BR-00000026,0.34540716,0.28178682,0.87413209,3.5162,True,3,0.8056,NGIQ-BR-00000044;NGIQ-BR-00000026;NGIQ-BR-00000072,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000518,Area SFG3 (SFG) left,left,NGIQ-BR-00000037,Middle frontal gyrus,NGIQ-BR-00000033,NGIQ-BR-00000033,NGIQ-BR-00000037,0.27755561,0.27447656,0.81791972,3.5218,True,3,0.7747,NGIQ-BR-00000033;NGIQ-BR-00000037;NGIQ-BR-00000023,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000549,Area Id2 (Insula) right,right,NGIQ-BR-00000014,Insular gyrus,NGIQ-BR-00000178,NGIQ-BR-00000178,NGIQ-BR-00000014,0.43190711,0.42425928,0.96921434,2.9961,True,2,0.8562,NGIQ-BR-00000178;NGIQ-BR-00000014,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000565,Area Id4 (Insula) right,right,NGIQ-BR-00000178,Insular gyrus,NGIQ-BR-00000180,NGIQ-BR-00000180,NGIQ-BR-00000178,0.4062847,0.34104387,0.87266002,3.1405,True,2,0.7473,NGIQ-BR-00000180;NGIQ-BR-00000178,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000571,Area STS1 (STS) right,right,NGIQ-BR-00000094,Superior temporal gyrus,NGIQ-BR-00000100,NGIQ-BR-00000100,NGIQ-BR-00000094,0.55727487,0.2435797,0.90895306,2.8749,True,2,0.8009,NGIQ-BR-00000100;NGIQ-BR-00000094,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000609,"Area TPJ (STG, SMG) right",right,NGIQ-BR-00000086,Superior temporal gyrus,NGIQ-BR-00000154,NGIQ-BR-00000154,NGIQ-BR-00000090,0.39794889,0.27920349,0.97101676,3.7346,False,3,0.9096,NGIQ-BR-00000154;NGIQ-BR-00000090;NGIQ-BR-00000086,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000611,"Area hOc2 (V2, 18) right",right,NGIQ-BR-00000196,MedioVentral occipital cortex,NGIQ-BR-00000198,NGIQ-BR-00000208,NGIQ-BR-00000196,0.16253974,0.15674782,0.9574574,8.1174,False,2,0.3193,NGIQ-BR-00000208;NGIQ-BR-00000196,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
