example_set,row_index,julich_asset_file,julich_region_name,julich_hemisphere,spatial_identity_status,pp_top1_g3_id,pp_top1_name,pp_top1_g4_weighted,hard_top1_g3_id,hard_top1_coverage,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,evidence_pattern
A_highest_hard_top1,266,AREA_TE_1_2_HESCHL_RIGHT.nii.gz,Area Te 1.2 (HESCHL) right,right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000088,STG_R_6_3,0.75180027,NGIQ-BR-00000088,0.94972983,0.98855984,0.01144016,1.2466,TRUE,SINGLE_TARGET_CONCENTRATED
A_highest_hard_top1,4,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT.nii.gz,"AcbM (Ventral Striatum, Medial Accumbens) right",right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000225,BG_R_6_3,0.78932556,NGIQ-BR-00000225,0.92443945,0.97882002,0.02117998,1.2497,TRUE,SINGLE_TARGET_CONCENTRATED
A_highest_hard_top1,253,AREA_SFS2_SFS_LEFT.nii.gz,Area SFS2 (SFS) left,left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000033,MFG_L_7_1,0.61372461,NGIQ-BR-00000033,0.90920531,0.98547208,0.01452792,1.3239,TRUE,SINGLE_TARGET_CONCENTRATED
A_highest_hard_top1,2,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000225,BG_R_6_3,0.7705297,NGIQ-BR-00000225,0.90645685,0.97860948,0.02139052,1.3679,TRUE,SINGLE_TARGET_CONCENTRATED
A_highest_hard_top1,187,AREA_MFG5_MFG_IFG_LEFT.nii.gz,"Area MFG5 (MFG, IFG) left",left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000039,MFG_L_7_4,0.68579409,NGIQ-BR-00000039,0.90547996,0.97474126,0.02525874,1.3157,TRUE,SINGLE_TARGET_CONCENTRATED
B_smallest_top1_top2_margin,371,SNC_MIDBRAIN_SUBSTANTIA_NIGRA_PARS_COMPACTA_LEFT.nii.gz,"SNC (Midbrain, Substantia Nigra pars compacta) left",left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000235,Tha_L_8_3,5.077e-05,NGIQ-BR-00000235,2.261e-05,4.499e-05,0.99995501,2.0,TRUE,LOW_BNA_COVERAGE
B_smallest_top1_top2_margin,373,SNR_MIDBRAIN_SUBSTANTIA_NIGRA_PARS_RETICULATA_LEFT.nii.gz,"SNR (Midbrain, Substantia Nigra pars reticulata) left",left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000235,Tha_L_8_3,0.00147463,NGIQ-BR-00000245,0.00206202,0.00341583,0.99658417,2.2954,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
B_smallest_top1_top2_margin,275,AREA_TPJ_STG_SMG_LEFT.nii.gz,"Area TPJ (STG, SMG) left",left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000085,STG_L_6_2,0.26443056,NGIQ-BR-00000085,0.25598701,0.91654299,0.08345701,4.7641,TRUE,DIFFUSE_ASSOCIATION
B_smallest_top1_top2_margin,247,AREA_SFG3_SFG_LEFT.nii.gz,Area SFG3 (SFG) left,left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000037,MFG_L_7_3,0.23705516,NGIQ-BR-00000033,0.27755561,0.81791972,0.18208028,3.5218,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
B_smallest_top1_top2_margin,115,AREA_HOC1_V1_17_CALCS_LEFT.nii.gz,"Area hOc1 (V1, 17, CalcS) left",left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000197,MVOcC_L_5_3,0.21436607,NGIQ-BR-00000197,0.23309793,0.91380008,0.08619992,5.6706,TRUE,DIFFUSE_ASSOCIATION
C_highest_uncovered,339,NDENTD_CEREBELLUM_DORSAL_DENTATE_NUCLEUS_LEFT.nii.gz,"Ndentd (Cerebellum, Dorsal Dentate Nucleus) left",left,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
C_highest_uncovered,340,NDENTD_CEREBELLUM_DORSAL_DENTATE_NUCLEUS_RIGHT.nii.gz,"Ndentd (Cerebellum, Dorsal Dentate Nucleus) right",right,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
C_highest_uncovered,341,NDENTV_CEREBELLUM_VENTRAL_DENTATE_NUCLEUS_LEFT.nii.gz,"Ndentv (Cerebellum, Ventral Dentate Nucleus) left",left,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
C_highest_uncovered,342,NDENTV_CEREBELLUM_VENTRAL_DENTATE_NUCLEUS_RIGHT.nii.gz,"Ndentv (Cerebellum, Ventral Dentate Nucleus) right",right,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
C_highest_uncovered,343,NFAST_CEREBELLUM_FASTIGIAL_NUCLEUS_LEFT.nii.gz,"Nfast (Cerebellum, Fastigial Nucleus) left",left,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
C_highest_uncovered,344,NFAST_CEREBELLUM_FASTIGIAL_NUCLEUS_RIGHT.nii.gz,"Nfast (Cerebellum, Fastigial Nucleus) right",right,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
C_highest_uncovered,345,NINTERP_CEREBELLUM_INTERPOSED_NUCLEUS_LEFT.nii.gz,"Ninterp (Cerebellum, Interposed Nucleus) left",left,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
C_highest_uncovered,346,NINTERP_CEREBELLUM_INTERPOSED_NUCLEUS_RIGHT.nii.gz,"Ninterp (Cerebellum, Interposed Nucleus) right",right,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
C_highest_uncovered,347,NRM_MIDBRAIN_NUCLEUS_RUBER_MAGNOCELLULAR_PART_LEFT.nii.gz,"NRm (Midbrain, Nucleus Ruber, magnocellular part) left",left,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
C_highest_uncovered,348,NRM_MIDBRAIN_NUCLEUS_RUBER_MAGNOCELLULAR_PART_RIGHT.nii.gz,"NRm (Midbrain, Nucleus Ruber, magnocellular part) right",right,ONE_TO_ONE_CANONICAL,,,,,,0.0,1.0,,NA,ZERO_BNA_ASSOCIATION
D_strongest_pp_hard_disagreement,311,FRONTAL_TO_OCCIPITAL_GAPMAP_LEFT.nii.gz,Frontal-to-Occipital (GapMap) left,left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000159,PCun_L_4_3,0.13863466,NGIQ-BR-00000161,0.13499942,0.82570934,0.17429066,13.2152,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
D_strongest_pp_hard_disagreement,381,TEMPORAL_TO_PARIETAL_GAPMAP_LEFT.nii.gz,Temporal-to-Parietal (GapMap) left,left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000007,MTG_L_4_1,0.07949266,NGIQ-BR-00000005,0.07416997,0.9206617,0.0793383,21.2742,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
D_strongest_pp_hard_disagreement,118,AREA_HOC2_V2_18_RIGHT.nii.gz,"Area hOc2 (V2, 18) right",right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000196,MVOcC_R_5_2,0.16568421,NGIQ-BR-00000208,0.16253974,0.9574574,0.0425426,8.1174,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
D_strongest_pp_hard_disagreement,48,AREA_6V2_PRECG_RIGHT.nii.gz,Area 6v2 (PreCG) right,right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000036,MFG_R_7_2,0.31153357,NGIQ-BR-00000080,0.39825486,0.84735569,0.15264431,3.6882,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
D_strongest_pp_hard_disagreement,256,AREA_STS1_STS_RIGHT.nii.gz,Area STS1 (STS) right,right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000094,STG_R_6_6,0.42759699,NGIQ-BR-00000100,0.55727487,0.90895306,0.09104694,2.8749,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
D_strongest_pp_hard_disagreement,117,AREA_HOC2_V2_18_LEFT.nii.gz,"Area hOc2 (V2, 18) left",left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000197,MVOcC_L_5_3,0.16577743,NGIQ-BR-00000207,0.1956661,0.97009354,0.02990646,8.2233,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
D_strongest_pp_hard_disagreement,46,AREA_6V1_PRECG_RIGHT.nii.gz,Area 6v1 (PreCG) right,right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000044,MFG_R_7_6,0.37663396,NGIQ-BR-00000072,0.36741086,0.89480519,0.10519481,3.5677,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
D_strongest_pp_hard_disagreement,32,AREA_5M_SPL_RIGHT.nii.gz,Area 5M (SPL) right,right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000082,PCL_R_2_1,0.40253149,NGIQ-BR-00000158,0.38932568,0.91205175,0.08794825,3.5661,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
D_strongest_pp_hard_disagreement,247,AREA_SFG3_SFG_LEFT.nii.gz,Area SFG3 (SFG) left,left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000037,MFG_L_7_3,0.23705516,NGIQ-BR-00000033,0.27755561,0.81791972,0.18208028,3.5218,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
D_strongest_pp_hard_disagreement,107,AREA_HIP5_IPS_LEFT.nii.gz,Area hIP5 (IPS) left,left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000011,IPL_L_6_1,0.34719666,NGIQ-BR-00000213,0.39297599,0.87857008,0.12142992,2.954,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
E_highest_effective_targets,382,TEMPORAL_TO_PARIETAL_GAPMAP_RIGHT.nii.gz,Temporal-to-Parietal (GapMap) right,right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000096,MTG_R_4_2,0.07606952,NGIQ-BR-00000096,0.07671755,0.87883772,0.12116228,24.1859,TRUE,DIFFUSE_ASSOCIATION
E_highest_effective_targets,381,TEMPORAL_TO_PARIETAL_GAPMAP_LEFT.nii.gz,Temporal-to-Parietal (GapMap) left,left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000007,MTG_L_4_1,0.07949266,NGIQ-BR-00000005,0.07416997,0.9206617,0.0793383,21.2742,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
E_highest_effective_targets,311,FRONTAL_TO_OCCIPITAL_GAPMAP_LEFT.nii.gz,Frontal-to-Occipital (GapMap) left,left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000159,PCun_L_4_3,0.13863466,NGIQ-BR-00000161,0.13499942,0.82570934,0.17429066,13.2152,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
E_highest_effective_targets,314,FRONTAL_TO_TEMPORAL_II_GAPMAP_RIGHT.nii.gz,Frontal-to-Temporal-II (GapMap) right,right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000066,OrG_R_6_5,0.10424347,NGIQ-BR-00000066,0.10811523,0.70574656,0.29425344,11.9501,TRUE,DIFFUSE_ASSOCIATION
E_highest_effective_targets,312,FRONTAL_TO_OCCIPITAL_GAPMAP_RIGHT.nii.gz,Frontal-to-Occipital (GapMap) right,right,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000160,PCun_R_4_3,0.17822286,NGIQ-BR-00000160,0.17012529,0.86069358,0.13930642,11.75,TRUE,DIFFUSE_ASSOCIATION
E_highest_effective_targets,313,FRONTAL_TO_TEMPORAL_II_GAPMAP_LEFT.nii.gz,Frontal-to-Temporal-II (GapMap) left,left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000219,Hipp_L_2_2,0.17103424,NGIQ-BR-00000219,0.20376722,0.72060255,0.27939745,8.4092,TRUE,DIFFUSE_ASSOCIATION
E_highest_effective_targets,117,AREA_HOC2_V2_18_LEFT.nii.gz,"Area hOc2 (V2, 18) left",left,ONE_TO_ONE_CANONICAL,NGIQ-BR-00000197,MVOcC_L_5_3,0.16577743,NGIQ-BR-00000207,0.1956661,0.97009354,0.02990646,8.2233,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT
