canonical_g4_id,canonical_g4_name,hemisphere,relation,target_g3_id,source_reason,future_rollup_eligible,policy_version
NGIQ-BR-00000333,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",right,PARTIAL_OVERLAP,NGIQ-BR-00000221,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000333,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",right,PARTIAL_OVERLAP,NGIQ-BR-00000225,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000334,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000019,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000335,"AcbM (Ventral Striatum, Medial Accumbens) right",right,APPROVE_CONTAINED_IN,NGIQ-BR-00000225,OWNER_CONFIRMED_CONTAINED,True,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000336,"AcbM (Ventral Striatum, Medial Accumbens) left",left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000224,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000337,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,APPROVE_CONTAINED_IN,NGIQ-BR-00000225,OWNER_CONFIRMED_CONTAINED,True,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000338,"AcbL (Ventral Striatum, Lateral Accumbens) left",left,APPROVE_CONTAINED_IN,NGIQ-BR-00000224,OWNER_CONFIRMED_CONTAINED,True,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000369,VTM (Amygdala) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000018,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000381,Area 5L (SPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000142,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000381,Area 5L (SPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000158,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000384,Area 7M (SPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000159,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000384,Area 7M (SPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000201,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000384,Area 7M (SPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000155,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000385,Area 7PC (SPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000142,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000385,Area 7PC (SPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000140,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000386,Area 7PC (SPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000139,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000386,Area 7PC (SPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000141,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000387,Area 5M (SPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000158,OWNER_CONFIRMED_PARTIAL_SET_CONCORDANT,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
