canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,scientific_decision,decision_reason_code,semantic_compatibility_status,owner_review_status,future_rollup_eligible,future_primary_rollup,review_note,policy_version,evidence_reference_2ia,evidence_reference_2ib
NGIQ-BR-00000331,VP (Ventral Pallidum) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP_VENTRAL_PALLIDUM_RIGHT.nii.gz,CONFLICT_REVIEW,LOW_DOMINANCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000332,VP (Ventral Pallidum) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP_VENTRAL_PALLIDUM_LEFT.nii.gz,CONFLICT_REVIEW,HIGH_FRAGMENTATION,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000333,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS,FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_RIGHT.nii.gz,PARTIAL_OVERLAP,OWNER_CONFIRMED_PARTIAL,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000334,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS,FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_LEFT.nii.gz,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000335,"AcbM (Ventral Striatum, Medial Accumbens) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT.nii.gz,APPROVE_CONTAINED_IN,OWNER_CONFIRMED_CONTAINED,EXACT_FAMILY,OWNER_SCIENTIFIC_REVIEWED,True,True,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000336,"AcbM (Ventral Striatum, Medial Accumbens) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_LEFT.nii.gz,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000337,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,APPROVE_CONTAINED_IN,OWNER_CONFIRMED_CONTAINED,EXACT_FAMILY,OWNER_SCIENTIFIC_REVIEWED,True,True,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000338,"AcbL (Ventral Striatum, Lateral Accumbens) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT.nii.gz,APPROVE_CONTAINED_IN,OWNER_CONFIRMED_CONTAINED,EXACT_FAMILY,OWNER_SCIENTIFIC_REVIEWED,True,True,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000339,"FuP (Ventral Striatum, Fundus of Putamen) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_RIGHT.nii.gz,CONFLICT_REVIEW,PARTIAL_TARGET_EVIDENCE_INCONSISTENT,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000340,"FuP (Ventral Striatum, Fundus of Putamen) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_LEFT.nii.gz,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
