canonical_g4_id,canonical_name,hemisphere,source_region_pk,spatial_component_id,scientific_decision,decision_reason_code,candidate_allowed,evidence_reference,provenance_reference
NGIQ-BR-00000331,VP (Ventral Pallidum) right,right,826,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,CONFLICT_REVIEW,LOW_DOMINANCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000332,VP (Ventral Pallidum) left,left,829,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000339,"FuP (Ventral Striatum, Fundus of Putamen) right",right,850,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,CONFLICT_REVIEW,PARTIAL_TARGET_EVIDENCE_INCONSISTENT,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000340,"FuP (Ventral Striatum, Fundus of Putamen) left",left,853,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000341,Ch 4 (Basal Forebrain) right,right,856,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000342,Ch 4 (Basal Forebrain) left,left,859,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000343,"BST (Basal Forebrain, Bed Nucleus) right",right,862,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000344,"BST (Basal Forebrain, Bed Nucleus) left",left,865,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000345,Ch 123 (Basal Forebrain) right,right,868,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN,CONFLICT_REVIEW,LOW_DOMINANCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000346,Ch 123 (Basal Forebrain) left,left,871,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN,CONFLICT_REVIEW,DIFFUSE_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000347,CM.AAA (Amygdala) right,right,874,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000348,CM.Ce (Amygdala) right,right,877,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000349,CM.Me (Amygdala) right,right,880,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000350,CM.AAA (Amygdala) left,left,883,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000351,CM.Ce (Amygdala) left,left,886,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000352,CM.Me (Amygdala) left,left,889,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000353,LB.Bl (Amygdala) right,right,892,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000354,LB.Bm (Amygdala) right,right,895,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000355,LB.Pl (Amygdala) right,right,898,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000356,LB.La (Amygdala) right,right,901,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000357,LB.Bl (Amygdala) left,left,904,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
