source_g4,target_count,candidate_targets,final_targets,target_set_match,per_target_coverage_match,duplicate_target_count,missing_target_count,extra_target_count,partial_review_result
NGIQ-BR-00000333,2,NGIQ-BR-00000221;NGIQ-BR-00000225,NGIQ-BR-00000221;NGIQ-BR-00000225,True,True,0,0,0,PASS
NGIQ-BR-00000381,2,NGIQ-BR-00000142;NGIQ-BR-00000158,NGIQ-BR-00000142;NGIQ-BR-00000158,True,True,0,0,0,PASS
NGIQ-BR-00000384,3,NGIQ-BR-00000159;NGIQ-BR-00000201;NGIQ-BR-00000155,NGIQ-BR-00000159;NGIQ-BR-00000201;NGIQ-BR-00000155,True,True,0,0,0,PASS
NGIQ-BR-00000385,2,NGIQ-BR-00000142;NGIQ-BR-00000140,NGIQ-BR-00000142;NGIQ-BR-00000140,True,True,0,0,0,PASS
NGIQ-BR-00000386,2,NGIQ-BR-00000139;NGIQ-BR-00000141,NGIQ-BR-00000139;NGIQ-BR-00000141,True,True,0,0,0,PASS
NGIQ-BR-00000387,2,NGIQ-BR-00000158;NGIQ-BR-00000082,NGIQ-BR-00000158;NGIQ-BR-00000082,True,True,0,0,0,PASS
NGIQ-BR-00000388,2,NGIQ-BR-00000081;NGIQ-BR-00000157,NGIQ-BR-00000081;NGIQ-BR-00000157,True,True,0,0,0,PASS
NGIQ-BR-00000390,2,NGIQ-BR-00000137;NGIQ-BR-00000155,NGIQ-BR-00000137;NGIQ-BR-00000155,True,True,0,0,0,PASS
NGIQ-BR-00000391,3,NGIQ-BR-00000082;NGIQ-BR-00000192;NGIQ-BR-00000158,NGIQ-BR-00000082;NGIQ-BR-00000192;NGIQ-BR-00000158,True,True,0,0,0,PASS
NGIQ-BR-00000392,2,NGIQ-BR-00000191;NGIQ-BR-00000081,NGIQ-BR-00000191;NGIQ-BR-00000081,True,True,0,0,0,PASS
NGIQ-BR-00000397,2,NGIQ-BR-00000164;NGIQ-BR-00000168,NGIQ-BR-00000164;NGIQ-BR-00000168,True,True,0,0,0,PASS
NGIQ-BR-00000398,3,NGIQ-BR-00000163;NGIQ-BR-00000167;NGIQ-BR-00000169,NGIQ-BR-00000163;NGIQ-BR-00000167;NGIQ-BR-00000169,True,True,0,0,0,PASS
NGIQ-BR-00000403,2,NGIQ-BR-00000154;NGIQ-BR-00000166,NGIQ-BR-00000154;NGIQ-BR-00000166,True,True,0,0,0,PASS
NGIQ-BR-00000405,2,NGIQ-BR-00000014;NGIQ-BR-00000154,NGIQ-BR-00000014;NGIQ-BR-00000154,True,True,0,0,0,PASS
NGIQ-BR-00000407,2,NGIQ-BR-00000166;NGIQ-BR-00000178,NGIQ-BR-00000166;NGIQ-BR-00000178,True,True,0,0,0,PASS
NGIQ-BR-00000408,2,NGIQ-BR-00000165;NGIQ-BR-00000177,NGIQ-BR-00000165;NGIQ-BR-00000177,True,True,0,0,0,PASS
NGIQ-BR-00000412,3,NGIQ-BR-00000149;NGIQ-BR-00000153;NGIQ-BR-00000147,NGIQ-BR-00000149;NGIQ-BR-00000153;NGIQ-BR-00000147,True,True,0,0,0,PASS
NGIQ-BR-00000416,3,NGIQ-BR-00000149;NGIQ-BR-00000151;NGIQ-BR-00000145,NGIQ-BR-00000149;NGIQ-BR-00000151;NGIQ-BR-00000145,True,True,0,0,0,PASS
NGIQ-BR-00000417,2,NGIQ-BR-00000148;NGIQ-BR-00000168,NGIQ-BR-00000148;NGIQ-BR-00000168,True,True,0,0,0,PASS
NGIQ-BR-00000421,3,NGIQ-BR-00000152;NGIQ-BR-00000012;NGIQ-BR-00000146,NGIQ-BR-00000152;NGIQ-BR-00000012;NGIQ-BR-00000146,True,True,0,0,0,PASS
NGIQ-BR-00000423,3,NGIQ-BR-00000154;NGIQ-BR-00000166;NGIQ-BR-00000148,NGIQ-BR-00000154;NGIQ-BR-00000166;NGIQ-BR-00000148,True,True,0,0,0,PASS
NGIQ-BR-00000425,3,NGIQ-BR-00000212;NGIQ-BR-00000214;NGIQ-BR-00000160,NGIQ-BR-00000212;NGIQ-BR-00000214;NGIQ-BR-00000160,True,True,0,0,0,PASS
NGIQ-BR-00000428,3,NGIQ-BR-00000145;NGIQ-BR-00000139;NGIQ-BR-00000147,NGIQ-BR-00000145;NGIQ-BR-00000139;NGIQ-BR-00000147,True,True,0,0,0,PASS
NGIQ-BR-00000431,3,NGIQ-BR-00000140;NGIQ-BR-00000144;NGIQ-BR-00000148,NGIQ-BR-00000140;NGIQ-BR-00000144;NGIQ-BR-00000148,True,True,0,0,0,PASS
NGIQ-BR-00000432,2,NGIQ-BR-00000139;NGIQ-BR-00000143,NGIQ-BR-00000139;NGIQ-BR-00000143,True,True,0,0,0,PASS
NGIQ-BR-00000437,2,NGIQ-BR-00000146;NGIQ-BR-00000214,NGIQ-BR-00000146;NGIQ-BR-00000214,True,True,0,0,0,PASS
NGIQ-BR-00000438,2,NGIQ-BR-00000213;NGIQ-BR-00000011,NGIQ-BR-00000213;NGIQ-BR-00000011,True,True,0,0,0,PASS
NGIQ-BR-00000442,2,NGIQ-BR-00000213;NGIQ-BR-00000137,NGIQ-BR-00000213;NGIQ-BR-00000137,True,True,0,0,0,PASS
NGIQ-BR-00000443,2,NGIQ-BR-00000080;NGIQ-BR-00000070,NGIQ-BR-00000080;NGIQ-BR-00000070,True,True,0,0,0,PASS
NGIQ-BR-00000445,2,NGIQ-BR-00000080;NGIQ-BR-00000036,NGIQ-BR-00000080;NGIQ-BR-00000036,True,True,0,0,0,PASS
