row_index,spatial_component_id,julich_asset_file,julich_leaf_id,julich_region_name,julich_hemisphere,reason_not_in_canonical,pp_top1_g3_id,pp_top1_name,pp_top1_g4_weighted,hard_total_bna_coverage,bna_uncovered_fraction,production_mapping_allowed,decision_policy_version
305,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_II_GAPMAP,FRONTAL_II_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_II_GAPMAP_LEFT,Frontal-II (GapMap) left,left,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000035,MFG_L_7_2,0.46333633,0.83971512,0.16028488,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
306,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_II_GAPMAP,FRONTAL_II_GAPMAP_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_II_GAPMAP_RIGHT,Frontal-II (GapMap) right,right,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000036,MFG_R_7_2,0.43070925,0.70662372,0.29337628,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
307,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_1_GAPMAP,FRONTAL_I_1_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_1_GAPMAP_LEFT,Frontal-I.1 (GapMap) left,left,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000039,MFG_L_7_4,0.2063626,0.74804058,0.25195942,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
308,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_1_GAPMAP,FRONTAL_I_1_GAPMAP_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_1_GAPMAP_RIGHT,Frontal-I.1 (GapMap) right,right,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000040,MFG_R_7_4,0.29261576,0.76773267,0.23226733,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
309,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_2_GAPMAP,FRONTAL_I_2_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_2_GAPMAP_LEFT,Frontal-I.2 (GapMap) left,left,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000029,SFG_L_7_6,0.38983935,0.84123234,0.15876766,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
310,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_2_GAPMAP,FRONTAL_I_2_GAPMAP_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_2_GAPMAP_RIGHT,Frontal-I.2 (GapMap) right,right,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000030,SFG_R_7_6,0.3739508,0.76579518,0.23420482,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
311,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_OCCIPITAL_GAPMAP,FRONTAL_TO_OCCIPITAL_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_OCCIPITAL_GAPMAP_LEFT,Frontal-to-Occipital (GapMap) left,left,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000159,PCun_L_4_3,0.13863466,0.82570934,0.17429066,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
312,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_OCCIPITAL_GAPMAP,FRONTAL_TO_OCCIPITAL_GAPMAP_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_OCCIPITAL_GAPMAP_RIGHT,Frontal-to-Occipital (GapMap) right,right,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000160,PCun_R_4_3,0.17822286,0.86069358,0.13930642,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
313,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_TEMPORAL_II_GAPMAP,FRONTAL_TO_TEMPORAL_II_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_TEMPORAL_II_GAPMAP_LEFT,Frontal-to-Temporal-II (GapMap) left,left,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000219,Hipp_L_2_2,0.17103424,0.72060255,0.27939745,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
314,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_TEMPORAL_II_GAPMAP,FRONTAL_TO_TEMPORAL_II_GAPMAP_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_TEMPORAL_II_GAPMAP_RIGHT,Frontal-to-Temporal-II (GapMap) right,right,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000066,OrG_R_6_5,0.10424347,0.70574656,0.29425344,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
315,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_TEMPORAL_I_GAPMAP,FRONTAL_TO_TEMPORAL_I_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_TEMPORAL_I_GAPMAP_LEFT,Frontal-to-Temporal-I (GapMap) left,left,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000067,OrG_L_6_6,0.34669983,0.88865505,0.11134495,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
316,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_TEMPORAL_I_GAPMAP,FRONTAL_TO_TEMPORAL_I_GAPMAP_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_TEMPORAL_I_GAPMAP_RIGHT,Frontal-to-Temporal-I (GapMap) right,right,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000068,OrG_R_6_6,0.33845615,0.86156809,0.13843191,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
381,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_TEMPORAL_TO_PARIETAL_GAPMAP,TEMPORAL_TO_PARIETAL_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_TEMPORAL_TO_PARIETAL_GAPMAP_LEFT,Temporal-to-Parietal (GapMap) left,left,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000007,MTG_L_4_1,0.07949266,0.9206617,0.0793383,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
382,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_TEMPORAL_TO_PARIETAL_GAPMAP,TEMPORAL_TO_PARIETAL_GAPMAP_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_TEMPORAL_TO_PARIETAL_GAPMAP_RIGHT,Temporal-to-Parietal (GapMap) right,right,leaf id absent from g4_julich_spatial_to_canonical_alignment (440-canonical registry),NGIQ-BR-00000096,MTG_R_4_2,0.07606952,0.87883772,0.12116228,FALSE,G4_G3_SCIENTIFIC_POLICY_V1
