canonical_g4_id,canonical_g4_name,hemisphere,decision_2ia,reason_code_2ia,revised_owner_stratum,top_target_g3,hard_top1_coverage,review_status
NGIQ-BR-00000331,VP (Ventral Pallidum) right,right,CONFLICT_REVIEW,LOW_DOMINANCE,UNCHANGED_2IA_CONFLICT_REVIEW,NGIQ-BR-00000225,0.33984726,PENDING_OWNER_REVIEW
NGIQ-BR-00000332,VP (Ventral Pallidum) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000224,0.36300121,PENDING_OWNER_REVIEW
NGIQ-BR-00000333,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000221,0.55786877,PENDING_OWNER_REVIEW
NGIQ-BR-00000334,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000019,0.67471674,PENDING_OWNER_REVIEW
NGIQ-BR-00000335,"AcbM (Ventral Striatum, Medial Accumbens) right",right,APPROVE_CONTAINED_IN,CONTAINED_CRITERIA_V1,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,NGIQ-BR-00000225,0.92443945,PENDING_OWNER_REVIEW
NGIQ-BR-00000336,"AcbM (Ventral Striatum, Medial Accumbens) left",left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000224,0.66127852,PENDING_OWNER_REVIEW
NGIQ-BR-00000337,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,APPROVE_CONTAINED_IN,CONTAINED_CRITERIA_V1,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,NGIQ-BR-00000225,0.90645685,PENDING_OWNER_REVIEW
NGIQ-BR-00000338,"AcbL (Ventral Striatum, Lateral Accumbens) left",left,APPROVE_CONTAINED_IN,CONTAINED_CRITERIA_V1,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,NGIQ-BR-00000224,0.84001393,PENDING_OWNER_REVIEW
NGIQ-BR-00000339,"FuP (Ventral Striatum, Fundus of Putamen) right",right,CONFLICT_REVIEW,PARTIAL_TARGET_EVIDENCE_INCONSISTENT,PARTIAL_EVIDENCE_INCONSISTENT_CONFLICT,NGIQ-BR-00000225,0.35269504,PENDING_OWNER_REVIEW
NGIQ-BR-00000340,"FuP (Ventral Striatum, Fundus of Putamen) left",left,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,TRUE_PP_HARDLABEL_CONFLICT,NGIQ-BR-00000224,0.3161483,PENDING_OWNER_REVIEW
