canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,relation,target_g3_id,target_coverage,source_pp_top1_g4_weighted,source_hard_total_bna_coverage,source_bna_uncovered_fraction,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,preliminary_relation_status
NGIQ-BR-00000338,"AcbL (Ventral Striatum, Lateral Accumbens) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,APPROVE_CONTAINED_IN,NGIQ-BR-00000224,0.840014,0.6224008,0.97491725,0.02508275,CONTAINED_CRITERIA_V1,True,True,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000337,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,APPROVE_CONTAINED_IN,NGIQ-BR-00000225,0.906457,0.7705297,0.97860948,0.02139052,CONTAINED_CRITERIA_V1,True,True,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000336,"AcbM (Ventral Striatum, Medial Accumbens) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000224,0.661279,0.57669878,0.92286412,0.07713588,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000335,"AcbM (Ventral Striatum, Medial Accumbens) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,APPROVE_CONTAINED_IN,NGIQ-BR-00000225,0.924439,0.78932556,0.97882002,0.02117998,CONTAINED_CRITERIA_V1,True,True,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000742,"AM (Thalamus, anteromedial Nucleus) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000237,0.653745,0.53793571,0.85484745,0.14515255,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000741,"AM (Thalamus, anteromedial Nucleus) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS,PARTIAL_OVERLAP,NGIQ-BR-00000238,0.411492,0.32252534,0.87577485,0.12422515,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000741,"AM (Thalamus, anteromedial Nucleus) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS,PARTIAL_OVERLAP,NGIQ-BR-00000244,0.281441,0.32252534,0.87577485,0.12422515,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000398,Area 1 (PostCG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,PARTIAL_OVERLAP,NGIQ-BR-00000163,0.334574,0.30765171,0.92900143,0.07099857,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000398,Area 1 (PostCG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,PARTIAL_OVERLAP,NGIQ-BR-00000167,0.283572,0.30765171,0.92900143,0.07099857,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000398,Area 1 (PostCG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,PARTIAL_OVERLAP,NGIQ-BR-00000169,0.187196,0.30765171,0.92900143,0.07099857,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000397,Area 1 (PostCG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,PARTIAL_OVERLAP,NGIQ-BR-00000164,0.366828,0.3132638,0.93007103,0.06992897,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000397,Area 1 (PostCG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,PARTIAL_OVERLAP,NGIQ-BR-00000168,0.322612,0.3132638,0.93007103,0.06992897,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000499,Area 44 (IFG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG,PARTIAL_OVERLAP,NGIQ-BR-00000050,0.323973,0.34995155,0.94178496,0.05821504,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000499,Area 44 (IFG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG,PARTIAL_OVERLAP,NGIQ-BR-00000056,0.437423,0.34995155,0.94178496,0.05821504,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000470,Area 4p (PreCG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG,PARTIAL_OVERLAP,NGIQ-BR-00000069,0.366558,0.35652833,0.85173968,0.14826032,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
