column_index,component_index,parcel_id,canonical_g3_id,g3_region_name,g3_hemisphere,output_asset
1,1,1,NGIQ-BR-00000001,SFG_L_7_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp001_SFG_L_7_1_prob_2009c.nii.gz
2,2,2,NGIQ-BR-00000002,SFG_R_7_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp002_SFG_R_7_1_prob_2009c.nii.gz
3,3,3,NGIQ-BR-00000021,SFG_L_7_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp003_SFG_L_7_2_prob_2009c.nii.gz
4,4,4,NGIQ-BR-00000022,SFG_R_7_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp004_SFG_R_7_2_prob_2009c.nii.gz
5,5,5,NGIQ-BR-00000023,SFG_L_7_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp005_SFG_L_7_3_prob_2009c.nii.gz
6,6,6,NGIQ-BR-00000024,SFG_R_7_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp006_SFG_R_7_3_prob_2009c.nii.gz
7,7,7,NGIQ-BR-00000025,SFG_L_7_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp007_SFG_L_7_4_prob_2009c.nii.gz
8,8,8,NGIQ-BR-00000026,SFG_R_7_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp008_SFG_R_7_4_prob_2009c.nii.gz
9,9,9,NGIQ-BR-00000027,SFG_L_7_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp009_SFG_L_7_5_prob_2009c.nii.gz
10,10,10,NGIQ-BR-00000028,SFG_R_7_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp010_SFG_R_7_5_prob_2009c.nii.gz
