row_index,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,canonical_g4_descendant_count,canonical_g4_ids,canonical_g4_entity_ids,spatial_identity_status
1,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,"AcbL (Ventral Striatum, Lateral Accumbens) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT,NGIQ-BR-00000338,ONE_TO_ONE_CANONICAL
2,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT,NGIQ-BR-00000337,ONE_TO_ONE_CANONICAL
3,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,"AcbM (Ventral Striatum, Medial Accumbens) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_LEFT,NGIQ-BR-00000336,ONE_TO_ONE_CANONICAL
4,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,"AcbM (Ventral Striatum, Medial Accumbens) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT,NGIQ-BR-00000335,ONE_TO_ONE_CANONICAL
5,AM_THALAMUS_ANTEROMEDIAL_NUCLEUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS,"AM (Thalamus, anteromedial Nucleus) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS_LEFT,NGIQ-BR-00000742,ONE_TO_ONE_CANONICAL
6,AM_THALAMUS_ANTEROMEDIAL_NUCLEUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS,"AM (Thalamus, anteromedial Nucleus) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS_RIGHT,NGIQ-BR-00000741,ONE_TO_ONE_CANONICAL
7,AREA_1_POSTCG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,Area 1 (PostCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_LEFT,NGIQ-BR-00000398,ONE_TO_ONE_CANONICAL
8,AREA_1_POSTCG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,Area 1 (PostCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_RIGHT,NGIQ-BR-00000397,ONE_TO_ONE_CANONICAL
9,AREA_25_SACC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_SACC,Area 25 (sACC) left,left,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_25A_SACC_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_25P_SACC_LEFT,NGIQ-BR-00000639;NGIQ-BR-00000640,SHARED_SPATIAL_REPRESENTATION
10,AREA_25_SACC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_SACC,Area 25 (sACC) right,right,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_25A_SACC_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_25P_SACC_RIGHT,NGIQ-BR-00000637;NGIQ-BR-00000638,SHARED_SPATIAL_REPRESENTATION
11,AREA_2_POSTCS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS,Area 2 (PostCS) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_LEFT,NGIQ-BR-00000400,ONE_TO_ONE_CANONICAL
