g3_component_index,canonical_g3_id,g3_region_name,g3_hemisphere,rank,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,joint_weighted_mass,g4_mass_weighted_g3_probability,g3_mass_weighted_g4_probability,probability_cosine,soft_dice,hemisphere_relation
1,NGIQ-BR-00000001,SFG_L_7_1,left,1,FRONTAL_I_2_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_2_GAPMAP,Frontal-I.2 (GapMap) left,left,1406.7526617228584,0.26820776350912334,0.1703152949343483,0.38549391068098793,0.384629832850827,same
1,NGIQ-BR-00000001,SFG_L_7_1,left,2,FRONTAL_TO_OCCIPITAL_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_OCCIPITAL_GAPMAP,Frontal-to-Occipital (GapMap) left,left,848.7538310355839,0.020259180359183254,0.10275847559616144,0.07873841714555727,0.045314043645889736,same
1,NGIQ-BR-00000001,SFG_L_7_1,left,3,AREA_6MA_PRESMA_MESIAL_SFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MA_PRESMA_MESIAL_SFG,"Area 6ma (preSMA, mesial SFG) left",left,769.0803252024775,0.4590900005391909,0.09311241839389517,0.468685850471668,0.3660815329987426,same
1,NGIQ-BR-00000001,SFG_L_7_1,left,4,AREA_6D2_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D2_PRECG,Area 6d2 (PreCG) left,left,457.9155523752116,0.1426411384665782,0.05543975460639565,0.22394419762826723,0.1974691355545356,same
1,NGIQ-BR-00000001,SFG_L_7_1,left,5,AREA_8D1_SFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG,Area 8d1 (SFG) left,left,156.13347967268854,0.11637775547747853,0.018903052656756833,0.11533067647696388,0.07906061923181892,same
1,NGIQ-BR-00000001,SFG_L_7_1,left,6,AREA_6D3_SFS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS,Area 6d3 (SFS) left,left,105.56106965043179,0.03104820179009419,0.01278025995634513,0.05248997791827433,0.0459181989203514,same
1,NGIQ-BR-00000001,SFG_L_7_1,left,7,AREA_6D1_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D1_PRECG,Area 6d1 (PreCG) left,left,87.84514751841266,0.016604105554147444,0.010635396409932153,0.03160879543703647,0.030953819625261524,same
1,NGIQ-BR-00000001,SFG_L_7_1,left,8,AREA_SFG2_SFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFG2_SFG,Area SFG2 (SFG) left,left,35.235581504283886,0.024032726915442656,0.0042659655953561325,0.02430534692871717,0.017493110911502463,same
1,NGIQ-BR-00000001,SFG_L_7_1,left,9,AREA_6MP_SMA_MESIAL_SFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MP_SMA_MESIAL_SFG,"Area 6mp (SMA, mesial SFG) left",left,29.611620835137916,0.030121543748432154,0.0035850736758827476,0.02473458655850571,0.015452310695030069,same
1,NGIQ-BR-00000001,SFG_L_7_1,left,10,AREA_FP1_FPOLE_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FP1_FPOLE,Area Fp1 (FPole) left,left,20.51509298328204,0.004248449584990526,0.002483758664280113,0.007321866870777063,0.007181770894298624,same
2,NGIQ-BR-00000002,SFG_R_7_1,right,1,FRONTAL_I_2_GAPMAP_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_I_2_GAPMAP,Frontal-I.2 (GapMap) right,right,1548.6555325543466,0.2412414681148486,0.193123944561365,0.36810116559913336,0.3616977637975258,same
2,NGIQ-BR-00000002,SFG_R_7_1,right,2,FRONTAL_TO_OCCIPITAL_GAPMAP_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_OCCIPITAL_GAPMAP,Frontal-to-Occipital (GapMap) right,right,827.6752550831811,0.023542918144530738,0.10321463147705413,0.08297473022957451,0.051688291650636035,same
2,NGIQ-BR-00000002,SFG_R_7_1,right,3,AREA_6MA_PRESMA_MESIAL_SFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MA_PRESMA_MESIAL_SFG,"Area 6ma (preSMA, mesial SFG) right",right,724.927577030776,0.46408302249688665,0.09040155816095483,0.45243291513489364,0.3433360818000221,same
2,NGIQ-BR-00000002,SFG_R_7_1,right,4,AREA_8D1_SFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG,Area 8d1 (SFG) right,right,299.56917952270146,0.2091422885614547,0.03735755331142727,0.21161074618362397,0.1475238228495912,same
