canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,spatial_evidence_status,pp_top1_g3,pp_top1_name,pp_top1_g4_weighted,pp_top1_joint_mass,hard_top1_g3,hard_top1_coverage,hard_top2_coverage,hard_top1_top2_margin,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,scientific_decision,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,review_status
NGIQ-BR-00000331,VP (Ventral Pallidum) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP_VENTRAL_PALLIDUM_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000225,BG_R_6_3,0.2545913,125.50880913,NGIQ-BR-00000225,0.33984726,0.17074944,0.16909782,0.57013635,0.42986365,2.6521,TRUE,CONFLICT_REVIEW,LOW_DOMINANCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000332,VP (Ventral Pallidum) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP_VENTRAL_PALLIDUM_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000224,BG_L_6_3,0.24198724,107.82663089,NGIQ-BR-00000224,0.36300121,0.17873573,0.18426548,0.64271449,0.35728551,3.0538,TRUE,CONFLICT_REVIEW,HIGH_FRAGMENTATION,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000333,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS,FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000221,BG_R_6_1,0.42315088,322.78149598,NGIQ-BR-00000221,0.55786877,0.37950828,0.17836048,0.93852666,0.06147334,1.9835,TRUE,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000334,"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS,FUCD_VENTRAL_STRIATUM_FUNDUS_OF_CAUDATE_NUCLEUS_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000019,BG_L_6_1,0.62843575,491.59911509,NGIQ-BR-00000019,0.67471674,0.26440889,0.41030784,0.9398762,0.0601238,1.824,TRUE,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000335,"AcbM (Ventral Striatum, Medial Accumbens) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000225,BG_R_6_3,0.78932556,150.18165465,NGIQ-BR-00000225,0.92443945,0.05253793,0.87190152,0.97882002,0.02117998,1.2497,TRUE,APPROVE_CONTAINED_IN,CONTAINED_CRITERIA_V1,True,True,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000336,"AcbM (Ventral Striatum, Medial Accumbens) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000224,BG_L_6_3,0.57669878,118.77888121,NGIQ-BR-00000224,0.66127852,0.15774272,0.50353579,0.92286412,0.07713588,2.1959,TRUE,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000337,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000225,BG_R_6_3,0.7705297,293.43511423,NGIQ-BR-00000225,0.90645685,0.04315429,0.86330256,0.97860948,0.02139052,1.3679,TRUE,APPROVE_CONTAINED_IN,CONTAINED_CRITERIA_V1,True,True,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000338,"AcbL (Ventral Striatum, Lateral Accumbens) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000224,BG_L_6_3,0.6224008,251.50734909,NGIQ-BR-00000224,0.84001393,0.06854104,0.77147289,0.97491725,0.02508275,1.6454,TRUE,APPROVE_CONTAINED_IN,CONTAINED_CRITERIA_V1,True,True,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000339,"FuP (Ventral Striatum, Fundus of Putamen) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000225,BG_R_6_3,0.26992155,352.3634408,NGIQ-BR-00000225,0.35269504,0.2804821,0.07221294,0.92802485,0.07197515,3.8971,TRUE,CONFLICT_REVIEW,PARTIAL_TARGET_EVIDENCE_INCONSISTENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000340,"FuP (Ventral Striatum, Fundus of Putamen) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000019,BG_L_6_1,0.32089273,381.02941643,NGIQ-BR-00000224,0.3161483,0.3095543,0.006594,0.94765142,0.05234858,3.8733,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
