row_index,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,spatial_identity_status,canonical_g4_descendant_count,canonical_g4_ids,pp_top1_g3_id,pp_top1_name,pp_top1_joint_mass,pp_top1_g4_weighted,pp_top1_g3_weighted,pp_top1_cosine,pp_top1_soft_dice,pp_top2_g3_id,pp_top2_g4_weighted,pp_top3_g3_id,pp_top1_top2_margin,pp_top1_top2_ratio,pp_association_effective_targets,hard_top1_g3_id,hard_top1_name,hard_top1_coverage,hard_top2_g3_id,hard_top2_coverage,hard_top3_g3_id,hard_top3_coverage,hard_top1_top2_margin,hard_top1_top2_ratio,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,evidence_pattern,qa_flags,metric_version,scientific_decision,decision_reason
1,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,"AcbL (Ventral Striatum, Lateral Accumbens) left",left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_LEFT,NGIQ-BR-00000224,BG_L_6_3,251.50734909,0.6224008,0.10262952,0.59680389,0.40952738,NGIQ-BR-00000019,0.26100526,NGIQ-BR-00000065,0.36139554,2.3846,2.8598,NGIQ-BR-00000224,BG_L_6_3,0.84001393,NGIQ-BR-00000065,0.06854104,NGIQ-BR-00000019,0.0663567,0.77147289,12.2556,0.97491725,0.02508275,1.6454,TRUE,SINGLE_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
2,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT,NGIQ-BR-00000225,BG_R_6_3,293.43511423,0.7705297,0.10068835,0.58888811,0.32133895,NGIQ-BR-00000221,0.10117264,NGIQ-BR-00000066,0.66935706,7.616,2.4186,NGIQ-BR-00000225,BG_R_6_3,0.90645685,NGIQ-BR-00000221,0.04315429,NGIQ-BR-00000066,0.02894622,0.86330256,21.005,0.97860948,0.02139052,1.3679,TRUE,SINGLE_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
3,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,"AcbM (Ventral Striatum, Medial Accumbens) left",left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_LEFT,NGIQ-BR-00000224,BG_L_6_3,118.77888121,0.57669878,0.04846864,0.42574412,0.20944159,NGIQ-BR-00000019,0.28544333,NGIQ-BR-00000065,0.29125545,2.0204,2.926,NGIQ-BR-00000224,BG_L_6_3,0.66127852,NGIQ-BR-00000019,0.15774272,NGIQ-BR-00000065,0.10384287,0.50353579,4.1921,0.92286412,0.07713588,2.1959,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
4,ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS,"AcbM (Ventral Striatum, Medial Accumbens) right",right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBM_VENTRAL_STRIATUM_MEDIAL_ACCUMBENS_RIGHT,NGIQ-BR-00000225,BG_R_6_3,150.18165465,0.78932556,0.05153284,0.45850143,0.17239292,NGIQ-BR-00000221,0.12202094,NGIQ-BR-00000227,0.66730462,6.4688,1.9886,NGIQ-BR-00000225,BG_R_6_3,0.92443945,NGIQ-BR-00000221,0.05253793,NGIQ-BR-00000066,0.00182305,0.87190152,17.5957,0.97882002,0.02117998,1.2497,TRUE,SINGLE_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
5,AM_THALAMUS_ANTEROMEDIAL_NUCLEUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS,"AM (Thalamus, anteromedial Nucleus) left",left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS_LEFT,NGIQ-BR-00000237,Tha_L_8_4,102.61301132,0.53793571,0.04967008,0.48926763,0.20251639,NGIQ-BR-00000243,0.18728524,NGIQ-BR-00000020,0.35065048,2.8723,3.1749,NGIQ-BR-00000237,Tha_L_8_4,0.65374472,NGIQ-BR-00000020,0.13028135,NGIQ-BR-00000243,0.04499418,0.52346337,5.0179,0.85484745,0.14515255,2.1295,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
6,AM_THALAMUS_ANTEROMEDIAL_NUCLEUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS,"AM (Thalamus, anteromedial Nucleus) right",right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AM_THALAMUS_ANTEROMEDIAL_NUCLEUS_RIGHT,NGIQ-BR-00000238,Tha_R_8_4,72.85116333,0.32252534,0.04374018,0.35009178,0.1769971,NGIQ-BR-00000244,0.29053876,NGIQ-BR-00000242,0.03198658,1.1101,3.9332,NGIQ-BR-00000238,Tha_R_8_4,0.41149201,NGIQ-BR-00000244,0.28144059,NGIQ-BR-00000232,0.14965364,0.13005143,1.4621,0.87577485,0.12422515,3.1605,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
7,AREA_1_POSTCG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,Area 1 (PostCG) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_LEFT,NGIQ-BR-00000163,PoG_L_4_1,1307.31309388,0.30765171,0.16694363,0.48566165,0.41463869,NGIQ-BR-00000167,0.28627809,NGIQ-BR-00000169,0.02137362,1.0747,5.9072,NGIQ-BR-00000163,PoG_L_4_1,0.33457443,NGIQ-BR-00000167,0.28357219,NGIQ-BR-00000169,0.18719557,0.05100225,1.1799,0.92900143,0.07099857,4.5395,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
8,AREA_1_POSTCG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,Area 1 (PostCG) right,right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_RIGHT,NGIQ-BR-00000164,PoG_R_4_1,1234.45081854,0.3132638,0.17170801,0.53606859,0.47349119,NGIQ-BR-00000168,0.30213457,NGIQ-BR-00000170,0.01112922,1.0368,6.2013,NGIQ-BR-00000164,PoG_R_4_1,0.36682795,NGIQ-BR-00000168,0.32261246,NGIQ-BR-00000170,0.12847129,0.0442155,1.1371,0.93007103,0.06992897,4.3363,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
11,AREA_2_POSTCS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS,Area 2 (PostCS) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_LEFT,NGIQ-BR-00000167,PoG_L_4_3,1396.86458651,0.42328045,0.19474012,0.68294808,0.53536972,NGIQ-BR-00000163,0.13774386,NGIQ-BR-00000147,0.28553659,3.073,5.6095,NGIQ-BR-00000167,PoG_L_4_3,0.46937888,NGIQ-BR-00000163,0.12095402,NGIQ-BR-00000141,0.07864427,0.34842487,3.8806,0.82378083,0.17621917,3.852,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
12,AREA_2_POSTCS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS,Area 2 (PostCS) right,right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_RIGHT,NGIQ-BR-00000168,PoG_R_4_3,1735.9885783,0.41196106,0.24896,0.6741287,0.61306832,NGIQ-BR-00000148,0.12394982,NGIQ-BR-00000140,0.28801124,3.3236,6.4448,NGIQ-BR-00000168,PoG_R_4_3,0.48672314,NGIQ-BR-00000148,0.13057216,NGIQ-BR-00000142,0.09837564,0.35615098,3.7276,0.90351792,0.09648208,4.2375,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
