row_index,julich_component_id,julich_region_name,julich_hemisphere,canonical_descendant_count,canonical_g4_ids,canonical_g4_names,pp_top1_g3_id,pp_top1_name,pp_top1_joint_mass,hard_top1_g3_id,hard_top1_coverage,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,shared_evidence_status,independent_leaf_spatial_evidence,note
9,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_SACC,Area 25 (sACC) left,left,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_25A_SACC_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_25P_SACC_LEFT,Area 25.25a (sACC) left;Area 25.25p (sACC) left,NGIQ-BR-00000065,OrG_L_6_5,200.83920005,NGIQ-BR-00000065,0.7365528,0.92108755,0.07891245,1.9028,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
10,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_SACC,Area 25 (sACC) right,right,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_25A_SACC_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_25_25P_SACC_RIGHT,Area 25.25a (sACC) right;Area 25.25p (sACC) right,NGIQ-BR-00000066,OrG_R_6_5,138.27659278,NGIQ-BR-00000066,0.44490675,0.93526545,0.06473455,2.6244,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
211,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24AB_PACC,Area p24ab (pACC) left,left,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24AB_P24A_PACC_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24AB_P24B_PACC_LEFT,Area p24ab.p24a (pACC) left;Area p24ab.p24b (pACC) left,NGIQ-BR-00000193,CG_L_7_7,467.81688062,NGIQ-BR-00000193,0.65891131,0.95663341,0.04336659,2.3645,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
212,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24AB_PACC,Area p24ab (pACC) right,right,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24AB_P24A_PACC_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24AB_P24B_PACC_RIGHT,Area p24ab.p24a (pACC) right;Area p24ab.p24b (pACC) right,NGIQ-BR-00000194,CG_R_7_7,399.42159962,NGIQ-BR-00000194,0.57189325,0.93017204,0.06982796,3.3443,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
213,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,Area p24c (pACC) left,left,3,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PD24CD_PACC_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PD24CV_PACC_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PV24C_PACC_LEFT,Area p24c.pd24cd (pACC) left;Area p24c.pd24cv (pACC) left;Area p24c.pv24c (pACC) left,NGIQ-BR-00000193,CG_L_7_7,417.4004616,NGIQ-BR-00000185,0.43082422,0.96455395,0.03544605,2.919,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
214,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,Area p24c (pACC) right,right,3,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PD24CD_PACC_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PD24CV_PACC_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PV24C_PACC_RIGHT,Area p24c.pd24cd (pACC) right;Area p24c.pd24cv (pACC) right;Area p24c.pv24c (pACC) right,NGIQ-BR-00000032,SFG_R_7_7,509.88819043,NGIQ-BR-00000194,0.33898049,0.959134,0.040866,4.133,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
237,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRTB_PIRIFORMCORTEXMESIAL_TEMPOROBASAL,"Area PirTB (PiriformCortexMesial, temporobasal) left",left,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRTB_TBD_PIRIFORMCORTEXMESIAL_PIRIFORM_TEMPOROBASAL_AREA_DORSAL_PART_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRTB_TBV_PIRIFORMCORTEXMESIAL_PIRIFORM_TEMPOROBASAL_AREA_VENTRAL_PART_LEFT,"Area PirTB.TBd (PiriformCortexMesial, Piriform temporobasal Area, dorsal part) left;Area PirTB.TBv (PiriformCortexMesial, Piriform temporobasal Area, ventral part) left",NGIQ-BR-00000065,OrG_L_6_5,17.61590503,NGIQ-BR-00000065,0.15591584,0.20597459,0.79402541,2.1193,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
238,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRTB_PIRIFORMCORTEXMESIAL_TEMPOROBASAL,"Area PirTB (PiriformCortexMesial, temporobasal) right",right,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRTB_TBD_PIRIFORMCORTEXMESIAL_PIRIFORM_TEMPOROBASAL_AREA_DORSAL_PART_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRTB_TBV_PIRIFORMCORTEXMESIAL_PIRIFORM_TEMPOROBASAL_AREA_VENTRAL_PART_RIGHT,"Area PirTB.TBd (PiriformCortexMesial, Piriform temporobasal Area, dorsal part) right;Area PirTB.TBv (PiriformCortexMesial, Piriform temporobasal Area, ventral part) right",NGIQ-BR-00000172,INS_R_6_2,16.23197833,NGIQ-BR-00000172,0.12101112,0.14540823,0.85459177,1.8874,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
239,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRT_PIRIFORMCORTEXMESIAL_TEMPORAL,"Area PirT (PiriformCortexMesial, temporal) left",left,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRT_TIT_PIRIFORMCORTEXMESIAL_PIRIFORM_TEMPORAL_AREA_INCISURA_TEMPORALIS_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRT_TU_PIRIFORMCORTEXMESIAL_PIRIFORM_TEMPORAL_AREA_UNCUS_LEFT,"Area PirT.Tit (PiriformCortexMesial, Piriform temporal Area, Incisura temporalis) left;Area PirT.Tu (PiriformCortexMesial, Piriform temporal Area, Uncus) left",NGIQ-BR-00000005,STG_L_6_1,341.19471344,NGIQ-BR-00000005,0.5148509,0.76259743,0.23740257,2.8433,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
240,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRT_PIRIFORMCORTEXMESIAL_TEMPORAL,"Area PirT (PiriformCortexMesial, temporal) right",right,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRT_TIT_PIRIFORMCORTEXMESIAL_PIRIFORM_TEMPORAL_AREA_INCISURA_TEMPORALIS_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PIRT_TU_PIRIFORMCORTEXMESIAL_PIRIFORM_TEMPORAL_AREA_UNCUS_RIGHT,"Area PirT.Tit (PiriformCortexMesial, Piriform temporal Area, Incisura temporalis) right;Area PirT.Tu (PiriformCortexMesial, Piriform temporal Area, Uncus) right",NGIQ-BR-00000006,STG_R_6_1,321.69119363,NGIQ-BR-00000006,0.77193122,0.79897363,0.20102637,1.2039,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
