spatial_asset_file,spatial_component_id,spatial_region_name,hemisphere,sha256,file_size,representation_type,reference_space,covered_canonical_julich_ids,covered_canonical_count,alignment_method,alignment_status
AREA_45_IFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG,Area 45 (IFG) left,left,5524f696f6b1dc847ecfdfd673a809ac12726d72cc542a82d9f150df1d7de884,300227,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_44_IFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG,Area 44 (IFG) left,left,167c0d3f9096e76c16f163b132ac68077cd844da845533e9fdf49a2657c93911,349646,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_FO1_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO1_OFC,Area Fo1 (OFC) left,left,8112ec75b899b637a682a23d334a3e230ea3985fb1fa65ebe3a8b55511d98407,203263,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO1_OFC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_FO2_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO2_OFC,Area Fo2 (OFC) left,left,cbb122b634eeae5858c8f6224ec12835e74f360f62f2c3aa8616875d20562dc7,203174,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO2_OFC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_FO3_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO3_OFC,Area Fo3 (OFC) left,left,4ce6a36042574f029d4ff14dd2a6ec08d46f4d3085ee631c3af5896e7a3dc799,260743,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO3_OFC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_HOC5_LOC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC5_LOC,Area hOc5 (LOC) left,left,84d572ac2671e03e901a7bd3203964add5137f6c7c174710c4ef2cba31c56e5e,199017,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC5_LOC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_HOC2_V2_18_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC2_V2_18,"Area hOc2 (V2, 18) left",left,146ddc79e99d7192bc4a4868d16a0b8356276d10163358a7eeed29ea49bf1b95,424495,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC2_V2_18_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_HOC1_V1_17_CALCS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC1_V1_17_CALCS,"Area hOc1 (V1, 17, CalcS) left",left,14ae3fe387986ce43829b695fdbbf49ab8ea687f8227bae5381067f8373d506a,362954,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC1_V1_17_CALCS_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_HOC4V_LINGG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC4V_LINGG,Area hOc4v (LingG) left,left,2a6d56ca05473beeca494832e16f8473c4bfaf4efa8fd825da9fd1c65fe4a660,265704,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC4V_LINGG_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_HOC3V_LINGG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC3V_LINGG,Area hOc3v (LingG) left,left,3afd5d58c8f0fdb5337c4efeb149ae6b75ce3ccbf6f49bcb4dc83fa6905050c9,295745,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC3V_LINGG_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
ASTR_AMYGDALA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA,Astr (Amygdala) left,left,3c4902fd13e1af5ce3c91ce66f5d84a0ba9ef5c5b578a56406ad02cdae59208c,167527,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_TE_1_0_HESCHL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_1_0_HESCHL,Area Te 1.0 (HESCHL) left,left,b0d5ba5428fe55b08ce520b425ba41aaf4ea69fa2c1ef2022c8705f6f915e8ff,210290,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_1_0_HESCHL_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_TE_2_1_STG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_2_1_STG,Area Te 2.1 (STG) left,left,e0a38addc13f43594d055e5a458348db8527b976d6f2333245a291f774bc4337,231086,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_2_1_STG_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_TPJ_STG_SMG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TPJ_STG_SMG,"Area TPJ (STG, SMG) left",left,0667fb16a8d327c4cf3a21ea03e60b07adfe0b5c78e21620cf0ae9bc989849b3,254923,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TPJ_STG_SMG_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_TE_1_2_HESCHL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_1_2_HESCHL,Area Te 1.2 (HESCHL) left,left,70f3505580bd0dad26986b1688ea7b3d6da4aba730be7b4badf979aa85bf42bf,200281,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_1_2_HESCHL_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_TE_3_STG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_3_STG,Area Te 3 (STG) left,left,ac300410714c63a2b2f18216d545384e587bbc167d9e6e505ab753cbe0c42f44,273581,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_3_STG_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_TE_1_1_HESCHL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_1_1_HESCHL,Area Te 1.1 (HESCHL) left,left,7928e5da35c3c912a4196cbeac6daec7bfeb37d9540026e40fbd31c6f6889697,203639,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_1_1_HESCHL_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_TE_2_2_STG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_2_2_STG,Area Te 2.2 (STG) left,left,2f292d3cf4331502d6fb5843091536d707aee5745166370abce7281c70dc5d58,255220,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TE_2_2_STG_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_33_ACC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_33_ACC,Area 33 (ACC) left,left,3bc70bf675af6452580c67c8f8ac50a53dae15be17339b420d104c76bb591650,247144,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_33_ACC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_S32_SACC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_S32_SACC,Area s32 (sACC) left,left,bfc6c1d5d8dc784438f456e857997a07be8da517ced4a33ec0549762a55926f6,209498,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_S32_SACC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_P32_PACC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P32_PACC,Area p32 (pACC) left,left,5d5dacd1858c70e319b6fffc099d944c5f29bca8f5993e4021433d8e6bd8ec14,293579,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P32_PACC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_ID2_INSULA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID2_INSULA,Area Id2 (Insula) left,left,f48856e698778d9371ce725b3853fd5a795901a9d9a3024769a25e9a7bce88b1,181987,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID2_INSULA_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_ID3_INSULA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID3_INSULA,Area Id3 (Insula) left,left,c6db7cf31200e282a61da450a60ed2000bc07cb0d39a146656e8df1378cd7193,189372,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID3_INSULA_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
CA2_HIPPOCAMPUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CA2_HIPPOCAMPUS,CA2 (Hippocampus) left,left,e6adb13ba1149f70fd20a920e7d93c241c52146e4c214f9785b76a98f685f11f,223430,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CA2_HIPPOCAMPUS_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
CA3_HIPPOCAMPUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CA3_HIPPOCAMPUS,CA3 (Hippocampus) left,left,1f77573871790d92dd9c1c2a171d60ce45ae0d7383766f7ff177ebb6f0b031d1,223968,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CA3_HIPPOCAMPUS_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_EC_HIPPOCAMPAL_REGION_ENTORHINAL_CORTEX_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_EC_HIPPOCAMPAL_REGION_ENTORHINAL_CORTEX,"Area EC (Hippocampal Region, Entorhinal Cortex) left",left,b09a30d0c0061b16655e7bb9db618d47a031c0487ce8fbde28c88acd3611fea6,232664,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_EC_HIPPOCAMPAL_REGION_ENTORHINAL_CORTEX_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
DG_HIPPOCAMPUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_DG_HIPPOCAMPUS,DG (Hippocampus) left,left,d8e6c8872edae522493e0affff0f5c1c88f42d7718647652557fc97496f51205,238709,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_DG_HIPPOCAMPUS_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
CA1_HIPPOCAMPUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CA1_HIPPOCAMPUS,CA1 (Hippocampus) left,left,b717646aa43f13eb475a685d38585297c47a6a0ef2d52481951477774528a14b,274823,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CA1_HIPPOCAMPUS_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
HATA_HIPPOCAMPUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_HATA_HIPPOCAMPUS,HATA (Hippocampus) left,left,4759e492c09798afb5c25270a5ee3f1b70dccb7f842ef30c9d75eb0253e02193,167568,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_HATA_HIPPOCAMPUS_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_OP4_POPERC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP4_POPERC,Area Op4 (POperc) left,left,e8087a6cfc43c2119e8f3183ca07c892bc79eb08ca9aa88ee9b244ebd8a33c23,173175,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP4_POPERC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_OP1_POPERC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC,Area Op1 (POperc) left,left,30b4bed0af3a6c0bfdebd0fb94a48bfb9256d92a9ba7fe4e1ab831953594002d,180711,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
AREA_OP2_POPERC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC,Area Op2 (POperc) left,left,a9836856d40509b2438ef3e7e2b314eb7690353d5825a1189a69a45b29108ab6,186394,probabilistic/statistical,MNI 152 ICBM 2009c Nonlinear Asymmetric,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC_LEFT,1,DETERMINISTIC_SIIBRA_REGION_HIERARCHY,ALIGNED_TO_CANONICAL_LEAVES
