No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,source_deck__image10.png,48,48,1.00,1.00,manifest,5,1.00,bitmap,True,True,1.3,Near square,600x600,540x600
2,source_deck__image12.png,48,48,1.00,1.00,manifest,2,1.00,bitmap,True,True,1.1,Near square,600x600,540x600
3,source_deck__image14.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.1,Near square,600x600,540x600
4,source_deck__image16.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.6,Near square,600x600,540x600
5,source_deck__image18.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.4,Near square,600x600,540x600
6,source_deck__image2.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.3,Near square,600x600,540x600
7,source_deck__image20.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.9,Near square,600x600,540x600
8,source_deck__image22.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.8,Near square,600x600,540x600
9,source_deck__image24.png,1672,941,1.78,1.78,manifest,1,1.78,bitmap,True,True,1366.4,Wide landscape,812x457,328x600
10,source_deck__image25.png,48,48,1.00,1.00,manifest,3,1.00,bitmap,True,True,1.0,Near square,600x600,540x600
11,source_deck__image27.png,48,48,1.00,1.00,manifest,2,1.00,bitmap,True,True,0.5,Near square,600x600,540x600
12,source_deck__image29.png,48,48,1.00,1.00,manifest,2,1.00,bitmap,True,True,1.2,Near square,600x600,540x600
13,source_deck__image31.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.0,Near square,600x600,540x600
14,source_deck__image33.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.8,Near square,600x600,540x600
15,source_deck__image35.png,48,48,1.00,1.00,manifest,2,1.00,bitmap,True,True,1.2,Near square,600x600,540x600
16,source_deck__image37.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.6,Near square,600x600,540x600
17,source_deck__image39.png,48,48,1.00,1.00,manifest,2,1.00,bitmap,True,True,1.1,Near square,600x600,540x600
18,source_deck__image4.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.6,Near square,600x600,540x600
19,source_deck__image41.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.9,Near square,600x600,540x600
20,source_deck__image43.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.6,Near square,600x600,540x600
21,source_deck__image45.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.4,Near square,600x600,540x600
22,source_deck__image47.png,48,48,1.00,1.00,manifest,2,1.00,bitmap,True,True,2.1,Near square,600x600,540x600
23,source_deck__image49.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.6,Near square,600x600,540x600
24,source_deck__image51.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.9,Near square,600x600,540x600
25,source_deck__image53.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.7,Near square,600x600,540x600
26,source_deck__image55.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.8,Near square,600x600,540x600
27,source_deck__image57.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.5,Near square,600x600,540x600
28,source_deck__image59.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.2,Near square,600x600,540x600
29,source_deck__image61.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.8,Near square,600x600,540x600
30,source_deck__image63.jpeg,379,283,1.00,1.34,manifest,1,1.00,bitmap,True,True,6.8,Near square,600x600,540x600
31,source_deck__image64.jpeg,2300,2000,1.00,1.15,manifest,1,1.00,bitmap,True,True,138.8,Near square,600x600,540x600
32,source_deck__image65.jpeg,3840,2160,1.00,1.78,manifest,1,1.00,bitmap,True,True,215.3,Near square,600x600,540x600
33,source_deck__image66.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.0,Near square,600x600,540x600
34,source_deck__image68.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.1,Near square,600x600,540x600
35,source_deck__image7.jpeg,397,256,1.55,1.55,manifest,1,1.55,bitmap,True,True,28.4,Wide landscape,812x524,328x600
36,source_deck__image70.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.7,Near square,600x600,540x600
37,source_deck__image72.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,0.7,Near square,600x600,540x600
38,source_deck__image74.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.1,Near square,600x600,540x600
39,source_deck__image76.png,48,48,1.00,1.00,manifest,1,1.00,bitmap,True,True,1.0,Near square,600x600,540x600
40,source_deck__image79.png,251,110,2.28,2.28,manifest,1,2.28,bitmap,True,True,7.0,Ultra-wide,812x356,328x600
41,source_deck__image8.png,48,48,1.00,1.00,manifest,4,1.00,bitmap,True,True,2.0,Near square,600x600,540x600
